"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.510030722E1,5.233934298E1,4.879313170E0,3.138214013E1,3.630000114E0,8.740000153E1,7.738036156E0,8.599910736E0
6.609997039E1,5.233934706E1,4.879366730E0,3.056033821E1,3.500000000E0,8.559999847E1,8.450590134E0,8.660831451E0
6.709979654E1,5.233935079E1,4.879419210E0,2.971192384E1,3.609999895E0,8.680000305E1,7.449691296E0,8.706483841E0
6.809959586E1,5.233935453E1,4.879471340E0,2.714762794E1,3.630000114E0,8.809999847E1,5.817770481E0,7.363650799E0
6.910032253E1,5.233935908E1,4.879522390E0,2.653548100E1,3.670000076E0,8.780000305E1,5.124501228E0,7.038915634E0
7.010032112E1,5.233936435E1,4.879572170E0,2.655163024E1,3.619999886E0,8.740000153E1,4.549749374E0,6.575473309E0
7.109980549E1,5.233936793E1,4.879620310E0,2.640755888E1,3.599999905E0,8.719999695E1,4.200281620E0,5.970210552E0
7.210046852E1,5.233937237E1,4.879667050E0,2.612798988E1,3.599999905E0,8.690000153E1,4.054693699E0,5.713061810E0
7.310031127E1,5.233937335E1,4.879719620E0,2.536703507E1,3.559999943E0,8.730000305E1,3.936273575E0,5.727119923E0
7.410017508E1,5.233937033E1,4.879774590E0,2.411974787E1,3.539999962E0,8.800000000E1,3.871348858E0,5.524839878E0
7.510045284E1,5.233936634E1,4.879832230E0,2.264779042E1,3.549999952E0,8.840000153E1,3.790092468E0,5.198365211E0
7.609967851E1,5.233936317E1,4.879888070E0,2.084966122E1,3.559999943E0,8.840000153E1,3.790092468E0,5.391094685E0
7.710009258E1,5.233935988E1,4.879944020E0,1.948347772E1,3.529999971E0,8.890000153E1,3.798223019E0,5.712947369E0
7.810018388E1,5.233935716E1,4.880001880E0,1.780284299E1,3.529999971E0,8.950000000E1,3.819599390E0,5.692584038E0
7.910032226E1,5.233935496E1,4.880058580E0,1.738081429E1,3.519999981E0,8.940000153E1,3.968298197E0,6.058078289E0
8.010015898E1,5.233935331E1,4.880116710E0,1.722972224E1,3.539999962E0,8.980000305E1,3.800773382E0,5.520840168E0
8.110017210E1,5.233935164E1,4.880177760E0,1.633259912E1,3.539999962E0,8.980000305E1,3.964158058E0,5.921985149E0
8.210016867E1,5.233934999E1,4.880234340E0,1.548314192E1,3.500000000E0,9.009999847E1,3.822007656E0,5.522531509E0
8.310030700E1,5.233934842E1,4.880290070E0,1.467964382E1,3.670000076E0,9.130000305E1,3.790092468E0,5.254457474E0
8.409956721E1,5.233934842E1,4.880352800E0,1.483806601E1,4.219999790E0,9.130000305E1,3.790092468E0,4.878685951E0
8.509972861E1,5.233935147E1,4.880434860E0,1.546171354E1,5.090000153E0,9.109999847E1,3.877214432E0,5.306848526E0
8.609955341E1,5.233935469E1,4.880517660E0,1.526797892E1,5.670000076E0,9.019999695E1,4.124827862E0,5.871449947E0
8.709966101E1,5.233935381E1,4.880603660E0,1.518904749E1,5.760000229E0,8.980000305E1,4.048089981E0,5.679376602E0
8.810016070E1,5.233935057E1,4.880689660E0,1.534869915E1,5.739999771E0,8.950000000E1,3.907387733E0,5.262798309E0
8.909997960E1,5.233935098E1,4.880775680E0,1.591729152E1,5.739999771E0,9.000000000E1,3.790092468E0,4.622536182E0
9.009991122E1,5.233935013E1,4.880858150E0,1.571476191E1,5.699999809E0,8.980000305E1,3.790092468E0,4.695595264E0
9.109978444E1,5.233935423E1,4.880937530E0,1.546249386E1,5.699999809E0,8.969999695E1,3.790092468E0,4.315917969E0
9.209968611E1,5.233935710E1,4.881025510E0,1.497567089E1,5.710000038E0,8.980000305E1,3.790092468E0,3.806810141E0
9.309978085E1,5.233935776E1,4.881115340E0,1.461683660E1,5.670000076E0,8.959999847E1,3.790092468E0,4.181524277E0
9.410032106E1,5.233936061E1,4.881195570E0,1.417291688E1,5.699999809E0,9.050000000E1,3.790092468E0,4.263753414E0
9.510028444E1,5.233936435E1,4.881275290E0,1.348534578E1,5.650000095E0,9.019999695E1,3.790092468E0,3.684543133E0
9.610017366E1,5.233936561E1,4.881353610E0,1.150553405E1,5.650000095E0,9.030000305E1,3.790092468E0,3.026981592E0
9.709998345E1,5.233936836E1,4.881434720E0,1.151541108E1,5.630000114E0,9.080000305E1,3.790092468E0,2.998481989E0
9.809974272E1,5.233937174E1,4.881516380E0,1.083022096E1,5.610000134E0,9.030000305E1,3.790092468E0,2.909091711E0
9.909951142E1,5.233937362E1,4.881599250E0,1.142243420E1,5.610000134E0,9.050000000E1,3.790092468E0,3.201044083E0
1.001003302E2,5.233937383E1,4.881680260E0,1.125762498E1,5.599999905E0,9.040000153E1,3.790092468E0,2.886697531E0
1.010995040E2,5.233937848E1,4.881758340E0,1.118162649E1,5.590000153E0,9.030000305E1,3.790092468E0,2.963840485E0
1.021001728E2,5.233937982E1,4.881845080E0,1.045066003E1,5.559999943E0,9.059999847E1,3.790092468E0,2.677106142E0
1.030999696E2,5.233938264E1,4.881926230E0,1.019826912E1,5.579999924E0,8.980000305E1,3.790092468E0,2.569301367E0
1.040998720E2,5.233938208E1,4.882016590E0,1.011232159E1,5.530000210E0,8.740000153E1,3.790092468E0,2.529663801E0
1.050998559E2,5.233938198E1,4.882099990E0,9.526431759E0,5.480000019E0,8.919999695E1,3.790092468E0,2.586216688E0
1.060996478E2,5.233938187E1,4.882179800E0,9.124927061E0,5.500000000E0,8.990000153E1,3.790092468E0,2.866928816E0
1.070995238E2,5.233937814E1,4.882257710E0,8.753384431E0,5.480000019E0,9.069999695E1,3.790092468E0,2.738733768E0
1.081002088E2,5.233937837E1,4.882336830E0,8.269848567E0,5.489999771E0,9.130000305E1,3.790092468E0,2.904421329E0
1.091001594E2,5.233938178E1,4.882415110E0,7.666931939E0,5.429999828E0,9.200000000E1,3.790092468E0,3.084743261E0
1.100997876E2,5.233937901E1,4.882492750E0,7.559123418E0,5.429999828E0,9.300000000E1,3.790092468E0,3.254608631E0
1.110997901E2,5.233937800E1,4.882575200E0,7.680812323E0,5.409999847E0,9.380000305E1,3.790092468E0,2.922198534E0
1.120999736E2,5.233937767E1,4.882651520E0,8.066292619E0,5.300000191E0,9.450000000E1,3.790092468E0,3.143661022E0
1.130999795E2,5.233937247E1,4.882734020E0,8.215807676E0,5.349999905E0,9.540000153E1,3.790092468E0,3.169029713E0
1.140997496E2,5.233936544E1,4.882812570E0,8.636436052E0,5.300000191E0,9.600000000E1,3.797588587E0,3.254250765E0
1.150998344E2,5.233936129E1,4.882886360E0,8.050351893E0,5.320000172E0,9.669999695E1,3.910127878E0,3.512494087E0
1.160996811E2,5.233935303E1,4.882965090E0,7.775299927E0,5.320000172E0,9.759999847E1,4.039829731E0,3.743286371E0
1.170997448E2,5.233934462E1,4.883045040E0,7.309086338E0,5.280000210E0,9.819999695E1,3.790092468E0,3.292452335E0
1.180998661E2,5.233934596E1,4.883125290E0,6.441397413E0,5.329999924E0,9.890000153E1,3.802864790E0,3.523920059E0
1.190998576E2,5.233933692E1,4.883198510E0,6.132344605E0,5.239999771E0,9.980000305E1,3.861986876E0,3.650017500E0
1.200995594E2,5.233932332E1,4.883283600E0,5.414112484E0,5.219999790E0,1.004000015E2,3.871109486E0,3.674085617E0
1.210995614E2,5.233931025E1,4.883361110E0,4.802566217E0,5.280000210E0,1.011999969E2,4.234282494E0,4.130908489E0
1.220996356E2,5.233930097E1,4.883429800E0,4.538371313E0,5.110000134E0,1.018000031E2,4.316798210E0,4.262017727E0
1.230996623E2,5.233929193E1,4.883502260E0,4.098092483E0,5.110000134E0,1.023000031E2,4.414536476E0,4.354908466E0
1.240995648E2,5.233928556E1,4.883573440E0,4.051615512E0,5.210000038E0,1.025999985E2,4.389793396E0,4.375168324E0
1.251001777E2,5.233927931E1,4.883654020E0,4.386308649E0,5.230000019E0,1.030999985E2,4.575454235E0,4.425586224E0
1.261003209E2,5.233927476E1,4.883736100E0,4.250179848E0,5.250000000E0,1.033000031E2,4.319370747E0,4.115730286E0
1.271002804E2,5.233926616E1,4.883817830E0,4.530671111E0,5.210000038E0,1.035000000E2,4.370810032E0,4.238448143E0
1.281001881E2,5.233925881E1,4.883897130E0,4.619268213E0,5.230000019E0,1.036999969E2,4.145528316E0,3.973019838E0
1.290996039E2,5.233925301E1,4.883975780E0,4.315655213E0,5.250000000E0,1.040000000E2,4.075821877E0,4.011931419E0
1.300999684E2,5.233924151E1,4.884047730E0,3.593756408E0,5.309999943E0,1.043000031E2,3.943668604E0,3.829689026E0
1.311001785E2,5.233922694E1,4.884121770E0,3.707181620E0,5.300000191E0,1.044000015E2,4.036641598E0,3.929878235E0
1.321003216E2,5.233921807E1,4.884210460E0,3.992986549E0,5.440000057E0,1.050000000E2,4.058836460E0,3.936665773E0
1.330995397E2,5.233920507E1,4.884292260E0,4.352329066E0,5.389999866E0,1.050000000E2,4.204130650E0,4.191883564E0
1.340998970E2,5.233919817E1,4.884358880E0,4.369386329E0,5.500000000E0,1.051999969E2,4.204520702E0,4.442901611E0
1.351003199E2,5.233919025E1,4.884429860E0,3.991180981E0,5.570000172E0,1.055000000E2,4.026433945E0,4.448259354E0
1.360994730E2,5.233917621E1,4.884509530E0,3.029414853E0,5.659999847E0,1.059000015E2,3.850440264E0,4.165629387E0
1.370999743E2,5.233916430E1,4.884584740E0,2.595603273E0,5.750000000E0,1.060999985E2,3.892637014E0,4.236407280E0
1.380998248E2,5.233915377E1,4.884660710E0,2.177846322E0,5.949999809E0,1.065000000E2,3.925479412E0,4.304111958E0
1.390999791E2,5.233913991E1,4.884734280E0,1.620923141E0,5.989999771E0,1.066999969E2,4.070018768E0,4.667838097E0
1.400998103E2,5.233912789E1,4.884816350E0,1.655926373E0,5.929999828E0,1.070000000E2,4.063796520E0,4.774811745E0
1.410999332E2,5.233911199E1,4.884897800E0,1.436956490E0,5.909999847E0,1.071999969E2,5.206013680E0,5.148264885E0
1.420996634E2,5.233909577E1,4.884983850E0,7.070024648E-1,5.909999847E0,1.075999985E2,4.635046959E0,5.407251835E0
1.430998912E2,5.233907824E1,4.885063140E0,7.761760170E-1,5.889999866E0,1.079000015E2,3.980765820E0,4.668656826E0
1.440998153E2,5.233906072E1,4.885145950E0,3.410791393E-1,5.920000076E0,1.081999969E2,3.837735176E0,4.615916252E0
1.450996962E2,5.233904043E1,4.885230430E0,1.168557757E-1,5.909999847E0,1.085999985E2,3.983968258E0,4.750280380E0
