"Time (s)","X (hPa)"
3.228859008E2,1.010266266E3
3.239583528E2,1.010267410E3
3.250307968E2,1.010269012E3
3.261032368E2,1.010271149E3
3.271756828E2,1.010273514E3
3.282481138E2,1.010276184E3
3.293205618E2,1.010278549E3
3.303929768E2,1.010280457E3
3.314653708E2,1.010282135E3
3.325377918E2,1.010283432E3
3.336102238E2,1.010284576E3
3.346826758E2,1.010285034E3
3.357551818E2,1.010285721E3
3.368276858E2,1.010286102E3
3.379001338E2,1.010286102E3
3.389726508E2,1.010286102E3
3.400451338E2,1.010287018E3
3.411175498E2,1.010287781E3
3.421899828E2,1.010289078E3
3.432624308E2,1.010290909E3
3.443348338E2,1.010293045E3
3.454072828E2,1.010295105E3
3.464797178E2,1.010297318E3
3.475521518E2,1.010298691E3
3.486245758E2,1.010298691E3
3.496970348E2,1.010298157E3
3.507694148E2,1.010297546E3
3.518417938E2,1.010296402E3
3.529141688E2,1.010295792E3
3.539866258E2,1.010295792E3
3.550591008E2,1.010295944E3
3.561315258E2,1.010295944E3
3.572039648E2,1.010295944E3
3.582764158E2,1.010296249E3
3.593488398E2,1.010296249E3
3.604212918E2,1.010296021E3
3.614937358E2,1.010295639E3
3.625661898E2,1.010295334E3
3.636385918E2,1.010294342E3
3.647110298E2,1.010294342E3
3.657834428E2,1.010293884E3
3.668558788E2,1.010293884E3
3.679283008E2,1.010294113E3
3.690007228E2,1.010295410E3
3.700730678E2,1.010297012E3
3.711453848E2,1.010299225E3
3.722177208E2,1.010301743E3
3.732900818E2,1.010304184E3
3.743624468E2,1.010306473E3
3.754348128E2,1.010308075E3
3.765071988E2,1.010310135E3
3.775795498E2,1.010312424E3
3.786519668E2,1.010314713E3
3.797243408E2,1.010316696E3
3.807967018E2,1.010318680E3
3.818691108E2,1.010320435E3
3.829415218E2,1.010321732E3
3.840139088E2,1.010322571E3
3.850863108E2,1.010323334E3
3.861586578E2,1.010323334E3
3.872310728E2,1.010322113E3
3.883034718E2,1.010320206E3
3.893758818E2,1.010318146E3
3.904482788E2,1.010314789E3
3.915206968E2,1.010311966E3
3.925931338E2,1.010308456E3
3.936655678E2,1.010304794E3
3.947379558E2,1.010301208E3
3.958103468E2,1.010298767E3
3.968827498E2,1.010296860E3
3.979551748E2,1.010296478E3
3.990275158E2,1.010296478E3
4.000998738E2,1.010296478E3
4.011722748E2,1.010296860E3
4.022446498E2,1.010297470E3
4.033169698E2,1.010298538E3
4.043892868E2,1.010298691E3
4.054616128E2,1.010299988E3
4.065339608E2,1.010301514E3
4.076063158E2,1.010302277E3
4.086786438E2,1.010303650E3
4.097509958E2,1.010304184E3
4.108233668E2,1.010304184E3
4.118957418E2,1.010304184E3
4.129681578E2,1.010305023E3
4.140405178E2,1.010306473E3
4.151128388E2,1.010308380E3
4.161851938E2,1.010311127E3
4.172575678E2,1.010314178E3
4.183299118E2,1.010316162E3
4.194023058E2,1.010317078E3
4.204746578E2,1.010317078E3
4.215470328E2,1.010316696E3
4.226193598E2,1.010315018E3
4.236916958E2,1.010313110E3
4.247641078E2,1.010310974E3
4.258365238E2,1.010308456E3
4.269089548E2,1.010305634E3
4.279813778E2,1.010303574E3
4.290537808E2,1.010301208E3
4.301261628E2,1.010298538E3
4.311985318E2,1.010296173E3
4.322709328E2,1.010294647E3
4.333432748E2,1.010292892E3
4.344156138E2,1.010292435E3
4.354879698E2,1.010292053E3
4.365603468E2,1.010291443E3
4.376327008E2,1.010290604E3
4.387050038E2,1.010288696E3
4.397773468E2,1.010286179E3
4.408497388E2,1.010283127E3
4.419221238E2,1.010279160E3
4.429944938E2,1.010275345E3
4.440668628E2,1.010271530E3
4.451391938E2,1.010268021E3
4.462115158E2,1.010264435E3
4.472838838E2,1.010261230E3
4.483562228E2,1.010258179E3
4.494286198E2,1.010258179E3
4.505010528E2,1.010258484E3
4.515734418E2,1.010262756E3
4.526458608E2,1.010267792E3
4.537182278E2,1.010272217E3
4.547906138E2,1.010272369E3
4.558629398E2,1.010272369E3
4.569352948E2,1.010267410E3
4.580076388E2,1.010262146E3
4.590799358E2,1.010257492E3
4.601522168E2,1.010257492E3
4.612245438E2,1.010259018E3
4.622968268E2,1.010266724E3
4.633690808E2,1.010279007E3
4.644413178E2,1.010293274E3
4.655135528E2,1.010305634E3
4.665857628E2,1.010314560E3
4.676580228E2,1.010319138E3
4.687303078E2,1.010319138E3
4.698025678E2,1.010317001E3
4.708747698E2,1.010317001E3
4.719469588E2,1.010319138E3
4.730191928E2,1.010325317E3
4.740914348E2,1.010335159E3
4.751636818E2,1.010348053E3
4.762359378E2,1.010361328E3
4.773081688E2,1.010370941E3
4.783804048E2,1.010376663E3
4.794526238E2,1.010376663E3
4.805248838E2,1.010376663E3
4.815971588E2,1.010370178E3
4.826694168E2,1.010364838E3
4.837417138E2,1.010360184E3
4.848140308E2,1.010354538E3
4.858863098E2,1.010349503E3
4.869586048E2,1.010347443E3
4.880309388E2,1.010346069E3
4.891032538E2,1.010344009E3
4.901756018E2,1.010344009E3
4.912479068E2,1.010344009E3
4.923202078E2,1.010341492E3
4.933924838E2,1.010331802E3
4.944647128E2,1.010321655E3
4.955369648E2,1.010309219E3
4.966092218E2,1.010299759E3
4.976815068E2,1.010296707E3
4.987538168E2,1.010296707E3
4.998261028E2,1.010299606E3
5.008983588E2,1.010300903E3
5.019706338E2,1.010300903E3
5.030429048E2,1.010300369E3
5.041151838E2,1.010299149E3
5.051874718E2,1.010299149E3
