"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
6.228430613E1,-3.058125114E1,8.006250381E0,-1.218750095E1
6.278430613E1,-3.076875114E1,7.331250191E0,-1.216875076E1
6.328430613E1,-3.093750191E1,6.656250477E0,-1.235625076E1
6.378430613E1,-3.090000153E1,6.056250095E0,-1.245000076E1
6.428430613E1,-3.095625114E1,5.775000095E0,-1.155000019E1
6.478430613E1,-3.112500191E1,5.362500191E0,-1.080000019E1
6.528430613E1,-3.140625191E1,4.743750095E0,-9.956250191E0
6.578430613E1,-3.135000038E1,4.050000191E0,-8.906250000E0
6.628430613E1,-3.125625038E1,3.450000048E0,-8.493750572E0
6.678430613E1,-3.142500114E1,2.943750143E0,-8.250000000E0
6.728430613E1,-3.138750076E1,2.662500143E0,-7.893750191E0
6.778430613E1,-3.140625191E1,2.643750191E0,-7.687500477E0
6.828430613E1,-3.125625038E1,3.018750191E0,-7.593750477E0
6.878430613E1,-3.086250114E1,3.356250048E0,-8.081250191E0
6.928430613E1,-3.050625038E1,3.525000095E0,-8.887500763E0
6.978430613E1,-3.016875076E1,3.618750095E0,-9.525000572E0
7.028430613E1,-2.983125114E1,3.993750095E0,-9.956250191E0
7.078430613E1,-2.923125076E1,4.125000000E0,-1.074375057E1
7.128430613E1,-2.910000038E1,3.843750238E0,-1.130625057E1
7.178430613E1,-2.904375076E1,3.618750095E0,-1.156875038E1
7.228430613E1,-2.898750114E1,3.150000095E0,-1.175625038E1
7.278430613E1,-2.885625076E1,2.943750143E0,-1.149375057E1
7.328430613E1,-2.870625114E1,3.018750191E0,-1.096875000E1
7.378430613E1,-2.827500153E1,3.000000000E0,-1.074375057E1
7.428430613E1,-2.833125114E1,2.587500095E0,-1.065000057E1
7.478430613E1,-2.874375153E1,3.037500143E0,-1.048125076E1
7.528430613E1,-2.865000153E1,3.787500143E0,-1.025625038E1
7.578430613E1,-2.865000153E1,4.087500095E0,-9.918750763E0
7.628430613E1,-2.874375153E1,4.256250381E0,-1.008750057E1
7.678430613E1,-2.925000191E1,4.087500095E0,-1.010625076E1
7.728430613E1,-2.962500191E1,3.937500238E0,-9.750000000E0
7.778430613E1,-3.001875114E1,4.293750286E0,-9.487500191E0
7.828430613E1,-3.003750038E1,4.968750000E0,-9.375000000E0
7.878430613E1,-2.973750114E1,4.687500000E0,-1.006875038E1
7.928430613E1,-2.988750076E1,4.500000000E0,-1.008750057E1
7.978430613E1,-2.968125153E1,4.368750095E0,-1.117500019E1
8.028430613E1,-2.971875191E1,4.443750381E0,-1.123125076E1
8.078430613E1,-2.968125153E1,4.725000381E0,-1.095000076E1
8.128430613E1,-2.953125191E1,4.968750000E0,-1.117500019E1
8.178430613E1,-2.985000038E1,4.856250286E0,-1.164375019E1
8.228430613E1,-3.001875114E1,4.743750095E0,-1.149375057E1
8.278430613E1,-3.013125038E1,5.043750286E0,-1.018125057E1
8.328430613E1,-3.020625114E1,5.212500095E0,-9.356250763E0
8.378430613E1,-3.048750114E1,5.287500381E0,-8.512500763E0
8.428430613E1,-3.058125114E1,5.362500191E0,-8.006250381E0
8.478430613E1,-3.056250191E1,5.456250191E0,-7.912500381E0
8.528430613E1,-3.073125076E1,5.512500286E0,-7.537500381E0
8.578430613E1,-3.060000038E1,5.775000095E0,-7.443750381E0
8.628430613E1,-3.078750038E1,6.225000381E0,-7.312500477E0
8.678430613E1,-3.090000153E1,6.825000286E0,-7.781250477E0
