"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.740227983E2,3.212364435E0,-8.504091263E0,-4.707878530E-1
1.745227983E2,3.506681681E0,-9.456435204E0,-9.553344250E-1
1.750227983E2,3.812364578E0,-1.254197979E1,2.222334146E0
1.755227983E2,4.297509670E0,-1.012044334E1,-6.879364848E-1
1.760227983E2,6.599404812E0,-1.284347534E1,6.430711150E-1
1.765227983E2,4.463810444E0,-1.244746304E1,7.956135273E-2
1.770227983E2,9.457631111E0,-1.209212875E1,6.011967063E-1
1.775227983E2,4.058227062E0,-1.282911873E1,1.022931710E-1
1.780227983E2,1.003549862E1,-1.029511929E1,-1.082752228E0
1.785227983E2,4.806582451E0,-8.709874153E0,-1.623530149E0
1.790227983E2,4.298706055E0,-7.813164234E0,1.365105271E0
1.795227983E2,3.482155085E0,-5.729613781E0,-2.440679073E-1
1.800227983E2,2.003390789E0,-6.849454880E0,3.068794966E0
1.805227983E2,5.133800983E0,-4.565505505E0,-4.056432724E0
1.810227983E2,2.848655462E0,-7.478168964E0,7.944171429E-1
1.815227983E2,3.879363775E0,-4.013959885E0,-2.297109842E0
1.820227983E2,2.874976397E0,-8.430512428E0,8.315058798E-2
1.825227983E2,3.755535126E0,-1.037827015E1,-2.500499785E-1
1.830227983E2,4.123431683E0,-1.005464077E1,-4.851447940E-1
1.835227983E2,5.848058701E0,-1.331546021E1,3.601796389E0
1.840227983E2,4.093521118E0,-1.308036518E1,1.767697692E0
1.845227983E2,1.141077328E1,-9.201001167E0,1.513460279E-1
1.850227983E2,6.540780544E0,-1.101775169E1,2.078764677E0
1.855227983E2,9.322437286E0,-8.529814720E0,-1.782652885E-1
1.860227983E2,5.061418056E0,-1.058883858E1,-5.347958803E-1
1.865227983E2,4.167100430E0,-9.775279045E0,-3.649054468E-2
1.870227983E2,5.874977589E0,-6.153143406E0,-2.021337032E0
1.875227983E2,2.891726255E0,-1.176431274E1,3.608376503E0
1.880227983E2,4.283152580E0,-4.865206718E0,-3.175873756E0
1.885227983E2,5.161916733E0,-4.351347923E0,1.405783296E-1
1.890227983E2,3.445664644E0,-5.042873859E0,-3.729812384E0
1.895227983E2,1.794616938E0,-7.606184959E0,9.571290612E-1
1.900227983E2,2.992224693E0,-5.879763603E0,-1.999203324E0
1.905227983E2,2.472982168E0,-8.876175880E0,-7.495517135E-1
1.910227983E2,2.499901533E0,-7.363911629E0,-1.138983607E0
1.915227983E2,1.834098577E0,-9.596415520E0,-1.442273855E0
1.920227983E2,3.543172121E0,-1.240618706E1,6.927221417E-1
1.925227983E2,2.794816732E0,-1.113021469E1,9.272187948E-2
1.930227983E2,8.277970314E0,-1.222074318E1,-5.551348329E-1
1.935227983E2,2.126621008E0,-1.262752342E1,-9.870393574E-2
1.940227983E2,1.076949692E1,-1.123490047E1,-2.602194548E0
1.945227983E2,5.037489891E0,-1.102433205E1,9.493523836E-1
1.950227983E2,7.890332699E0,-7.988438606E0,-1.534397483E0
1.955227983E2,5.889334679E0,-8.177471161E0,-3.183650494E0
1.960227983E2,7.499105930E0,-8.112865448E0,-5.742774606E-1
1.965227983E2,6.106483459E0,-6.629314899E0,-3.092723370E0
1.970227983E2,4.624129772E0,-8.515457153E0,3.816552162E-1
1.975227983E2,4.441078663E0,-5.784050465E0,-4.114458561E0
1.980227983E2,2.927618504E0,-8.703892708E0,7.621139884E-1
1.985227983E2,5.338985443E0,-5.053641319E0,-3.178864956E0
1.990227983E2,2.461018085E0,-6.631109715E0,1.714457393E0
1.995227983E2,3.783650875E0,-5.371288776E0,-1.908276081E0
2.000227983E2,2.998805046E0,-7.149754047E0,1.591227055E-1
2.005227983E2,2.644667149E0,-7.290332317E0,-1.513460279E0
2.010227983E2,3.900300980E0,-9.637093544E0,-2.298306227E0
2.015227983E2,7.440482140E0,-9.625128746E0,1.724626899E0
2.020227983E2,4.635495663E0,-1.165005493E1,3.224328458E-1
2.025227983E2,1.016351414E1,-1.370608807E1,-1.263410330E0
2.030227983E2,5.227120876E0,-1.270110226E1,2.274976015E0
2.035227983E2,9.051449776E0,-1.046979523E1,-6.831508875E-1
2.040227983E2,2.353341103E0,-1.356371498E1,-4.085744619E-1
2.045227983E2,9.010173798E0,-9.151947975E0,-1.289133191E0
2.050227983E2,6.311069489E0,-1.043928719E1,-3.469592705E-2
2.055227983E2,6.357131481E0,-8.467002869E0,2.075773627E-1
2.060227983E2,4.106083870E0,-6.966104984E0,-6.334998131E0
2.065227983E2,4.635495663E0,-7.687541008E0,2.991028316E-2
2.070227983E2,4.322634220E0,-4.536791801E0,-3.943371773E0
2.075227983E2,2.719442844E0,-7.320840836E0,2.285743713E0
2.080227983E2,3.561716557E0,-4.710271358E0,-3.253042459E0
2.085227983E2,8.249256015E-1,-8.081758499E0,1.936391711E0
2.090227983E2,4.803591251E0,-5.222933769E0,-3.912863255E0
2.095227983E2,3.549154282E0,-7.540382385E0,1.818545222E0
2.100227983E2,3.641875982E0,-5.709274769E0,-6.065805554E-1
2.105227983E2,2.079961061E0,-7.941180229E0,-4.085744619E-1
2.110227983E2,9.062815905E-1,-8.857032776E0,-1.898106575E0
2.115227983E2,2.793022156E0,-1.114277649E1,-1.453041553E0
2.120227983E2,4.747360229E0,-1.310010624E1,1.540977836E0
2.125227983E2,5.819344521E0,-1.129771233E1,3.349951804E-1
2.130227983E2,1.354636765E1,-8.155936241E0,2.529811859E0
2.135227983E2,2.618944407E0,-1.328674603E1,-2.919243574E-1
2.140227983E2,8.819944382E0,-1.044048309E1,7.196413875E-1
2.145227983E2,5.581857204E0,-1.163210869E1,9.092725813E-2
