"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.481430141E2,5.191203578E1,4.466152110E0,6.347994478E-1,9.548296213E-1,2.347588919E2,4.732339265E0,3.380754667E0
2.491431286E2,5.191202599E1,4.466143327E0,1.883506738E-1,9.729527844E-1,2.292660232E2,4.734658063E0,3.377506486E0
2.501419754E2,5.191202117E1,4.466122153E0,3.541335464E-1,1.138641028E0,2.335889606E2,4.736181398E0,3.375370023E0
2.511401640E2,5.191201790E1,4.466110849E0,7.845317051E-1,9.352750482E-1,2.371927355E2,4.735199268E0,3.376747685E0
2.521428237E2,5.191201520E1,4.466092947E0,8.522204440E-1,9.034651115E-1,2.417776224E2,4.734226151E0,3.378111867E0
2.531433496E2,5.191200942E1,4.466077191E0,6.286353357E-1,1.023001063E0,2.407958088E2,4.734075021E0,3.378323656E0
2.541434245E2,5.191199977E1,4.466060814E0,3.344203159E-1,1.235643265E0,2.347995031E2,4.735706410E0,3.376036409E0
2.551373552E2,5.191199478E1,4.466045012E0,1.932772128E-1,1.190279176E0,2.402294740E2,4.735421150E0,3.376436518E0
2.561438260E2,5.191199036E1,4.466029743E0,2.434667526E-1,1.093606822E0,2.404341207E2,4.734573653E0,3.377624810E0
2.571427579E2,5.191199060E1,4.466011811E0,3.938510632E-1,9.103120428E-1,2.528443178E2,4.736433069E0,3.375016861E0
2.581424706E2,5.191198310E1,4.465988756E0,1.451899884E-1,1.067946616E0,2.469214384E2,4.738044073E0,3.372754867E0
2.591426543E2,5.191197933E1,4.465979026E0,2.712928774E-1,9.239656801E-1,2.403994838E2,4.737223846E0,3.373906826E0
2.601381935E2,5.191197420E1,4.465956508E0,1.269798214E-1,1.167743394E0,2.440173691E2,4.736046946E0,3.375558673E0
2.611435053E2,5.191197240E1,4.465937440E0,3.389462968E-1,1.146895494E0,2.515059917E2,4.736755133E0,3.374564837E0
2.621425685E2,5.191197191E1,4.465906189E0,6.000228385E-1,1.597217206E0,2.628265855E2,4.736645989E0,3.374718033E0
2.631444674E2,5.191197627E1,4.465889984E0,6.698526349E-1,1.034716742E0,2.784784445E2,4.733702710E0,3.378845319E0
2.641421294E2,5.191198065E1,4.465871008E0,5.102878157E-1,1.134689887E0,2.862760481E2,4.732950031E0,3.379899560E0
2.651430808E2,5.191198742E1,4.465864996E0,-7.884380408E-3,8.936290315E-1,3.080377607E2,4.732814943E0,3.380088719E0
2.661420243E2,5.191198974E1,4.465848286E0,-3.365992215E-1,8.588888764E-1,2.980558165E2,4.733229896E0,3.379507624E0
2.671393530E2,5.191199533E1,4.465826262E0,-2.578687966E-1,1.140553724E0,2.946512351E2,4.734715809E0,3.377425534E0
2.681439066E2,5.191200165E1,4.465802065E0,-2.148372903E-1,1.459954229E0,2.958820096E2,4.739570379E0,3.370609686E0
2.691422229E2,5.191200813E1,4.465793056E0,6.087591778E-2,1.028984504E0,3.095288176E2,4.738604828E0,3.371966981E0
2.701417753E2,5.191201462E1,4.465769344E0,2.817476615E-1,1.521675629E0,3.036686782E2,4.737655260E0,3.373301005E0
2.711423613E2,5.191201624E1,4.465761170E0,-1.256533284E-1,9.688384595E-1,3.010261367E2,4.738035302E0,3.372767188E0
2.721424850E2,5.191201675E1,4.465747261E0,3.965159636E-1,9.717637699E-1,2.935597730E2,4.737913995E0,3.372937593E0
2.731389323E2,5.191201537E1,4.465725325E0,1.961653903E-1,1.148031182E0,2.779252413E2,4.739900927E0,3.370144839E0
2.741405540E2,5.191201488E1,4.465706162E0,4.761053175E-1,1.094794877E0,2.725178234E2,4.738745272E0,3.371769606E0
2.751421559E2,5.191201634E1,4.465685946E0,3.659861805E-1,1.200465092E0,2.742984762E2,4.737263601E0,3.373851005E0
2.761413224E2,5.191201837E1,4.465675803E0,6.677469853E-1,9.613272904E-1,2.787119631E2,4.738968405E0,3.371455990E0
2.771424619E2,5.191202098E1,4.465648089E0,8.172116969E-1,1.340270825E0,2.779972987E2,4.738109723E0,3.372662641E0
2.781415429E2,5.191202189E1,4.465627987E0,7.218184080E-1,1.338425623E0,2.766745779E2,4.740678826E0,3.369050504E0
2.791441491E2,5.191202291E1,4.465616981E0,5.896368967E-1,9.613892750E-1,2.778525887E2,4.743041214E0,3.365723855E0
2.801418321E2,5.191202085E1,4.465602432E0,6.212249631E-1,9.325128004E-1,2.702529007E2,4.738297464E0,3.372398876E0
2.811428360E2,5.191202248E1,4.465582810E0,5.108176488E-1,1.075259404E0,2.728743455E2,4.737566859E0,3.373425157E0
2.821412730E2,5.191202173E1,4.465573903E0,7.087610317E-1,8.636337421E-1,2.744493232E2,4.740357236E0,3.369502977E0
2.831392181E2,5.191202614E1,4.465548474E0,9.325208245E-1,1.192428394E0,2.785970231E2,4.739831222E0,3.370242873E0
2.841421096E2,5.191203098E1,4.465535297E0,8.162822621E-1,1.065195094E0,2.862457741E2,4.740033773E0,3.369957991E0
2.851428441E2,5.191202993E1,4.465524122E0,6.238143211E-1,9.194629567E-1,2.842126596E2,4.740646066E0,3.369096601E0
2.861363833E2,5.191202950E1,4.465506579E0,4.537278153E-1,9.951608049E-1,2.778155704E2,4.744500208E0,3.363666870E0
2.871386161E2,5.191202906E1,4.465489139E0,4.702191167E-1,9.902356577E-1,2.727092611E2,4.747959482E0,3.358782188E0
2.881372569E2,5.191202886E1,4.465473466E0,4.436172731E-1,1.027649175E0,2.723792812E2,4.750555064E0,3.355110075E0
2.891373343E2,5.191202939E1,4.465447137E0,7.810643530E-1,1.286009577E0,2.710309321E2,4.759032704E0,3.343074147E0
2.901401173E2,5.191203157E1,4.465430607E0,7.940941937E-1,1.015941209E0,2.753197983E2,4.760919155E0,3.340387078E0
2.911406120E2,5.191203020E1,4.465421590E0,6.136718690E-1,6.073715806E-1,2.709899960E2,4.761006012E0,3.340263281E0
2.921390879E2,5.191203091E1,4.465416340E0,4.390130769E-1,3.335385640E-1,2.628922199E2,4.759645877E0,3.342201094E0
2.931394718E2,5.191203030E1,4.465410078E0,2.355464958E-1,2.174539670E-1,2.628922149E2,4.766275737E0,3.332739508E0
2.941409699E2,5.191202864E1,4.465382291E0,-4.923228640E-1,9.875987060E-1,2.505384028E2,4.774725990E0,3.320621743E0
2.951383868E2,5.191202567E1,4.465361588E0,-1.870603766E-1,1.265103419E0,2.467643638E2,4.776690389E0,3.317795346E0
2.961387860E2,5.191202170E1,4.465347659E0,-5.119068222E-1,1.168034472E0,2.430466722E2,4.773396917E0,3.322532002E0
2.971398009E2,5.191202159E1,4.465326361E0,-4.335127929E-1,1.204139461E0,2.460300399E2,4.774789634E0,3.320530226E0
2.981394436E2,5.191202421E1,4.465305905E0,-5.681428760E-1,1.188103484E0,2.515346375E2,4.774477235E0,3.320979399E0
2.991394461E2,5.191202844E1,4.465291387E0,-2.627891228E-1,9.366042106E-1,2.594436123E2,4.778667710E0,3.314946749E0
3.001388730E2,5.191202839E1,4.465274600E0,-4.257669942E-1,8.938131537E-1,2.555197409E2,4.778268989E0,3.315521453E0
3.011395481E2,5.191202560E1,4.465255210E0,-3.236126713E-2,8.217024616E-1,2.459311933E2,4.779009613E0,3.314453824E0
3.021358339E2,5.191202951E1,4.465238101E0,4.401644878E-2,8.930223752E-1,2.479871367E2,4.779897506E0,3.313173232E0
3.031375585E2,5.191202686E1,4.465222248E0,1.186639620E-1,8.851935632E-1,2.442341639E2,4.782418104E0,3.309533820E0
3.041382976E2,5.191202542E1,4.465204270E0,-1.988539100E-2,8.763308397E-1,2.420877010E2,4.787906002E0,3.301589488E0
3.051392299E2,5.191202303E1,4.465186013E0,-9.352509584E-2,1.043175373E0,2.433214965E2,4.794973909E0,3.291316187E0
3.061388732E2,5.191202422E1,4.465167273E0,2.685797513E-1,9.131974587E-1,2.502827783E2,4.801786151E0,3.281369651E0
3.071398180E2,5.191202462E1,4.465148640E0,2.848899271E-2,9.464077882E-1,2.438283412E2,4.802382014E0,3.280497528E0
