"Time (s)","Pressure (hPa)"
5.580303439E1,1.011155640E3
5.630303439E1,1.011102783E3
5.680303439E1,1.011121094E3
5.730303439E1,1.011158203E3
5.780303439E1,1.011086060E3
5.830303439E1,1.011156006E3
5.880303439E1,1.011116577E3
5.930303439E1,1.011094238E3
5.980303439E1,1.011130493E3
6.030303439E1,1.011097900E3
6.080303439E1,1.011162598E3
6.130303439E1,1.011109863E3
6.180303439E1,1.011192383E3
6.230303439E1,1.011129395E3
6.280303439E1,1.011095215E3
6.330303439E1,1.011088745E3
6.380303439E1,1.011092651E3
6.430303439E1,1.011044922E3
6.480303439E1,1.011142456E3
6.530303439E1,1.011139282E3
6.580303439E1,1.011057983E3
6.630303439E1,1.011123169E3
6.680303439E1,1.011215820E3
6.730303439E1,1.011140015E3
6.780303439E1,1.011108276E3
6.830303439E1,1.011144531E3
6.880303439E1,1.011117798E3
6.930303439E1,1.011079346E3
6.980303439E1,1.011171631E3
7.030303439E1,1.011112305E3
7.080303439E1,1.011175171E3
7.130303439E1,1.011166626E3
7.180303439E1,1.011106934E3
7.230303439E1,1.011071045E3
7.280303439E1,1.011176880E3
7.330303439E1,1.011097778E3
7.380303439E1,1.011143799E3
7.430303439E1,1.011145752E3
7.480303439E1,1.011058594E3
7.530303439E1,1.011153931E3
7.580303439E1,1.011125122E3
7.630303439E1,1.011093506E3
7.680303439E1,1.011158325E3
7.730303439E1,1.011102661E3
7.780303439E1,1.011136719E3
7.830303439E1,1.011139160E3
7.880303439E1,1.011104126E3
7.930303439E1,1.011112061E3
7.980303439E1,1.011134644E3
8.030303439E1,1.011120117E3
8.080303439E1,1.011179443E3
8.130303439E1,1.011161621E3
8.180303439E1,1.011146484E3
8.230303439E1,1.011079346E3
8.280303439E1,1.011116821E3
8.330303439E1,1.011128540E3
8.380303439E1,1.011150024E3
8.430303439E1,1.011074829E3
8.480303439E1,1.011088989E3
8.530303439E1,1.011212769E3
8.580303439E1,1.011134888E3
8.630303439E1,1.011104980E3
8.680303439E1,1.011128540E3
8.730303439E1,1.011025879E3
8.780303439E1,1.011078857E3
8.830303439E1,1.011162231E3
8.880303439E1,1.011088135E3
8.930303439E1,1.011107910E3
8.980303439E1,1.011219604E3
9.030303439E1,1.011139893E3
9.080303439E1,1.011053223E3
9.130303439E1,1.011161865E3
9.180303439E1,1.011143188E3
9.230303439E1,1.011053833E3
9.280303439E1,1.011134155E3
9.330303439E1,1.011138672E3
9.380303439E1,1.011039429E3
9.430303439E1,1.011117432E3
9.480303439E1,1.011152344E3
9.530303439E1,1.011094116E3
9.580303439E1,1.011073608E3
9.630303439E1,1.011115967E3
9.680303439E1,1.011107910E3
9.730303439E1,1.011046753E3
9.780303439E1,1.011130249E3
9.830303439E1,1.011100342E3
