"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.837926116E2,-7.209375000E1,4.329375076E1,-5.437500000E0
7.842926116E2,-7.216875458E1,4.181250000E1,-5.043750286E0
7.847926116E2,-7.211250305E1,4.033125305E1,-4.331250191E0
7.852926116E2,-7.226250458E1,3.939375305E1,-3.843750238E0
7.857926116E2,-7.254375458E1,3.898125076E1,-3.337500095E0
7.862926116E2,-7.209375000E1,3.808125305E1,-3.075000048E0
7.867926116E2,-7.098750305E1,3.676875305E1,-3.225000143E0
7.872926116E2,-7.014375305E1,3.551250076E1,-3.112500191E0
7.877926116E2,-6.986250305E1,3.515625000E1,-3.150000095E0
7.882926116E2,-7.042500305E1,3.583125305E1,-3.112500191E0
7.887926116E2,-7.115625000E1,3.676875305E1,-3.112500191E0
7.892926116E2,-7.145625305E1,3.733125305E1,-2.812500000E0
7.897926116E2,-7.119375610E1,3.697500229E1,-2.793750048E0
7.902926116E2,-7.014375305E1,3.577500153E1,-2.793750048E0
7.907926116E2,-6.907500458E1,3.450000000E1,-2.850000143E0
7.912926116E2,-6.858750153E1,3.403125000E1,-2.943750143E0
7.917926116E2,-6.796875000E1,3.324375153E1,-3.018750191E0
7.922926116E2,-6.663750458E1,3.153750038E1,-3.075000048E0
7.927926116E2,-6.470625305E1,2.936250114E1,-3.131250143E0
7.932926116E2,-6.271875381E1,2.694375038E1,-3.243750095E0
7.937926116E2,-6.153750229E1,2.559375191E1,-3.412500143E0
7.942926116E2,-6.153750229E1,2.555625153E1,-3.487500191E0
7.947926116E2,-6.210000229E1,2.617500114E1,-3.431250095E0
7.952926116E2,-6.232500076E1,2.641875076E1,-3.337500095E0
7.957926116E2,-6.273750305E1,2.698125076E1,-3.168750048E0
7.962926116E2,-6.358125305E1,2.808750153E1,-3.075000048E0
7.967926116E2,-6.489375305E1,2.958750153E1,-2.981250048E0
7.972926116E2,-6.669375610E1,3.165000153E1,-2.906250000E0
7.977926116E2,-6.841875458E1,3.363750076E1,-2.775000095E0
7.982926116E2,-6.991875458E1,3.545625305E1,-2.812500000E0
7.987926116E2,-7.130625153E1,3.714375305E1,-2.906250000E0
7.992926116E2,-7.297500610E1,3.909375000E1,-2.925000191E0
7.997926116E2,-7.470000458E1,4.108125305E1,-2.981250048E0
8.002926116E2,-7.623750305E1,4.288125229E1,-2.943750143E0
8.007926116E2,-7.758750153E1,4.440000153E1,-2.925000191E0
8.012926116E2,-7.871250153E1,4.584375000E1,-2.887500048E0
8.017926116E2,-7.953750610E1,4.687500000E1,-2.962500095E0
8.022926116E2,-8.017500305E1,4.764375305E1,-3.093750238E0
8.027926116E2,-8.066250610E1,4.828125381E1,-2.962500095E0
8.032926116E2,-8.079375458E1,4.846875381E1,-3.075000048E0
8.037926116E2,-8.073750305E1,4.856250381E1,-3.075000048E0
8.042926116E2,-8.085000610E1,4.873125076E1,-3.206250191E0
8.047926116E2,-8.122500610E1,4.925625229E1,-3.243750095E0
8.052926116E2,-8.165625000E1,4.968750381E1,-3.487500191E0
8.057926116E2,-8.221875000E1,5.030625153E1,-3.468750238E0
8.062926116E2,-8.268750000E1,5.085000229E1,-3.318750143E0
8.067926116E2,-8.261250305E1,5.090625381E1,-3.300000191E0
8.072926116E2,-8.236875153E1,5.068125153E1,-3.243750095E0
8.077926116E2,-8.197500610E1,5.015625381E1,-3.243750095E0
8.082926116E2,-8.122500610E1,4.933125305E1,-3.187500238E0
8.087926116E2,-8.025000000E1,4.824375153E1,-3.262500048E0
8.092926116E2,-7.925625610E1,4.717500305E1,-3.150000095E0
8.097926116E2,-7.818750000E1,4.599375153E1,-3.356250048E0
8.102926116E2,-7.685625458E1,4.470000076E1,-3.337500095E0
8.107926116E2,-7.578750610E1,4.344375229E1,-3.318750143E0
8.112926116E2,-7.485000610E1,4.224375153E1,-4.012500286E0
8.117926116E2,-7.417500305E1,4.140000153E1,-4.800000191E0
8.122926116E2,-7.389375305E1,4.100625229E1,-4.968750000E0
8.127926116E2,-7.338750458E1,4.036875153E1,-5.118750095E0
8.132926116E2,-7.246875000E1,3.926250076E1,-5.193750381E0
8.137926116E2,-7.151250458E1,3.804375076E1,-4.968750000E0
8.142926116E2,-7.115625000E1,3.740625000E1,-5.025000095E0
8.147926116E2,-7.175625610E1,3.795000076E1,-5.175000191E0
8.152926116E2,-7.258125305E1,3.907500076E1,-4.518750191E0
8.157926116E2,-7.336875153E1,4.008750153E1,-3.881250143E0
8.162926116E2,-7.456875610E1,4.153125000E1,-3.806250095E0
8.167926116E2,-7.655625153E1,4.378125000E1,-3.600000143E0
8.172926116E2,-7.893750000E1,4.668750000E1,-3.581250191E0
8.177926116E2,-8.143125153E1,4.974375153E1,-3.618750095E0
8.182926116E2,-8.356875610E1,5.233125305E1,-3.618750095E0
8.187926116E2,-8.506875610E1,5.416875076E1,-3.468750238E0
8.192926116E2,-8.641875458E1,5.581875229E1,-3.525000095E0
8.197926116E2,-8.793750000E1,5.763750076E1,-3.431250095E0
8.202926120E2,-8.908125305E1,5.906250381E1,-3.356250048E0
8.207926120E2,-8.994375610E1,6.015000153E1,-3.712500095E0
8.212926120E2,-9.084375000E1,6.099375153E1,-4.012500286E0
8.217926120E2,-9.157500458E1,6.191250229E1,-3.993750095E0
8.222926120E2,-9.241875458E1,6.294375229E1,-3.956250191E0
8.227926120E2,-9.311250305E1,6.378750229E1,-4.631250381E0
8.232926120E2,-9.348750305E1,6.438750458E1,-5.456250191E0
8.237926120E2,-9.337500000E1,6.433125305E1,-5.850000381E0
8.242926120E2,-9.315000153E1,6.371250153E1,-5.812500000E0
8.247926120E2,-9.273750305E1,6.294375229E1,-5.362500191E0
8.252926120E2,-9.230625153E1,6.221250153E1,-4.968750000E0
8.257926120E2,-9.105000305E1,6.046875381E1,-4.912500381E0
8.262926120E2,-8.925000000E1,5.793750381E1,-5.175000191E0
8.267926120E2,-8.746875000E1,5.540625381E1,-4.650000095E0
8.272926120E2,-8.613750458E1,5.345625305E1,-3.806250095E0
8.277926120E2,-8.591250610E1,5.263125229E1,-3.506250143E0
8.282926120E2,-8.604375458E1,5.257500076E1,-3.543750048E0
8.287926120E2,-8.460000610E1,5.073750305E1,-3.412500143E0
8.292926120E2,-8.109375000E1,4.644375229E1,-3.600000143E0
8.297926120E2,-7.779375458E1,4.228125000E1,-3.712500095E0
8.302926120E2,-7.500000000E1,3.883125305E1,-3.431250095E0
8.307926120E2,-7.224375153E1,3.540000153E1,-3.337500095E0
8.312926120E2,-6.924375153E1,3.161250114E1,-3.693750143E0
8.317926120E2,-6.568125153E1,2.733750153E1,-3.600000143E0
8.322926120E2,-6.165000153E1,2.263125038E1,-3.675000191E0
8.327926120E2,-5.917500305E1,1.972500038E1,-3.918750048E0
8.332926120E2,-5.893125153E1,1.950000000E1,-3.675000191E0
8.337926120E2,-5.893125153E1,1.953750038E1,-3.562500238E0
8.342926120E2,-5.881875229E1,1.944375038E1,-3.637500048E0
8.347926120E2,-5.893125153E1,1.965000153E1,-3.675000191E0
8.352926120E2,-5.919375229E1,1.991250038E1,-3.168750048E0
8.357926120E2,-5.919375229E1,1.993125153E1,-3.131250143E0
8.362926120E2,-5.925000381E1,1.991250038E1,-3.131250143E0
8.367926120E2,-5.949375153E1,1.980000114E1,-3.206250191E0
8.372926120E2,-5.962500381E1,1.948125076E1,-3.225000143E0
8.377926120E2,-6.005625153E1,1.950000000E1,-3.262500048E0
8.382926120E2,-6.073125076E1,1.983750153E1,-3.168750048E0
8.387926120E2,-6.133125305E1,2.006250000E1,-3.206250191E0
8.392926120E2,-6.187500381E1,2.025000000E1,-3.187500238E0
8.397926120E2,-6.262500381E1,2.070000076E1,-3.168750048E0
8.402926120E2,-6.373125076E1,2.163750076E1,-3.093750238E0
8.407926120E2,-6.496875000E1,2.298750114E1,-3.037500143E0
8.412926120E2,-6.654375458E1,2.473125076E1,-3.037500143E0
8.417926120E2,-6.845625305E1,2.694375038E1,-3.037500143E0
8.422926120E2,-7.059375000E1,2.930625153E1,-3.525000095E0
8.427926120E2,-7.340625000E1,3.245625305E1,-3.825000048E0
