"Time (s)","Pressure (hPa)"
1.423036314E2,1.011303955E3
1.428036314E2,1.011318726E3
1.433036314E2,1.011306519E3
1.438036314E2,1.011295410E3
1.443036314E2,1.011287354E3
1.448036314E2,1.011297119E3
1.453036314E2,1.011297607E3
1.458036314E2,1.011288208E3
1.463036314E2,1.011269653E3
1.468036314E2,1.011269531E3
1.473036314E2,1.011279663E3
1.478036314E2,1.011298340E3
1.483036314E2,1.011331177E3
1.488036314E2,1.011342896E3
1.493036314E2,1.011358398E3
1.498036314E2,1.011361450E3
1.503036314E2,1.011392090E3
1.508036314E2,1.011434937E3
1.513036314E2,1.011450684E3
1.518036314E2,1.011472900E3
1.523036314E2,1.011482300E3
1.528036314E2,1.011532227E3
1.533036314E2,1.011575806E3
1.538036314E2,1.011620850E3
1.543036314E2,1.011673706E3
1.548036314E2,1.011725830E3
1.553036314E2,1.011787354E3
1.558036314E2,1.011866455E3
1.563036314E2,1.011979370E3
1.568036314E2,1.012067505E3
1.573036314E2,1.012219238E3
1.578036314E2,1.012344971E3
1.583036314E2,1.012543457E3
1.588036314E2,1.012726074E3
1.593036314E2,1.012893555E3
1.598036314E2,1.012853027E3
1.603036314E2,1.011940674E3
1.608036314E2,1.011178467E3
1.613036314E2,1.010599121E3
1.618036314E2,1.010530273E3
1.623036314E2,1.010497314E3
1.628036314E2,1.010327515E3
1.633036314E2,1.010056274E3
1.638036314E2,1.009815674E3
1.643036314E2,1.009461792E3
1.648036314E2,1.009413696E3
1.653036314E2,1.009452026E3
1.658036314E2,1.009427979E3
1.663036314E2,1.009376831E3
1.668036314E2,1.009341064E3
1.673036314E2,1.009281372E3
1.678036314E2,1.009767212E3
1.683036314E2,1.010666138E3
1.688036314E2,1.010919312E3
1.693036314E2,1.010830444E3
1.698036314E2,1.010760742E3
1.703036314E2,1.010862793E3
1.708036314E2,1.011138672E3
1.713036314E2,1.011264160E3
1.718036314E2,1.011192139E3
1.723036314E2,1.011027222E3
1.728036314E2,1.011071899E3
1.733036314E2,1.011205200E3
1.738036314E2,1.011340698E3
1.743036314E2,1.011281250E3
1.748036314E2,1.011145142E3
1.753036314E2,1.010944702E3
1.758036314E2,1.010725708E3
1.763036314E2,1.010752563E3
1.768036314E2,1.010857300E3
1.773036314E2,1.010914917E3
1.778036314E2,1.010870483E3
1.783036314E2,1.010867676E3
1.788036314E2,1.010818970E3
1.793036314E2,1.010853760E3
1.798036314E2,1.010853760E3
1.803036314E2,1.010871704E3
1.808036314E2,1.011133057E3
1.813036314E2,1.011104736E3
1.818036314E2,1.011100342E3
1.823036314E2,1.011172363E3
1.828036314E2,1.011190552E3
1.833036314E2,1.011262817E3
1.838036314E2,1.011343262E3
1.843036314E2,1.011235718E3
1.848036314E2,1.011244263E3
1.853036314E2,1.011287842E3
1.858036314E2,1.011403076E3
1.863036314E2,1.011460938E3
1.868036314E2,1.011467285E3
1.873036314E2,1.011375977E3
1.878036314E2,1.011343018E3
1.883036314E2,1.011405640E3
1.888036314E2,1.011480835E3
1.893036314E2,1.011475708E3
1.898036314E2,1.011395386E3
1.903036314E2,1.011332031E3
1.908036314E2,1.011382446E3
1.913036314E2,1.011434692E3
1.918036314E2,1.011463867E3
1.923036314E2,1.011416992E3
1.928036314E2,1.011312988E3
1.933036314E2,1.011266602E3
1.938036314E2,1.011319092E3
1.943036314E2,1.011360840E3
1.948036314E2,1.011355225E3
1.953036314E2,1.011290527E3
1.958036314E2,1.011255127E3
1.963036314E2,1.011273193E3
1.968036314E2,1.011420898E3
1.973036314E2,1.011489136E3
1.978036314E2,1.011740234E3
1.983036314E2,1.011965454E3
1.988036314E2,1.012093750E3
1.993036314E2,1.012215332E3
1.998036314E2,1.012215332E3
2.003036314E2,1.012250488E3
2.008036314E2,1.012101318E3
2.013036314E2,1.012180176E3
2.018036314E2,1.011759766E3
2.023036314E2,1.011625000E3
2.028036314E2,1.011359497E3
2.033036314E2,1.010878418E3
2.038036314E2,1.010283936E3
2.043036314E2,1.010110107E3
2.048036314E2,1.010200562E3
2.053036314E2,1.010280518E3
2.058036314E2,1.010531006E3
2.063036314E2,1.010769653E3
2.068036314E2,1.010814209E3
2.073036314E2,1.010795898E3
2.078036314E2,1.010740845E3
2.083036314E2,1.010826294E3
2.088036314E2,1.011138428E3
2.093036314E2,1.011496948E3
2.098036314E2,1.011523926E3
2.103036314E2,1.011454834E3
2.108036314E2,1.011382812E3
2.113036314E2,1.011445068E3
2.118036314E2,1.011442627E3
2.123036314E2,1.011421631E3
2.128036314E2,1.011460449E3
2.133036314E2,1.011528809E3
2.138036314E2,1.011582520E3
2.143036314E2,1.011696411E3
2.148036314E2,1.011833984E3
2.153036314E2,1.011968140E3
2.158036314E2,1.012050659E3
2.163036314E2,1.012066650E3
2.168036314E2,1.012177002E3
2.173036314E2,1.012291260E3
2.178036314E2,1.012405640E3
2.183036314E2,1.012469727E3
2.188036314E2,1.012509521E3
2.193036314E2,1.012625854E3
2.198036314E2,1.012625854E3
2.203036314E2,1.012808716E3
2.208036314E2,1.013196777E3
2.213036314E2,1.013272705E3
2.218036314E2,1.013275635E3
2.223036314E2,1.013223633E3
2.228036314E2,1.013202026E3
2.233036314E2,1.013273071E3
2.238036314E2,1.013301758E3
2.243036314E2,1.013302124E3
2.248036314E2,1.013316895E3
2.253036314E2,1.013322144E3
2.258036314E2,1.013328003E3
2.263036314E2,1.013338135E3
2.268036314E2,1.013328613E3
2.273036314E2,1.013327881E3
2.278036314E2,1.013323242E3
2.283036314E2,1.013338257E3
2.288036314E2,1.013353882E3
2.293036314E2,1.013332275E3
2.298036314E2,1.013344116E3
2.303036314E2,1.013354614E3
2.308036314E2,1.013359253E3
2.313036314E2,1.013354614E3
2.318036314E2,1.013346191E3
2.323036314E2,1.013355103E3
2.328036314E2,1.013340698E3
2.333036314E2,1.013336548E3
2.338036314E2,1.013322510E3
2.343036314E2,1.013327515E3
2.348036314E2,1.013355713E3
2.353036314E2,1.013434570E3
2.358036314E2,1.013484985E3
2.363036314E2,1.013475098E3
2.368036314E2,1.013464600E3
2.373036314E2,1.013479004E3
2.378036314E2,1.013475586E3
2.383036314E2,1.013475098E3
2.388036314E2,1.013479980E3
2.393036314E2,1.013501465E3
2.398036314E2,1.013501465E3
2.403036314E2,1.013510376E3
2.408036314E2,1.013522949E3
2.413036314E2,1.013462402E3
2.418036314E2,1.013397217E3
2.423036314E2,1.013273438E3
2.428036314E2,1.013203979E3
2.433036314E2,1.013191895E3
2.438036314E2,1.013132568E3
2.443036314E2,1.013112061E3
2.448036314E2,1.013109253E3
2.453036314E2,1.013081543E3
2.458036314E2,1.013058228E3
2.463036314E2,1.013056030E3
2.468036314E2,1.013049072E3
2.473036314E2,1.013056152E3
2.478036314E2,1.013062134E3
2.483036314E2,1.013054077E3
2.488036314E2,1.013055054E3
2.493036314E2,1.013063477E3
2.498036314E2,1.013055786E3
2.503036314E2,1.013061157E3
2.508036314E2,1.013065674E3
2.513036314E2,1.013061279E3
2.518036314E2,1.013067749E3
2.523036314E2,1.013062378E3
2.528036314E2,1.013052490E3
2.533036314E2,1.013053345E3
2.538036314E2,1.013059326E3
2.543036314E2,1.013051636E3
2.548036314E2,1.013050293E3
2.553036314E2,1.013041626E3
2.558036314E2,1.013049072E3
2.563036314E2,1.013044922E3
2.568036314E2,1.013051392E3
2.573036314E2,1.013046265E3
2.578036314E2,1.013064087E3
2.583036314E2,1.013050415E3
2.588036314E2,1.013050293E3
2.593036314E2,1.013059570E3
2.598036314E2,1.013059570E3
2.603036314E2,1.013059570E3
2.608036314E2,1.013059570E3
2.613036314E2,1.013059570E3
2.618036314E2,1.013059570E3
2.623036314E2,1.013059570E3
2.628036314E2,1.013059570E3
2.633036314E2,1.013059570E3
2.638036314E2,1.013059570E3
2.643036314E2,1.013059570E3
2.648036314E2,1.013059570E3
2.653036314E2,1.013059570E3
2.658036314E2,1.013059570E3
2.663036314E2,1.013059570E3
2.668036314E2,1.013059570E3
2.673036314E2,1.013059570E3
2.678036314E2,1.013059570E3
2.683036314E2,1.013059570E3
2.688036314E2,1.013059570E3
2.693036314E2,1.013059570E3
2.698036314E2,1.013059570E3
2.703036314E2,1.013059570E3
2.708036314E2,1.013059570E3
2.713036314E2,1.013059570E3
2.718036314E2,1.013059570E3
2.723036314E2,1.013059570E3
2.728036314E2,1.013059570E3
2.733036314E2,1.013059570E3
2.738036314E2,1.013059570E3
2.743036314E2,1.013059570E3
