"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.168309150E2,5.248811009E1,4.952406620E0,4.081971767E0,6.360000134E0,1.921000061E2,9.942840576E0,2.500000000E0
3.178309150E2,5.248805048E1,4.952384450E0,3.535914012E0,6.960000038E0,1.926000061E2,9.965573311E0,2.500000000E0
3.188309150E2,5.248798479E1,4.952364150E0,3.520122163E0,7.550000191E0,1.925000000E2,9.962991714E0,2.500000000E0
3.198309150E2,5.248791452E1,4.952338810E0,3.170519481E0,8.029999733E0,1.941000061E2,9.960079193E0,2.500000000E0
3.208309150E2,5.248784182E1,4.952308370E0,3.352160260E0,8.270000458E0,1.953000031E2,9.960918427E0,2.500000000E0
3.218309150E2,5.248777224E1,4.952276370E0,3.584952003E0,7.989999771E0,1.966000061E2,9.961825371E0,2.500000000E0
3.228309150E2,5.248770511E1,4.952243890E0,3.624265502E0,7.460000038E0,1.970000000E2,9.974103928E0,2.500000000E0
3.238309150E2,5.248764842E1,4.952215450E0,3.840964473E0,6.570000172E0,1.976999969E2,9.964420319E0,2.500000000E0
3.248309150E2,5.248759964E1,4.952190650E0,4.558165188E0,5.429999828E0,1.973999939E2,9.958786011E0,2.500000000E0
3.258309150E2,5.248755839E1,4.952169780E0,4.668689547E0,4.679999828E0,1.968999939E2,9.950351715E0,2.500000000E0
3.268309150E2,5.248752110E1,4.952148180E0,4.592939808E0,4.269999981E0,1.996999969E2,9.950291634E0,2.500000000E0
3.278309150E2,5.248748721E1,4.952124710E0,4.908612241E0,4.179999828E0,2.025000000E2,9.951756477E0,2.500000000E0
3.288309150E2,5.248745454E1,4.952090580E0,5.060705760E0,4.300000191E0,2.106999969E2,9.938275337E0,2.500000000E0
3.298309150E2,5.248742706E1,4.952046480E0,5.502046261E0,4.389999866E0,2.231000061E2,9.951473236E0,2.500000000E0
3.308309150E2,5.248740772E1,4.951986180E0,5.623869537E0,4.659999847E0,2.343000031E2,9.957021713E0,2.500000000E0
3.318309150E2,5.248739755E1,4.951918530E0,5.813206321E0,4.980000019E0,2.530000000E2,9.963005066E0,2.500000000E0
3.328309150E2,5.248739850E1,4.951845760E0,5.826225286E0,5.320000172E0,2.701000061E2,9.970100403E0,2.500000000E0
3.338309150E2,5.248740849E1,4.951774370E0,5.606347801E0,5.420000076E0,2.827999878E2,1.001550102E1,2.500000000E0
3.348309150E2,5.248742229E1,4.951699080E0,5.747252198E0,5.619999886E0,2.880000000E2,9.937273979E0,2.500000000E0
3.358309150E2,5.248743654E1,4.951611180E0,5.609951384E0,6.250000000E0,2.855000000E2,9.953291893E0,2.500000000E0
3.368309150E2,5.248745343E1,4.951518430E0,5.564448277E0,6.889999866E0,2.866000061E2,9.951112747E0,2.500000000E0
3.378309150E2,5.248747308E1,4.951414660E0,5.640341375E0,7.590000153E0,2.877999878E2,9.950927734E0,2.500000000E0
3.388309150E2,5.248749463E1,4.951301080E0,5.581160458E0,8.170000076E0,2.878999939E2,9.954278946E0,2.500000000E0
3.398309150E2,5.248751865E1,4.951178810E0,5.510442169E0,8.840000153E0,2.877999878E2,9.954096794E0,2.500000000E0
3.408309150E2,5.248754338E1,4.951053340E0,5.389491025E0,9.369999886E0,2.882000122E2,9.950381279E0,2.500000000E0
3.418309150E2,5.248757024E1,4.950916460E0,5.318951066E0,9.909999847E0,2.878999939E2,9.950846672E0,2.500000000E0
3.428309150E2,5.248759759E1,4.950775370E0,5.363338463E0,1.006999969E1,2.875000000E2,9.951083183E0,2.500000000E0
3.438309150E2,5.248762351E1,4.950636990E0,5.356211785E0,9.760000229E0,2.872000122E2,9.952650070E0,2.500000000E0
3.448309150E2,5.248764845E1,4.950501120E0,5.354700459E0,9.520000458E0,2.867000122E2,9.950532913E0,2.500000000E0
3.458309150E2,5.248767142E1,4.950373710E0,5.481182155E0,8.770000458E0,2.865000000E2,9.950883865E0,2.500000000E0
3.468309150E2,5.248769257E1,4.950257060E0,5.394716091E0,7.630000114E0,2.863999939E2,9.955967903E0,2.500000000E0
3.478309150E2,5.248770882E1,4.950164130E0,5.417449260E0,6.190000057E0,2.861000061E2,9.955919266E0,2.500000000E0
3.488309150E2,5.248772108E1,4.950092570E0,5.444034858E0,4.780000210E0,2.857000122E2,9.951451302E0,2.500000000E0
3.498309150E2,5.248772990E1,4.950038700E0,5.521895765E0,3.309999943E0,2.850000000E2,9.950770378E0,2.500000000E0
3.508309150E2,5.248773591E1,4.950001220E0,5.550507191E0,2.240000010E0,2.845000000E2,9.951185226E0,2.500000000E0
3.518309150E2,5.248773939E1,4.949976770E0,5.606161453E0,1.320000052E0,2.857999878E2,9.938399315E0,2.500000000E0
3.528309150E2,5.248774110E1,4.949963890E0,5.613175158E0,6.999999881E-1,2.857000122E2,9.950560570E0,2.500000000E0
3.538309150E2,5.248774228E1,4.949952650E0,5.653941539E0,8.799999952E-1,2.862999878E2,9.951514244E0,2.500000000E0
3.548309150E2,5.248774548E1,4.949925020E0,5.582884498E0,2.130000114E0,2.867000122E2,9.962252617E0,2.500000000E0
3.558309150E2,5.248774912E1,4.949882190E0,5.637368228E0,3.259999990E0,2.848999939E2,9.956814766E0,2.500000000E0
3.568309150E2,5.248775069E1,4.949825780E0,5.719428705E0,4.230000019E0,2.808999939E2,9.952914238E0,2.500000000E0
3.578309150E2,5.248774360E1,4.949761470E0,5.808002846E0,4.590000153E0,2.742999878E2,9.953845024E0,2.500000000E0
3.588309150E2,5.248772288E1,4.949699680E0,5.915174825E0,4.880000114E0,2.618999939E2,9.977978706E0,2.500000000E0
3.598309150E2,5.248768742E1,4.949650770E0,5.730463475E0,5.289999962E0,2.221999969E2,9.964639664E0,2.500000000E0
3.608309150E2,5.248764089E1,4.949617060E0,5.572234796E0,5.880000114E0,2.053999939E2,9.942918777E0,2.500000000E0
3.618309150E2,5.248758642E1,4.949596520E0,5.411866530E0,6.500000000E0,1.935000000E2,9.957006454E0,2.500000000E0
3.628309150E2,5.248752325E1,4.949575610E0,5.318807433E0,7.219999790E0,1.898000031E2,9.962330818E0,2.500000000E0
3.638309150E2,5.248745564E1,4.949553220E0,5.269930575E0,7.949999809E0,1.916999969E2,9.962733269E0,2.500000000E0
3.648309150E2,5.248738383E1,4.949530700E0,5.238137503E0,8.779999733E0,1.843999939E2,1.008660030E1,2.500000000E0
3.658309150E2,5.248730150E1,4.949507970E0,5.191558820E0,9.550000191E0,1.896999969E2,9.975124359E0,2.500000000E0
3.668309150E2,5.248721483E1,4.949483830E0,5.365920374E0,1.010999966E1,1.891000061E2,9.951669693E0,2.500000000E0
3.678309150E2,5.248712189E1,4.949460220E0,5.385671271E0,1.072000027E1,1.888000031E2,9.964480400E0,2.500000000E0
3.688309150E2,5.248702424E1,4.949436910E0,5.421284785E0,1.117000008E1,1.881000061E2,9.965656281E0,2.500000000E0
3.698309150E2,5.248692246E1,4.949412390E0,5.379987393E0,1.163000011E1,1.881000061E2,9.964418411E0,2.500000000E0
3.708309150E2,5.248681334E1,4.949385160E0,5.347650086E0,1.207999992E1,1.885000000E2,9.971249580E0,2.500000000E0
3.718309150E2,5.248670313E1,4.949359950E0,5.255253853E0,1.252999973E1,1.880000000E2,9.971644402E0,2.500000000E0
3.728309150E2,5.248659251E1,4.949336040E0,5.162552645E0,1.296000004E1,1.873000031E2,9.967254639E0,2.500000000E0
3.738309150E2,5.248647740E1,4.949310450E0,5.251301553E0,1.296000004E1,1.853999939E2,1.001502705E1,2.500000000E0
3.748309150E2,5.248636443E1,4.949286360E0,5.277676484E0,1.265999985E1,1.873000031E2,9.962150574E0,2.500000000E0
3.758309150E2,5.248625348E1,4.949262680E0,5.200416843E0,1.242000008E1,1.863999939E2,1.003464222E1,2.500000000E0
3.768309150E2,5.248614590E1,4.949239350E0,5.241448345E0,1.210999966E1,1.866999969E2,1.003180981E1,2.500000000E0
3.778309150E2,5.248603914E1,4.949217590E0,5.131114776E0,1.185000038E1,1.868999939E2,1.002741432E1,2.500000000E0
3.788309150E2,5.248593334E1,4.949190090E0,4.589626768E0,1.152999973E1,1.876999969E2,9.973443985E0,2.649924278E0
3.798309150E2,5.248583414E1,4.949165680E0,4.408318477E0,1.110000038E1,1.880000000E2,9.969340324E0,2.878512859E0
3.808309150E2,5.248574300E1,4.949146030E0,4.211277463E0,1.018000031E1,1.880000000E2,9.985177040E0,2.899385214E0
3.818309150E2,5.248565832E1,4.949126750E0,4.388452412E0,9.289999962E0,1.875000000E2,9.965643883E0,3.103503704E0
3.828309150E2,5.248558269E1,4.949110250E0,4.304777664E0,8.420000076E0,1.888999939E2,1.000608635E1,3.112468243E0
3.838309150E2,5.248551506E1,4.949094100E0,4.490523696E0,7.039999962E0,1.888000031E2,9.987655640E0,3.042687178E0
3.848309150E2,5.248546149E1,4.949083060E0,4.535850932E0,5.449999809E0,1.903999939E2,1.002515507E1,3.143364429E0
3.858309150E2,5.248542491E1,4.949076090E0,4.617154516E0,3.740000010E0,1.913999939E2,1.001612473E1,3.195502281E0
3.868309150E2,5.248540087E1,4.949070120E0,4.502736810E0,2.619999886E0,1.931000061E2,1.001650333E1,3.243753195E0
3.878309150E2,5.248538245E1,4.949066060E0,4.411704721E0,1.990000010E0,1.943000031E2,1.004545784E1,3.152508259E0
3.888309150E2,5.248537009E1,4.949061650E0,4.474001360E0,1.450000048E0,1.955000000E2,9.997977257E0,3.303263903E0
3.898309150E2,5.248536215E1,4.949059790E0,4.274403974E0,8.500000238E-1,1.963000031E2,9.996785164E0,3.236843348E0
3.908309150E2,5.248535722E1,4.949056660E0,4.095623096E0,5.600000024E-1,1.970000000E2,1.002037525E1,3.140332699E0
3.918309150E2,5.248534727E1,4.949053330E0,4.707789540E0,1.429999948E0,1.978000031E2,9.972723961E0,2.819493294E0
3.928309150E2,5.248532826E1,4.949045820E0,4.870965956E0,2.650000095E0,1.978000031E2,9.977313995E0,2.873497963E0
3.938309150E2,5.248529621E1,4.949035190E0,4.908755717E0,4.050000191E0,1.975000000E2,9.977456093E0,2.697598219E0
3.948309150E2,5.248525442E1,4.949005300E0,5.151964334E0,5.329999924E0,1.938000031E2,9.974621773E0,2.777001143E0
3.958309150E2,5.248520131E1,4.948989800E0,5.037621568E0,6.389999866E0,1.938999939E2,9.972743988E0,2.810904264E0
3.968309150E2,5.248514271E1,4.948966580E0,5.433703344E0,7.340000153E0,1.941999969E2,9.961246490E0,2.695359468E0
3.978309150E2,5.248507212E1,4.948948170E0,4.823118119E0,8.220000267E0,1.931000061E2,9.960366249E0,2.500000000E0
3.988309150E2,5.248499500E1,4.948925800E0,4.621639864E0,8.979999542E0,1.913999939E2,9.959033012E0,2.500000000E0
3.998309150E2,5.248491007E1,4.948905120E0,4.187058249E0,9.779999733E0,1.898000031E2,9.964971542E0,2.500000000E0
4.008309150E2,5.248482020E1,4.948877280E0,5.252648390E0,1.040999985E1,1.896000061E2,9.966406822E0,2.500000000E0
4.018309150E2,5.248472428E1,4.948851560E0,5.382501218E0,1.096000004E1,1.885000000E2,9.959966660E0,2.500000000E0
4.028309150E2,5.248461919E1,4.948826360E0,5.317822263E0,1.156000042E1,1.875000000E2,9.980311394E0,2.500000000E0
4.038309150E2,5.248451433E1,4.948793860E0,5.675197342E0,1.210999966E1,1.886000061E2,9.967185974E0,2.500000000E0
4.048309150E2,5.248440795E1,4.948765800E0,5.852275083E0,1.259000015E1,1.868999939E2,1.002517509E1,2.500000000E0
4.058309150E2,5.248429312E1,4.948738160E0,5.898298569E0,1.303999996E1,1.866000061E2,9.981624603E0,2.500000000E0
4.068309150E2,5.248417626E1,4.948709040E0,6.028729895E0,1.346000004E1,1.878999939E2,9.965926170E0,2.500000000E0
4.078309150E2,5.248405369E1,4.948679880E0,6.226535883E0,1.389999962E1,1.868999939E2,9.982998848E0,2.500000000E0
4.088309150E2,5.248392936E1,4.948644360E0,6.365131432E0,1.432999992E1,1.886000061E2,9.962047577E0,2.595713615E0
4.098309150E2,5.248379848E1,4.948611830E0,6.621822488E0,1.481000042E1,1.886000061E2,9.961740494E0,2.623934984E0
4.108309150E2,5.248365931E1,4.948578700E0,6.605002849E0,1.528999996E1,1.883999939E2,9.968235970E0,2.594037294E0
4.118309150E2,5.248352151E1,4.948544830E0,6.740772606E0,1.567000008E1,1.873000031E2,9.992804527E0,2.695836067E0
4.128309150E2,5.248338367E1,4.948510690E0,6.801346833E0,1.604999924E1,1.876000061E2,9.983052254E0,2.822232008E0
4.138309150E2,5.248324024E1,4.948474910E0,7.223850592E0,1.629999924E1,1.886999969E2,9.961565971E0,2.863420963E0
4.148309150E2,5.248309391E1,4.948437680E0,7.330919665E0,1.656999969E1,1.881000061E2,9.984674454E0,2.912390947E0
4.158309150E2,5.248294609E1,4.948398540E0,7.608822870E0,1.678000069E1,1.881999969E2,1.002908421E1,2.881126165E0
4.168309150E2,5.248279431E1,4.948363390E0,7.506473822E0,1.706999969E1,1.878000031E2,9.987168312E0,2.896465063E0
