"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.335144082E2,4.758726120E0,-2.175673962E0,7.734799385E0
3.340144082E2,4.640879631E0,-2.542374134E0,8.874381065E0
3.345144082E2,3.948157310E0,-2.069193363E0,8.000402451E0
3.350144082E2,4.197010994E0,-2.164906263E0,8.629714966E0
3.355144082E2,4.337589264E0,-1.726421595E0,8.196015358E0
3.360144082E2,5.229514122E0,-2.257030010E0,8.799007416E0
3.365144082E2,4.292723656E0,-1.480558991E0,8.224729538E0
3.370144082E2,5.093122959E0,-1.963310957E0,9.101100922E0
3.375144082E2,4.813162804E0,-1.719841242E0,9.006584167E0
3.380144082E2,3.997808456E0,-1.560120344E0,7.853243828E0
3.385144082E2,4.103092670E0,-1.998605132E0,8.805587769E0
3.390144082E2,4.807778835E0,-2.088335991E0,9.562915802E0
3.395144082E2,4.386641979E0,-1.639681697E0,7.953742504E0
3.400144082E2,4.272384644E0,-1.767099500E0,8.805587769E0
3.405144082E2,4.147958279E0,-1.698904037E0,8.741579056E0
3.410144082E2,4.873581409E0,-1.633101463E0,8.601598740E0
3.415144082E2,4.586442947E0,-1.651047587E0,8.778668404E0
3.420144082E2,4.380660057E0,-1.896910191E0,8.445467949E0
3.425144082E2,4.112663746E0,-2.123630047E0,8.564510345E0
3.430144082E2,3.708875179E0,-2.633899450E0,8.303094864E0
3.435144082E2,4.399802685E0,-2.575873613E0,8.751749039E0
3.440144082E2,4.207778454E0,-2.343171597E0,8.318648338E0
3.445144082E2,3.938585997E0,-2.465803623E0,8.569295883E0
3.450144082E2,4.629513741E0,-2.874378204E0,8.589036942E0
3.455144082E2,4.094717979E0,-3.341576815E0,8.507082939E0
3.460144082E2,3.930809498E0,-3.367897987E0,8.175078392E0
3.465144082E2,3.681955814E0,-3.594019651E0,8.035098076E0
3.470144082E2,4.094717979E0,-3.697509289E0,7.951947689E0
3.475144082E2,3.521038532E0,-3.675375462E0,8.084151268E0
3.480144082E2,3.924229145E0,-3.643072367E0,8.500502586E0
3.485144082E2,3.973282099E0,-3.772284985E0,7.925028801E0
3.490144082E2,3.779463291E0,-3.831507206E0,8.424530029E0
3.495144082E2,4.023531437E0,-3.667000771E0,8.502895355E0
3.500144082E2,4.264009953E0,-3.294318676E0,8.153543472E0
3.505144082E2,3.927220106E0,-3.396611691E0,8.642875671E0
3.510144082E2,3.820739508E0,-2.909672260E0,8.325227737E0
3.515144082E2,4.321437836E0,-3.190230846E0,8.757730484E0
3.520144082E2,4.007379532E0,-3.195614576E0,8.285148621E0
3.525144082E2,5.238486767E0,-2.193022013E0,9.381061554E0
3.530144082E2,4.176073551E0,-2.143969059E0,8.298309326E0
3.535144082E2,4.407579422E0,-1.826920033E0,9.349954605E0
3.540144082E2,4.609772682E0,-6.687939167E-1,8.586644173E0
3.545144082E2,4.693521500E0,-9.236295223E-1,9.236295700E0
3.550144082E2,4.022933006E0,-6.783652306E-1,8.730213165E0
3.555144082E2,4.257429600E0,-8.530412912E-1,9.093922615E0
