"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.022895646E2,2.900625038E1,4.560000229E1,-3.283125305E1
5.027895646E2,2.895000076E1,4.501875305E1,-3.326250076E1
5.032895646E2,2.887500191E1,4.477500153E1,-3.337500000E1
5.037895646E2,2.900625038E1,4.511250305E1,-3.320625305E1
5.042895646E2,2.904375076E1,4.558125305E1,-3.309375000E1
5.047895646E2,2.896875191E1,4.541250229E1,-3.311250305E1
5.052895646E2,2.842500114E1,4.516875076E1,-3.283125305E1
5.057895646E2,2.788125038E1,4.500000000E1,-3.271875000E1
5.062895646E2,2.756250191E1,4.505625153E1,-3.226875305E1
5.067895646E2,2.737500191E1,4.543125153E1,-3.163125038E1
5.072895646E2,2.746875191E1,4.580625153E1,-3.140625191E1
5.077895646E2,2.761875153E1,4.599375153E1,-3.155625153E1
5.082895646E2,2.771250153E1,4.573125076E1,-3.165000153E1
5.087895646E2,2.803125191E1,4.588125229E1,-3.206250000E1
5.092895646E2,2.850000191E1,4.659375000E1,-3.150000191E1
5.097895646E2,2.910000038E1,4.734375000E1,-3.106875038E1
5.102895646E2,2.977500153E1,4.818750381E1,-3.114375114E1
5.107895646E2,3.030000114E1,4.876875305E1,-3.159375191E1
5.112895646E2,3.035625076E1,4.901250076E1,-3.187500191E1
5.117895646E2,3.035625076E1,4.910625076E1,-3.200625229E1
5.122895646E2,3.003750038E1,4.970625305E1,-3.172500038E1
5.127895646E2,2.955000114E1,5.002500153E1,-3.075000191E1
5.132895646E2,2.923125076E1,4.995000076E1,-3.082500076E1
5.137895646E2,2.874375153E1,4.957500076E1,-3.112500191E1
5.142895646E2,2.814375114E1,4.905000305E1,-3.123750114E1
5.147895646E2,2.760000038E1,4.852500153E1,-3.093750191E1
5.152895646E2,2.741250038E1,4.837500381E1,-3.056250191E1
5.157895646E2,2.733750153E1,4.846875381E1,-3.001875114E1
5.162895646E2,2.775000191E1,4.843125153E1,-2.966250038E1
5.167895646E2,2.846250153E1,4.839375305E1,-3.035625076E1
5.172895646E2,2.919375038E1,4.861875153E1,-3.075000191E1
5.177895646E2,2.985000038E1,4.871250153E1,-3.071250153E1
5.182895646E2,3.046875191E1,4.897500229E1,-3.037500191E1
5.187895646E2,3.114375114E1,4.920000076E1,-3.013125038E1
5.192895646E2,3.155625153E1,4.923750305E1,-3.007500076E1
5.197895646E2,3.174375153E1,4.906875229E1,-3.011250114E1
5.202895646E2,3.181875038E1,4.897500229E1,-3.048750114E1
5.207895646E2,3.146250153E1,4.901250076E1,-2.964375114E1
5.212895646E2,3.114375114E1,4.876875305E1,-2.902500153E1
5.217895646E2,3.097500038E1,4.888125229E1,-2.868750191E1
5.222895646E2,3.095625114E1,4.905000305E1,-2.842500114E1
5.227895646E2,3.075000191E1,4.921875381E1,-2.821875191E1
5.232895646E2,3.045000076E1,4.921875381E1,-2.790000153E1
5.237895646E2,3.026250076E1,4.921875381E1,-2.754375076E1
5.242895646E2,2.996250153E1,4.914375305E1,-2.698125076E1
5.247895646E2,2.971875191E1,4.884375381E1,-2.660625076E1
5.252895646E2,2.934375191E1,4.865625381E1,-2.651250076E1
5.257895646E2,2.915625191E1,4.858125305E1,-2.640000153E1
5.262895646E2,2.883750153E1,4.809375381E1,-2.645625114E1
5.267895646E2,2.866875076E1,4.751250076E1,-2.645625114E1
5.272895646E2,2.866875076E1,4.708125305E1,-2.638125038E1
5.277895646E2,2.851875114E1,4.668750000E1,-2.641875076E1
