"Time (s)","Pressure (hPa)"
3.081317433E1,1.018411255E3
3.131317433E1,1.018389771E3
3.181317433E1,1.018363037E3
3.231317433E1,1.018339355E3
3.281317433E1,1.018246338E3
3.331317433E1,1.018098389E3
3.381317433E1,1.017891113E3
3.431317433E1,1.017900635E3
3.481317433E1,1.017886475E3
3.531317433E1,1.017888428E3
3.581317433E1,1.017892090E3
3.631317433E1,1.017895264E3
3.681317433E1,1.017899658E3
3.731317433E1,1.017891113E3
3.781317433E1,1.017890869E3
3.831317433E1,1.017895020E3
3.881317433E1,1.017897949E3
3.931317433E1,1.017888428E3
3.981317433E1,1.017890503E3
4.031317433E1,1.017884033E3
4.081317433E1,1.017882812E3
4.131317433E1,1.017885254E3
4.181317433E1,1.017889648E3
4.231317433E1,1.017889404E3
4.281317433E1,1.017884277E3
4.331317433E1,1.017917725E3
4.381317433E1,1.018006836E3
4.431317433E1,1.018348511E3
4.481317433E1,1.018378784E3
4.531317433E1,1.018384766E3
4.581317433E1,1.018381714E3
4.631317433E1,1.018375610E3
4.681317433E1,1.018374023E3
4.731317433E1,1.018354980E3
4.781317433E1,1.018368286E3
4.831317433E1,1.018377808E3
4.881317433E1,1.018367310E3
4.931317433E1,1.018345093E3
4.981317433E1,1.018331665E3
5.031317433E1,1.018329224E3
5.081317433E1,1.018328125E3
5.131317433E1,1.018338257E3
5.181317433E1,1.018335205E3
5.231317433E1,1.018330322E3
5.281317433E1,1.018307495E3
5.331317433E1,1.018328979E3
5.381317433E1,1.018319458E3
5.431317433E1,1.018291382E3
5.481317433E1,1.018304932E3
5.531317433E1,1.018312988E3
5.581317433E1,1.018300171E3
5.631317433E1,1.018326172E3
5.681317433E1,1.018353516E3
5.731317433E1,1.018353394E3
5.781317433E1,1.018393066E3
5.831317433E1,1.018440918E3
5.881317433E1,1.018434814E3
5.931317433E1,1.018427246E3
5.981317433E1,1.018427246E3
6.031317433E1,1.018436646E3
6.081317433E1,1.018448364E3
6.131317433E1,1.018451538E3
6.181317433E1,1.018449097E3
6.231317433E1,1.018422485E3
6.281317433E1,1.018400879E3
6.331317433E1,1.018378784E3
6.381317433E1,1.018354492E3
6.431317433E1,1.018352661E3
6.481317433E1,1.018337280E3
6.531317433E1,1.018320557E3
6.581317433E1,1.018313843E3
6.631317433E1,1.018317261E3
6.681317433E1,1.018311401E3
6.731317433E1,1.018305054E3
6.781317433E1,1.018304199E3
6.831317433E1,1.018300415E3
6.881317433E1,1.018311768E3
6.931317433E1,1.018307495E3
6.981317433E1,1.018305664E3
7.031317433E1,1.018293579E3
7.081317433E1,1.018281738E3
7.131317433E1,1.018288086E3
7.181317433E1,1.018280151E3
7.231317433E1,1.018274048E3
7.281317433E1,1.018261108E3
7.331317433E1,1.018258789E3
7.381317433E1,1.018258911E3
7.431317433E1,1.018299072E3
7.481317433E1,1.018289795E3
7.531317433E1,1.018278687E3
7.581317433E1,1.018292847E3
7.631317433E1,1.018294312E3
7.681317433E1,1.018278687E3
7.731317433E1,1.018259277E3
7.781317433E1,1.018296875E3
7.831317433E1,1.018299438E3
7.881317433E1,1.018306885E3
7.931317433E1,1.018355835E3
7.981317433E1,1.018339966E3
8.031317433E1,1.018349121E3
8.081317433E1,1.018373291E3
8.131317433E1,1.018372559E3
8.181317433E1,1.018390381E3
8.231317433E1,1.018417969E3
8.281317433E1,1.018416382E3
8.331317433E1,1.018431274E3
8.381317433E1,1.018446655E3
8.431317433E1,1.018422974E3
8.481317433E1,1.018475708E3
8.531317433E1,1.018510498E3
8.581317433E1,1.018506958E3
8.631317433E1,1.018493042E3
8.681317433E1,1.018489136E3
8.731317433E1,1.018486450E3
8.781317433E1,1.018457642E3
8.831317433E1,1.018465698E3
8.881317433E1,1.018463623E3
8.931317433E1,1.018447388E3
8.981317433E1,1.018418335E3
9.031317433E1,1.018422974E3
9.081317433E1,1.018429932E3
9.131317433E1,1.018422974E3
9.181317433E1,1.018416870E3
9.231317433E1,1.018419556E3
9.281317433E1,1.018409790E3
9.331317433E1,1.018392334E3
9.381317433E1,1.018386475E3
9.431317433E1,1.018384277E3
9.481317433E1,1.018387451E3
9.531317433E1,1.018384033E3
9.581317433E1,1.018383545E3
9.631317433E1,1.018422241E3
9.681317433E1,1.018425049E3
9.731317433E1,1.018430542E3
9.781317433E1,1.018445068E3
9.831317433E1,1.018446777E3
