"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.365430451E3,-1.543684387E1,4.231784058E1,-1.732266235E1
1.365931508E3,-2.303373718E1,4.229309082E1,-5.097259521E0
1.366432565E3,-2.156495667E1,4.362207031E1,-5.596984863E0
1.366933622E3,-1.798779297E1,4.462728882E1,-7.666992188E0
1.367434680E3,-2.383203125E1,4.168569946E1,-3.895355225E0
1.367935737E3,-2.388313293E1,4.125378418E1,-7.849670410E0
1.368436793E3,-2.458489990E1,4.022750854E1,-1.018426514E1
1.368937850E3,-1.976892090E1,4.259338379E1,-1.341105652E1
1.369438907E3,-1.968061829E1,4.268667603E1,-1.284478760E1
1.369939964E3,-1.971044922E1,4.315756226E1,-8.446502686E0
1.370441020E3,-2.033897400E1,4.230404663E1,-1.122344971E1
1.370942077E3,-1.918827820E1,4.422357178E1,-7.390350342E0
1.371443133E3,-1.967915344E1,4.393246460E1,-8.388092041E0
1.371944190E3,-1.815850830E1,4.439135742E1,-5.895538330E0
1.372445246E3,-2.114239502E1,4.280291748E1,-5.375076294E0
1.372946302E3,-1.929269409E1,4.450231934E1,-4.979995728E0
1.373447358E3,-2.270382690E1,4.045300293E1,-1.381878662E1
1.373948415E3,-2.282409668E1,4.118923950E1,-1.143534851E1
1.374449471E3,-2.277194214E1,4.069619751E1,-1.219525146E1
1.374950527E3,-2.317918396E1,4.190832520E1,-9.411392212E0
1.375451582E3,-2.041194153E1,4.119891357E1,-1.587002563E1
1.375952638E3,-1.733175659E1,4.197457886E1,-1.769618225E1
1.376453694E3,-1.491111755E1,4.412463379E1,-1.509219360E1
1.376954750E3,-1.662426758E1,4.215118408E1,-1.715740967E1
1.377455806E3,-1.731207275E1,4.309210205E1,-1.310714722E1
1.377956862E3,-1.932821655E1,4.235815430E1,-1.297257996E1
1.378457916E3,-1.789979553E1,4.315576172E1,-1.227124023E1
1.378958972E3,-2.141584778E1,4.189727783E1,-1.260610962E1
1.379460026E3,-1.885511780E1,4.233093262E1,-1.252511597E1
1.379961081E3,-2.308357239E1,4.045370483E1,-1.075509644E1
1.380462137E3,-2.170581055E1,3.967703247E1,-1.484068298E1
1.380963192E3,-2.078890991E1,4.203817749E1,-9.029418945E0
1.381464248E3,-2.068075562E1,4.008520508E1,-1.689315796E1
1.381965303E3,-1.833242798E1,4.104922485E1,-1.646081543E1
1.382466358E3,-1.745941162E1,4.322430420E1,-1.339366150E1
1.382967413E3,-1.884089661E1,4.290267944E1,-1.467134094E1
1.383468468E3,-1.849172974E1,4.146862793E1,-1.689874268E1
1.383969523E3,-9.826492310E0,4.667257690E1,-1.341323853E1
1.384470577E3,-6.866149902E0,4.595138550E1,-1.501651001E1
1.384971632E3,-4.693664551E0,4.795907593E1,-7.357635498E0
1.385472686E3,-2.458953857E0,4.688388062E1,-2.080108643E0
1.385973741E3,-2.809753418E-1,4.943035889E1,2.146148682E-1
1.386474795E3,-1.269165039E0,5.017929077E1,2.944091797E0
1.386975850E3,-4.065093994E0,5.104031372E1,2.928314209E-1
1.387476905E3,-6.227478027E0,4.907604980E1,-8.662338257E0
1.387977960E3,-7.061019897E0,4.922509766E1,-7.738479614E0
1.388479014E3,-8.208740234E0,4.786578369E1,-1.236528015E1
1.388980069E3,-8.277984619E0,4.738253784E1,-1.224909973E1
1.389481124E3,-5.979141235E0,4.853222656E1,-9.886718750E0
1.389982178E3,-6.455963135E0,4.892675781E1,-6.514480591E0
1.390483232E3,-6.863494873E0,4.811743164E1,-6.360549927E0
1.390984287E3,-8.006591797E0,4.912548828E1,-2.100936890E0
1.391485341E3,-6.834960938E0,4.727194214E1,-1.616520691E1
1.391986395E3,-7.954849243E0,4.899975586E1,-7.053054810E0
1.392487449E3,-7.864135742E0,4.571997070E1,-1.898556519E1
1.392988503E3,-9.118865967E0,4.599066162E1,-1.619145203E1
1.393489557E3,-6.549835205E0,4.434140015E1,-2.075492859E1
1.393990611E3,-6.077102661E0,4.788586426E1,-8.977890015E0
1.394491666E3,-8.235473633E0,4.749829102E1,-1.338368225E1
1.394992719E3,-6.378005981E0,4.735565186E1,-1.533215332E1
1.395493772E3,-6.594772339E0,4.815942383E1,-1.163180542E1
1.395994826E3,-7.949890137E0,4.527941895E1,-1.951959229E1
1.396495880E3,-8.322875977E0,4.848800659E1,-7.885055542E0
1.396996933E3,-1.129598999E1,4.548175049E1,-1.584422302E1
1.397497987E3,-9.064025879E0,4.665222168E1,-1.375308228E1
1.397999041E3,-1.056538391E1,4.500521851E1,-1.544429016E1
1.398500096E3,-1.009207153E1,4.512863159E1,-1.488803101E1
1.399001149E3,-1.472200012E1,4.560333252E1,-7.071624756E0
1.399502202E3,-7.341415405E0,4.622894287E1,-1.142970276E1
1.400003256E3,-8.222122192E0,4.746029663E1,-4.721817017E0
1.400504310E3,-6.672805786E0,4.581488037E1,-1.388987732E1
1.401005363E3,-6.526870728E0,4.762820435E1,-1.409332275E0
1.401506417E3,-7.645889282E0,4.636181641E1,-1.317553711E1
1.402007471E3,-8.568435669E0,4.968191528E1,-4.425552368E0
1.402508524E3,-1.091603088E1,4.835470581E1,-1.086064148E1
1.403009578E3,-8.200027466E0,4.763189697E1,-7.511093140E0
