"Time (s)","X (hPa)"
5.613297065E2,1.017512131E3
5.624016315E2,1.017512131E3
5.634735855E2,1.017504272E3
5.645455415E2,1.017501678E3
5.656175155E2,1.017498016E3
5.666894915E2,1.017492294E3
5.677615045E2,1.017487717E3
5.688335065E2,1.017487717E3
5.699055295E2,1.017490616E3
5.709775085E2,1.017494431E3
5.720494645E2,1.017503433E3
5.731213845E2,1.017510910E3
5.741933295E2,1.017517624E3
5.752653265E2,1.017521591E3
5.763372915E2,1.017525177E3
5.774091945E2,1.017525864E3
5.784810745E2,1.017525864E3
5.795529505E2,1.017524796E3
5.806248355E2,1.017521591E3
5.816966685E2,1.017516708E3
5.827685855E2,1.017516556E3
5.838405105E2,1.017516708E3
5.849124265E2,1.017518692E3
5.859843115E2,1.017523956E3
5.870562315E2,1.017530212E3
5.881281565E2,1.017530594E3
5.892000435E2,1.017531052E3
5.902719165E2,1.017531052E3
5.913437505E2,1.017519073E3
5.924155335E2,1.017504272E3
5.934873675E2,1.017493362E3
5.945592105E2,1.017476807E3
5.956311025E2,1.017463684E3
5.967029275E2,1.017463684E3
5.977747735E2,1.017469406E3
5.988466055E2,1.017474289E3
5.999185065E2,1.017492371E3
6.009904125E2,1.017500534E3
6.020623225E2,1.017500534E3
6.031342425E2,1.017502060E3
6.042061205E2,1.017514267E3
6.052780265E2,1.017527542E3
6.063499315E2,1.017541428E3
6.074218425E2,1.017559052E3
6.084938095E2,1.017587509E3
6.095658145E2,1.017588348E3
6.106378265E2,1.017589417E3
6.117097775E2,1.017589417E3
6.127816915E2,1.017583313E3
6.138536365E2,1.017580795E3
6.149255885E2,1.017572708E3
6.159975195E2,1.017572708E3
6.170694645E2,1.017578201E3
6.181414265E2,1.017578201E3
6.192133705E2,1.017576599E3
6.202852835E2,1.017576599E3
6.213571965E2,1.017584076E3
6.224291185E2,1.017584076E3
6.235010455E2,1.017584076E3
6.245729565E2,1.017595520E3
6.256448615E2,1.017608566E3
6.267167355E2,1.017608566E3
6.277886455E2,1.017608566E3
6.288605065E2,1.017610168E3
6.299323995E2,1.017610168E3
6.310043135E2,1.017601776E3
6.320762575E2,1.017588348E3
6.331482245E2,1.017580109E3
6.342201445E2,1.017572327E3
6.352921085E2,1.017568588E3
6.363640775E2,1.017566605E3
6.374360435E2,1.017561188E3
6.385079745E2,1.017545853E3
6.395798705E2,1.017537994E3
6.406518135E2,1.017534485E3
6.417237555E2,1.017519684E3
6.427956805E2,1.017511673E3
6.438676065E2,1.017510834E3
6.449395445E2,1.017510834E3
6.460114715E2,1.017510834E3
6.470834025E2,1.017512512E3
6.481553025E2,1.017525558E3
6.492272745E2,1.017535019E3
6.502992545E2,1.017544937E3
6.513711725E2,1.017558899E3
6.524430735E2,1.017562637E3
6.535149475E2,1.017562637E3
6.545868745E2,1.017561569E3
6.556587955E2,1.017556534E3
6.567307145E2,1.017547531E3
6.578025785E2,1.017543259E3
6.588745395E2,1.017543259E3
6.599464295E2,1.017546005E3
6.610183435E2,1.017550812E3
6.620902975E2,1.017554245E3
6.631622275E2,1.017557602E3
6.642341705E2,1.017559128E3
6.653061355E2,1.017559662E3
6.663781065E2,1.017560730E3
6.674500625E2,1.017562637E3
6.685220685E2,1.017562637E3
6.695940465E2,1.017560120E3
6.706659935E2,1.017560120E3
6.717379385E2,1.017561188E3
6.728098955E2,1.017562180E3
6.738818625E2,1.017563858E3
6.749538575E2,1.017569351E3
6.760258475E2,1.017572479E3
6.770978175E2,1.017574615E3
6.781697405E2,1.017576904E3
6.792416665E2,1.017580261E3
6.803135775E2,1.017582626E3
6.813855085E2,1.017583923E3
6.824573995E2,1.017583923E3
6.835292515E2,1.017582245E3
6.846011065E2,1.017575836E3
6.856730205E2,1.017569809E3
6.867449075E2,1.017564163E3
6.878168105E2,1.017559052E3
6.888887055E2,1.017552719E3
6.899605895E2,1.017549210E3
6.910325125E2,1.017543640E3
6.921044585E2,1.017540054E3
6.931763895E2,1.017539291E3
6.942483245E2,1.017538071E3
6.953202725E2,1.017538071E3
6.963921745E2,1.017538071E3
6.974640265E2,1.017536774E3
6.985359095E2,1.017521591E3
6.996078145E2,1.017515640E3
7.006797355E2,1.017508316E3
7.017515875E2,1.017497864E3
7.028234125E2,1.017497864E3
7.038952545E2,1.017499466E3
7.049671195E2,1.017499924E3
7.060390085E2,1.017500305E3
7.071109045E2,1.017499924E3
7.081827455E2,1.017498856E3
7.092545415E2,1.017494583E3
7.103263605E2,1.017492752E3
7.113982035E2,1.017492371E3
7.124700745E2,1.017490692E3
7.135419495E2,1.017490692E3
7.146138115E2,1.017496490E3
7.156856925E2,1.017498627E3
7.167575775E2,1.017498627E3
7.178294225E2,1.017496796E3
7.189012765E2,1.017487717E3
7.199731365E2,1.017478256E3
7.210450005E2,1.017469559E3
7.221168745E2,1.017466202E3
7.231887445E2,1.017464752E3
7.242606395E2,1.017462006E3
7.253325505E2,1.017462006E3
7.264044215E2,1.017454605E3
7.274763025E2,1.017449417E3
7.285481965E2,1.017447662E3
7.296200615E2,1.017442245E3
7.306918925E2,1.017431717E3
7.317637035E2,1.017418900E3
