"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.419135622E2,-1.350413513E1,3.775947571E1,-1.800384521E1
6.424159892E2,-3.111224365E1,2.648847961E1,-1.515435791E1
6.429184164E2,-2.560775280E0,4.216368103E1,-1.346063232E1
6.434208434E2,-3.585734940E1,1.902972412E1,-1.590869141E1
6.439232702E2,-1.332585096E0,4.322883606E1,-6.572875977E0
6.444256982E2,-3.573499680E1,2.193881226E1,-1.318664551E1
6.449281257E2,-7.318265915E0,4.190103149E1,-1.302429199E1
6.454305537E2,-3.091727829E1,2.595031738E1,-1.704455566E1
6.459329833E2,-1.924451637E1,3.582789612E1,-1.562390137E1
6.464354123E2,-6.068212032E0,4.251997375E1,-1.012036133E1
6.469378414E2,-3.009311676E1,2.668931580E1,-1.714715576E1
6.474402704E2,-1.846263289E0,4.371595764E1,-6.665832520E0
6.479427003E2,-3.458551025E1,2.278921509E1,-1.401226807E1
6.484451303E2,-9.194008827E0,4.184402466E1,-1.103460693E1
6.489475607E2,-2.833035660E1,2.835931396E1,-1.782910156E1
6.494499917E2,-1.589487171E1,3.737051392E1,-1.713983154E1
6.499524222E2,-1.397625256E1,3.777714539E1,-1.734942627E1
6.504548532E2,-2.313125038E1,3.386784363E1,-1.499664307E1
6.509572839E2,-3.089680433E0,4.220527649E1,-9.886291504E0
6.514597139E2,-3.413341904E1,2.119952393E1,-1.598602295E1
6.519621448E2,-2.406092882E0,4.330464172E1,-2.186218262E0
6.524645758E2,-3.400598907E1,2.240972900E1,-1.387945557E1
6.529670059E2,-8.049792290E0,4.158290100E1,-8.361633301E0
6.534694369E2,-2.496114731E1,3.038934326E1,-1.639068604E1
6.539718673E2,-1.401086330E1,3.734834290E1,-1.552429199E1
6.544742983E2,-7.150231361E0,3.831202698E1,-1.552612305E1
6.549767282E2,-2.733639526E1,2.822822571E1,-1.345318604E1
6.554791582E2,-2.116585016E0,4.196026611E1,-6.169494629E0
6.559815880E2,-3.327303314E1,2.378195190E1,-1.421295166E1
6.564840180E2,-4.842414856E0,4.342846680E1,-2.396118164E0
6.569864479E2,-3.078330994E1,2.831155396E1,-1.246527100E1
6.574888779E2,-1.011416721E1,4.095845032E1,-1.189031982E1
6.579913084E2,-1.461045361E1,3.955186462E1,-1.247656250E1
6.584937384E2,-2.308687592E1,3.599699402E1,-8.871887207E0
6.589961668E2,-2.941216230E0,4.406700134E1,-1.801391602E0
6.594985968E2,-3.631967926E1,2.365563965E1,-1.054425049E1
6.600010263E2,-5.415801048E0,4.432618713E1,-1.397705078E0
6.605034553E2,-3.117580605E1,3.019346619E1,-8.570190430E0
6.610058835E2,-1.384800434E1,4.153656006E1,-5.734863281E0
6.615083125E2,-1.820139694E1,3.873782349E1,-8.343383789E0
6.620107417E2,-2.163138008E1,3.708854675E1,-5.377502441E0
6.625131697E2,-8.336972237E0,4.311276245E1,-2.295654297E0
6.630155987E2,-3.635156250E1,2.269778442E1,-7.122009277E0
6.635180267E2,-1.011462688E1,4.234506226E1,3.509521484E-1
6.640204552E2,-3.433015823E1,2.547698975E1,-8.340148926E0
6.645228832E2,-1.871982765E1,3.890473938E1,1.818847656E0
6.650253112E2,-1.690220070E1,3.956700134E1,-2.233032227E0
6.655277392E2,-2.813119507E1,3.289657593E1,2.371704102E0
6.660301660E2,-1.636046219E1,3.900988770E1,1.036401367E1
6.665325940E2,-3.530165863E1,2.513626099E1,-2.112609863E0
6.670350208E2,-1.564745903E1,4.011907959E1,4.463195801E0
6.675374478E2,-3.310478973E1,2.710350037E1,-4.386901855E0
6.680398739E2,-1.706404877E1,3.890612793E1,-4.174926758E0
6.685423009E2,-1.860166359E1,3.724697876E1,-4.085083008E-1
6.690447267E2,-2.355011368E1,3.349221802E1,-4.741760254E0
6.695471537E2,-1.222212791E1,3.882214355E1,4.396362305E0
6.700495792E2,-3.618898010E1,1.683102417E1,-5.882690430E0
6.705520052E2,-8.242100716E0,3.912281799E1,2.126953125E0
6.710544298E2,-3.156194878E1,2.451278687E1,-2.004455566E0
6.715568548E2,-1.814818764E1,3.544268799E1,-9.777343750E0
6.720592798E2,-1.704875183E1,3.737928772E1,-6.100097656E0
6.725617048E2,-3.112808037E1,2.717784119E1,-4.080017090E0
6.730641286E2,-1.268398476E1,3.991767883E1,-1.558471680E0
6.735665516E2,-3.673894501E1,1.659790039E1,-7.550354004E0
6.740689764E2,-1.698662758E1,3.749249268E1,-5.170043945E0
6.745713994E2,-3.161661911E1,2.296124268E1,-1.122027588E1
6.750738207E2,-2.314521980E1,3.131559753E1,-1.246124268E1
6.755762437E2,-1.703897476E1,3.453334045E1,-1.383178711E1
6.760786648E2,-2.739148712E1,2.645965576E1,-1.313610840E1
6.765810868E2,-8.660092354E0,4.012944031E1,-6.592407227E0
6.770835084E2,-3.406982803E1,2.017498779E1,-1.215625000E1
6.775859304E2,-1.033008575E1,3.961116028E1,-1.132562256E1
6.780883512E2,-3.095057869E1,2.388150024E1,-1.440734863E1
6.785907722E2,-1.700237274E1,3.649571228E1,-1.251446533E1
6.790931927E2,-1.815115166E1,3.574990845E1,-1.194055176E1
6.795956127E2,-2.519600105E1,3.040835571E1,-1.327832031E1
6.800980338E2,-6.834534168E0,4.040252686E1,-1.090844727E1
6.806004538E2,-3.415469742E1,1.859857178E1,-1.448284912E1
6.811028735E2,-8.085193634E0,4.083494568E1,-8.311889648E0
6.816052935E2,-3.236000824E1,2.091143799E1,-1.595007324E1
6.821077144E2,-1.712320328E1,3.585156250E1,-1.380609131E1
6.826101344E2,-2.088299561E1,3.278976440E1,-1.541619873E1
6.831125532E2,-2.198441887E1,3.281918335E1,-1.164489746E1
6.836149732E2,-3.518083572E0,3.967054749E1,-1.147753906E1
6.841173916E2,-3.126210785E1,2.418484497E1,-6.376342773E0
6.846198116E2,-2.512220144E0,3.969781494E1,-7.191772461E0
6.851222310E2,-3.220050812E1,2.035748291E1,-5.786437988E0
6.856246500E2,-1.547954369E1,3.554682922E1,2.444763184E0
6.861270700E2,-2.474498749E1,3.305982971E1,-6.306823730E0
6.866294890E2,-1.568201637E1,3.879653931E1,-3.603576660E0
6.871319077E2,-8.576754570E0,4.151333618E1,-4.416015625E0
6.876343267E2,-3.317311478E1,2.550274658E1,-9.396972656E0
6.881367458E2,-4.016897678E0,4.309228516E1,-2.810302734E0
6.886391648E2,-3.987182236E1,1.502621460E1,-1.056488037E1
6.891415828E2,-6.744318008E0,4.255780029E1,-4.600158691E0
6.896440018E2,-2.787885475E1,3.202487183E1,-9.188720703E0
6.901464205E2,-2.006526756E1,3.683763123E1,-9.104797363E0
6.906488385E2,-6.587828159E0,4.192849731E1,-1.032934570E1
6.911512577E2,-3.513823318E1,1.749633789E1,-1.663690186E1
6.916536757E2,-1.316176414E0,4.296643066E1,-6.512207031E0
6.921560947E2,-3.505144882E1,1.897293091E1,-1.422399902E1
6.926585137E2,-1.451814556E1,3.759547424E1,-1.384277344E1
6.931609315E2,-2.387733841E1,3.147610474E1,-1.387194824E1
6.936633505E2,-1.729088402E1,3.523245239E1,-1.262695312E1
6.941657701E2,-8.043715477E0,3.824845886E1,-1.374407959E1
6.946681891E2,-3.085761070E1,2.153713989E1,-1.542230225E1
6.951706091E2,-6.929206848E0,4.001046753E1,-4.839111328E0
6.956730291E2,-3.306457520E1,1.881167603E1,-1.544458008E1
6.961754487E2,-1.018449497E1,3.926759338E1,-9.206970215E0
6.966778687E2,-2.594914436E1,2.943464661E1,-1.460491943E1
6.971802893E2,-1.840805817E1,3.619927979E1,-1.279229736E1
6.976827103E2,-1.127627277E1,3.935652161E1,-1.174267578E1
6.981851302E2,-2.281694412E1,3.387586975E1,-1.336761475E1
6.986875512E2,-2.218729258E0,4.287533569E1,-5.918945312E0
6.991899722E2,-3.303364563E1,2.522647095E1,-1.192218018E1
6.996923932E2,-1.554147243E0,4.273370361E1,-2.383422852E-1
7.001948145E2,-3.066434479E1,3.132823181E1,-1.382879639E1
7.006972365E2,-9.293422699E0,4.547282410E1,-5.322387695E0
7.011996574E2,-2.245318985E1,4.028376770E1,-1.305822754E1
7.017020784E2,-1.866442680E1,4.332403564E1,-8.309020996E0
7.022045003E2,-8.675395966E0,4.702557373E1,-7.493896484E0
7.027069213E2,-3.435610199E1,3.370843506E1,-8.934570312E0
7.032093433E2,-1.465005755E0,4.875802612E1,-8.894165039E0
7.037117653E2,-4.119037247E1,2.271871948E1,-1.533459473E1
7.042141857E2,-5.353785038E0,4.951205444E1,-4.002136230E0
7.047166077E2,-3.625243378E1,3.341973877E1,-9.915039062E0
7.052190303E2,-1.675446320E1,4.713812256E1,-1.023913574E1
7.057214523E2,-2.068777847E1,4.555287170E1,-9.279296875E0
7.062238737E2,-2.366624069E1,-1.124050903E1,-4.381292725E1
7.067262957E2,-1.356857586E1,-1.173269653E1,-4.713793945E1
7.072287183E2,-3.973571396E1,2.375152588E1,-1.890875244E1
7.077311413E2,-1.345335674E1,4.709368896E1,8.756774902E0
7.082335636E2,-4.400880051E1,2.063146973E1,-7.886047363E0
7.087359876E2,-1.906947708E1,4.429655457E1,8.087585449E0
7.092384131E2,-3.966588211E1,2.615423584E1,-9.308227539E0
7.097408381E2,-2.213799477E1,4.104702759E1,-1.272430420E1
7.102432632E2,-1.920964241E1,4.177375793E1,-1.265618896E1
7.107456892E2,-3.780557251E1,2.664578247E1,-9.889404297E0
7.112481152E2,-4.491224289E0,4.747650146E1,1.503967285E0
7.117505412E2,-4.352600479E1,1.561016846E1,-9.908203125E0
7.122529667E2,-4.477179527E0,4.735441589E1,-2.381286621E0
7.127553927E2,-3.903779984E1,2.393975830E1,-1.103857422E1
7.132578200E2,-1.497484398E1,4.312002563E1,-1.309478760E1
7.137602460E2,-2.374329185E1,3.837944031E1,-1.470758057E1
7.142626722E2,-3.179090309E1,3.306268311E1,-1.189184570E1
7.147650992E2,-7.001817703E0,4.564477539E1,-1.251019287E1
7.152675253E2,-4.315189743E1,1.497976685E1,-1.187982178E1
7.157699513E2,-6.541084290E0,4.685365295E1,-1.805969238E0
7.162723777E2,-4.206123734E1,2.126153564E1,-7.476562500E0
7.167748037E2,-1.455271339E1,4.416007996E1,-1.208752441E1
7.172772295E2,-3.192222023E1,3.334590149E1,-1.257586670E1
7.177796555E2,-2.652946091E1,3.865704346E1,-9.550537109E0
7.182820815E2,-9.694241524E0,4.627699280E1,-9.369873047E0
7.187845075E2,-3.908555984E1,2.648977661E1,-1.039501953E1
7.192869330E2,-8.550542831E0,4.786035156E1,-6.571044922E0
7.197893590E2,-3.698454285E1,3.013732910E1,-1.219641113E1
7.202917852E2,-1.816463661E1,4.530253601E1,-1.042535400E1
7.207942102E2,-2.434130669E1,4.189318848E1,-1.393426514E1
7.212966350E2,-2.357095337E1,4.306343079E1,-1.125219727E1
7.217990600E2,-1.014585972E1,4.924383545E1,-4.189880371E0
7.223014836E2,-4.152523804E1,2.506506348E1,-8.630554199E0
7.228039076E2,-1.492983341E1,4.690988159E1,-5.253295898E0
7.233063323E2,-3.886144638E1,2.592211914E1,-1.255590820E1
7.238087563E2,-1.870586395E1,4.345631409E1,-8.147155762E0
7.243111790E2,-1.590980816E1,4.382231140E1,-8.870300293E0
7.248136020E2,-2.905653381E1,3.483422852E1,-1.205322266E1
7.253160253E2,-5.887472630E0,4.644009399E1,-9.461547852E0
7.258184473E2,-4.076973343E1,2.002703857E1,-1.240789795E1
7.263208685E2,-9.266142845E0,4.588609314E1,-3.381408691E0
7.268232907E2,-3.138189697E1,3.203910828E1,-1.335607910E1
7.273257127E2,-2.072444153E1,4.060859680E1,-1.009289551E1
7.278281353E2,-1.020596600E1,4.487461853E1,-9.263000488E0
7.283305563E2,-4.228185654E1,7.038726807E0,-1.744915771E1
7.288329768E2,-1.155980778E1,4.336262512E1,1.113403320E1
7.293353988E2,-3.358169937E1,3.008634949E1,-3.678771973E0
7.298378203E2,-1.655214310E1,4.035298157E1,-9.531555176E0
7.303402413E2,-2.141091537E1,3.914299011E1,-4.732055664E0
7.308426617E2,-3.106033516E1,3.062826538E1,3.446960449E0
7.313450827E2,-2.423721313E1,3.330702209E1,1.672082520E1
7.318475027E2,-2.664587021E1,3.338760376E1,7.457946777E0
7.323499237E2,-2.556820869E1,3.239099121E1,-1.141748047E1
7.328523440E2,-2.694028473E1,3.193450928E1,-1.336975098E0
7.333547650E2,-1.807454109E1,3.711036682E1,-3.147277832E0
7.338571847E2,-3.052217674E1,2.953999329E1,2.124023438E0
7.343596047E2,-1.917649841E1,3.618983459E1,9.742370605E0
7.348620242E2,-2.467742348E1,3.515623474E1,1.865869141E1
7.353644442E2,-1.223259544E1,4.876147461E1,1.124084473E1
7.358668631E2,-1.810193825E1,4.866546631E1,9.329406738E0
7.363692831E2,-4.039689255E1,1.613729858E1,3.048944092E1
7.368717020E2,-3.461974716E1,2.626296997E1,2.263555908E1
7.373741210E2,-1.632427597E1,5.388150024E1,1.907482910E1
7.378765395E2,-3.469152689E0,6.157380676E1,7.217529297E0
7.383789595E2,-2.497457123E1,4.601765442E1,2.212658691E1
7.388813788E2,-2.013943481E1,4.380398560E1,2.682025146E1
7.393837978E2,-3.393044281E1,3.608909607E1,1.615887451E1
7.398862170E2,-2.519440460E1,3.991149902E1,1.906329346E1
7.403886350E2,-2.862312698E1,3.719056702E1,2.081921387E1
7.408910536E2,-3.871158600E1,2.711178589E1,1.950756836E1
7.413934716E2,-3.074275780E1,3.522607422E1,2.098834229E1
7.418958897E2,-3.574541855E1,3.241500854E1,1.551483154E1
7.423983077E2,-3.280326462E1,3.542942810E1,1.532818604E1
