"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.008588753E2,5.233404739E1,4.864077777E0,1.225331422E0,1.009173534E0,1.855840359E1,4.733421470E0,3.379239296E0
1.018588760E2,5.233406667E1,4.864083296E0,1.507899536E0,1.296099120E0,1.269250390E1,4.735050799E0,3.376955872E0
1.028588698E2,5.233408216E1,4.864082450E0,1.239526615E0,1.408331838E0,2.894989706E0,4.736316372E0,3.375180625E0
1.038588679E2,5.233409296E1,4.864081322E0,1.568854956E0,1.144291998E0,3.571808027E2,4.735244367E0,3.376684442E0
1.048588651E2,5.233410234E1,4.864087398E0,2.091950877E0,9.069659653E-1,3.814191394E0,4.733831616E0,3.378664716E0
1.058588626E2,5.233411075E1,4.864089388E0,2.313317184E0,7.501449202E-1,6.991974450E0,4.735523304E0,3.376293245E0
1.068588597E2,5.233412667E1,4.864089584E0,2.568671669E0,8.524078588E-1,7.674765384E0,4.735342223E0,3.376547210E0
1.078588575E2,5.233413500E1,4.864089151E0,2.532107689E0,6.113008862E-1,1.195038419E1,4.736468153E0,3.374967624E0
1.088588550E2,5.233414885E1,4.864085754E0,2.315739111E0,7.454822516E-1,3.486640217E0,4.740529607E0,3.369260464E0
1.098588521E2,5.233415351E1,4.864082754E0,2.333152435E0,4.974759059E-1,3.560627795E2,4.739841295E0,3.370228706E0
1.108589548E2,5.233415848E1,4.864078121E0,2.229113234E0,4.819714200E-1,3.547833959E2,4.741869483E0,3.367374472E0
1.118589549E2,5.233416951E1,4.864077262E0,2.405505275E0,5.365378762E-1,3.479727206E2,4.741516274E0,3.367871799E0
1.128589526E2,5.233417530E1,4.864076690E0,2.381648776E0,3.438416084E-1,3.492574620E2,4.736853687E0,3.374426496E0
1.138589592E2,5.233419660E1,4.864079615E0,2.313871284E0,1.089020444E0,2.995726487E-1,4.735734545E0,3.375996941E0
1.148589646E2,5.233420527E1,4.864085976E0,2.377628853E0,1.009506902E0,1.411714655E1,4.739758618E0,3.370344979E0
1.158589699E2,5.233421012E1,4.864083119E0,1.801099928E0,7.435129048E-1,4.925566231E0,4.739878736E0,3.370176048E0
1.168589766E2,5.233421426E1,4.864093433E0,1.686176489E0,3.012590119E-1,4.149738207E1,4.738603527E0,3.371968809E0
1.178589877E2,5.233421996E1,4.864114580E0,1.936147105E0,9.676194807E-1,7.248685237E1,4.739090023E0,3.371285034E0
1.188589880E2,5.233422610E1,4.864116087E0,2.076239957E0,7.454323501E-1,7.527883827E1,4.737105254E0,3.374073331E0
1.198590014E2,5.233422661E1,4.864114509E0,2.267862169E0,3.807075765E-1,6.858272248E1,4.732844306E0,3.380047604E0
1.208590119E2,5.233422493E1,4.864112198E0,1.977498841E0,7.687059338E-2,6.902202164E1,4.735508414E0,3.376314128E0
1.218590194E2,5.233423167E1,4.864125311E0,1.889777395E0,4.994739562E-1,6.265291011E1,4.734522005E0,3.377697206E0
1.228590293E2,5.233423455E1,4.864128874E0,1.558731901E0,4.569422548E-1,6.304348884E1,4.734916198E0,3.377144597E0
1.238590387E2,5.233423709E1,4.864128016E0,1.715330090E0,2.275488146E-1,6.343011058E1,4.735137285E0,3.376834601E0
1.248590468E2,5.233424397E1,4.864143003E0,1.858065846E0,7.105434947E-1,6.853846221E1,4.741532106E0,3.367849510E0
1.258590490E2,5.233424405E1,4.864139821E0,1.690344310E0,3.523920941E-1,8.297548690E1,4.742289263E0,3.366783269E0
1.268590519E2,5.233425114E1,4.864147629E0,1.649856560E0,4.253790572E-1,8.592203043E1,4.740448799E0,3.369374158E0
1.278590575E2,5.233425186E1,4.864145553E0,1.788007714E0,1.635096644E-1,9.293911746E1,4.732776946E0,3.380141922E0
1.288590567E2,5.233425293E1,4.864153413E0,1.976880427E0,4.530708679E-1,9.293912363E1,4.732119408E0,3.381062399E0
1.298590602E2,5.233425736E1,4.864159875E0,2.022128784E0,6.240360911E-1,6.861521269E1,4.732162295E0,3.381002373E0
1.308590621E2,5.233426218E1,4.864164654E0,1.816309316E0,5.816150833E-1,5.705766057E1,4.731713262E0,3.381630766E0
1.318590628E2,5.233425917E1,4.864164159E0,1.971621176E0,3.215893964E-1,7.418165766E1,4.732392594E0,3.380680015E0
1.328590641E2,5.233425938E1,4.864188497E0,1.872837610E0,1.101434822E0,8.961051577E1,4.738627133E0,3.371935634E0
1.338590653E2,5.233425937E1,4.864194165E0,1.869272405E0,8.694979455E-1,9.659332963E1,4.740211696E0,3.369707719E0
1.348590670E2,5.233426246E1,4.864195959E0,1.977854714E0,4.924424327E-1,9.309099120E1,4.737007622E0,3.374210399E0
1.358590674E2,5.233425911E1,4.864235798E0,2.227070644E0,1.393102108E0,9.979007255E1,4.731129067E0,3.382448046E0
1.368590676E2,5.233425942E1,4.864258588E0,1.990554757E0,1.480549147E0,9.568220336E1,4.735681627E0,3.376071172E0
1.378590715E2,5.233426170E1,4.864277340E0,1.642364413E0,1.492163495E0,9.009031824E1,4.738200384E0,3.372535272E0
1.388590684E2,5.233426345E1,4.864295830E0,1.511742727E0,1.484727963E0,8.521489323E1,4.737284500E0,3.373821660E0
1.398590688E2,5.233426446E1,4.864309975E0,1.341310748E0,1.431214233E0,8.479530023E1,4.736917832E0,3.374336451E0
1.408590738E2,5.233426395E1,4.864328417E0,1.431658065E0,1.429665563E0,8.895118503E1,4.736424418E0,3.375029001E0
1.418590690E2,5.233426341E1,4.864334086E0,2.071336867E0,7.946300248E-1,8.786639720E1,4.732409886E0,3.380655809E0
1.428590685E2,5.233426138E1,4.864352303E0,1.813187741E0,1.026372389E0,8.941411467E1,4.731204640E0,3.382342337E0
1.438590685E2,5.233426011E1,4.864368340E0,1.564832345E0,1.166198443E0,8.995775422E1,4.732245924E0,3.380885320E0
1.448590678E2,5.233425613E1,4.864366054E0,1.557824706E0,6.122801748E-1,9.587896267E1,4.732007500E0,3.381219019E0
1.458590668E2,5.233425525E1,4.864376689E0,1.699126675E0,5.810291635E-1,9.227338117E1,4.734638936E0,3.377533298E0
1.468590659E2,5.233425012E1,4.864383815E0,1.788155125E0,6.808422508E-1,9.515928089E1,4.737639532E0,3.373323094E0
1.478590652E2,5.233424610E1,4.864391494E0,1.984760549E0,6.113980819E-1,8.702672018E1,4.738190976E0,3.372548488E0
1.488590646E2,5.233424357E1,4.864402023E0,2.687400064E0,7.901705715E-1,7.571521266E1,4.737004306E0,3.374215055E0
1.498590634E2,5.233423814E1,4.864399469E0,2.682375676E0,3.356253037E-1,8.274074597E1,4.736861404E0,3.374415663E0
1.508590620E2,5.233423720E1,4.864401726E0,2.945708437E0,2.903371793E-1,8.274074738E1,4.742125058E0,3.367014548E0
1.518590610E2,5.233423948E1,4.864409183E0,3.135918211E0,3.892097386E-1,8.274075386E1,4.744021591E0,3.364341864E0
1.528590599E2,5.233424287E1,4.864409116E0,3.273296230E0,2.145808787E-1,8.274075496E1,4.745093765E0,3.362829492E0
1.538590589E2,5.233425816E1,4.864408744E0,3.019533003E0,9.522457665E-1,9.460795618E0,4.742993924E0,3.365790497E0
1.548590573E2,5.233427238E1,4.864409908E0,2.680885362E0,1.477226201E0,3.596324213E2,4.743638195E0,3.364882421E0
1.558590553E2,5.233427506E1,4.864420599E0,2.987123799E0,1.214876790E0,1.082948315E1,4.732742226E0,3.380190535E0
1.568590542E2,5.233427373E1,4.864421620E0,3.547082506E0,5.236706495E-1,2.121872342E1,4.735514216E0,3.376305991E0
