"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.135423815E1,5.240953371E1,4.941549480E0,4.669609701E0,2.052000046E1,2.800000000E1,3.790092468E0,2.500000000E0
7.235344034E1,5.240970092E1,4.941690410E0,4.772591426E0,2.087000084E1,2.779999924E1,3.790092468E0,2.500000000E0
7.335325409E1,5.240986619E1,4.941832310E0,4.590475758E0,2.085000038E1,2.800000000E1,3.790092468E0,2.500000000E0
7.435362758E1,5.241003461E1,4.941972310E0,5.012672544E0,2.062000084E1,2.810000038E1,3.790092468E0,2.500000000E0
7.535374950E1,5.241019809E1,4.942106480E0,5.026472658E0,2.036000061E1,2.850000000E1,3.790092468E0,2.500000000E0
7.635326549E1,5.241035681E1,4.942243500E0,4.851608018E0,2.013999939E1,2.829999924E1,3.790092468E0,2.500000000E0
7.735396336E1,5.241051410E1,4.942377970E0,4.397687120E0,1.993000031E1,2.829999924E1,3.790092468E0,2.500000000E0
7.835371752E1,5.241066912E1,4.942518810E0,3.984233054E0,1.975000000E1,2.860000038E1,3.790092468E0,2.500000000E0
7.935376263E1,5.241082413E1,4.942654350E0,3.874120595E0,1.978000069E1,2.779999924E1,3.790092468E0,2.500000000E0
8.035357013E1,5.241098375E1,4.942791110E0,4.105079871E0,2.006999969E1,2.810000038E1,3.790092468E0,2.500000000E0
8.135398643E1,5.241114576E1,4.942931770E0,4.007370532E0,2.038999939E1,2.750000000E1,3.790092468E0,2.500000000E0
8.235339335E1,5.241131421E1,4.943075840E0,3.906071293E0,2.054999924E1,2.710000038E1,3.790092468E0,2.500000000E0
8.335424054E1,5.241148018E1,4.943210580E0,3.615187856E0,2.035000038E1,2.700000000E1,3.790092468E0,2.500000000E0
8.435407997E1,5.241164215E1,4.943343740E0,3.514910601E0,2.012000084E1,2.720000076E1,3.790092468E0,2.500000000E0
8.535397424E1,5.241180584E1,4.943467560E0,3.418048279E0,1.997999954E1,2.720000076E1,3.790092468E0,2.500000000E0
8.635406340E1,5.241196074E1,4.943604380E0,3.231886673E0,1.946999931E1,2.720000076E1,3.790092468E0,2.500000000E0
8.735411653E1,5.241211547E1,4.943730780E0,3.120791948E0,1.881999969E1,2.750000000E1,3.790092468E0,2.500000000E0
8.835430747E1,5.241226657E1,4.943858010E0,3.246325855E0,1.852000046E1,2.729999924E1,3.790092468E0,2.500000000E0
8.935325465E1,5.241241056E1,4.943979880E0,3.096944160E0,1.831999969E1,2.739999962E1,3.790092468E0,2.500000000E0
9.035404700E1,5.241255402E1,4.944101650E0,3.133718886E0,1.806999969E1,2.750000000E1,3.790092468E0,2.500000000E0
9.135377960E1,5.241269526E1,4.944223650E0,3.167499874E0,1.782999992E1,2.789999962E1,3.790092468E0,2.500000000E0
9.235341554E1,5.241283929E1,4.944346600E0,3.044302975E0,1.760000038E1,2.800000000E1,3.790092468E0,2.500000000E0
9.335376689E1,5.241297813E1,4.944459300E0,3.409618060E0,1.732999992E1,2.770000076E1,3.790092468E0,2.500000000E0
9.435426022E1,5.241310575E1,4.944573210E0,3.193619073E0,1.704999924E1,2.789999962E1,3.790092468E0,2.500000000E0
9.535325408E1,5.241323961E1,4.944692120E0,3.409211500E0,1.692000008E1,2.739999962E1,3.790092468E0,2.500000000E0
9.635365304E1,5.241337413E1,4.944811330E0,2.658313351E0,1.707999992E1,2.689999962E1,3.790092468E0,2.500000000E0
9.735379793E1,5.241351427E1,4.944923150E0,2.608773837E0,1.732999992E1,2.610000038E1,3.790092468E0,2.500000000E0
9.835365954E1,5.241365779E1,4.945035590E0,2.609349366E0,1.771999931E1,2.550000000E1,3.790092468E0,2.500000000E0
9.935345423E1,5.241380204E1,4.945148550E0,2.644777320E0,1.809000015E1,2.529999924E1,3.790092468E0,2.500000000E0
1.003542685E2,5.241395330E1,4.945256180E0,2.410925010E0,1.831999969E1,2.460000038E1,3.790092468E0,2.500000000E0
1.013535957E2,5.241410427E1,4.945365410E0,2.230845207E0,1.847999954E1,2.429999924E1,3.790092468E0,2.524096251E0
1.023542258E2,5.241425746E1,4.945475560E0,2.343676827E0,1.850000000E1,2.389999962E1,3.790092468E0,2.664121389E0
1.033540601E2,5.241441101E1,4.945579420E0,2.388512099E0,1.854999924E1,2.310000038E1,3.790092468E0,2.857189655E0
1.043540478E2,5.241456397E1,4.945681700E0,2.281062894E0,1.852000046E1,2.220000076E1,3.790092468E0,3.051431179E0
1.053539400E2,5.241472239E1,4.945782580E0,2.275915562E0,1.863999939E1,2.070000076E1,3.790092468E0,3.468962908E0
1.063538153E2,5.241488035E1,4.945877770E0,2.492810132E0,1.856999969E1,1.889999962E1,3.790092468E0,3.150459528E0
1.073537226E2,5.241503884E1,4.945969220E0,1.738206677E0,1.846999931E1,1.739999962E1,3.790092468E0,2.598892450E0
1.083540952E2,5.241519945E1,4.946045980E0,1.900467715E0,1.837999916E1,1.550000000E1,3.790092468E0,2.730253220E0
1.093540402E2,5.241536170E1,4.946112100E0,2.141826390E0,1.829999924E1,1.350000000E1,3.790092468E0,2.940101147E0
1.103534233E2,5.241552255E1,4.946169140E0,2.163573239E0,1.812000084E1,1.230000019E1,3.790092468E0,2.948210716E0
1.113538024E2,5.241568009E1,4.946224920E0,2.331554874E0,1.798999977E1,1.130000019E1,3.790092468E0,3.185767889E0
1.123536027E2,5.241584022E1,4.946275970E0,2.085047667E0,1.804999924E1,1.069999981E1,3.790092468E0,2.924095869E0
1.133534441E2,5.241600129E1,4.946322410E0,1.921302758E0,1.821999931E1,1.010000038E1,3.790092468E0,2.738903999E0
1.143540573E2,5.241616415E1,4.946368390E0,1.584220285E0,1.840999985E1,9.899999619E0,3.790092468E0,2.500000000E0
1.153537712E2,5.241632598E1,4.946416060E0,2.165167129E0,1.838999939E1,1.010000038E1,3.790092468E0,2.500000000E0
1.163537212E2,5.241649119E1,4.946460570E0,2.682701399E0,1.837000084E1,1.039999962E1,3.790092468E0,2.500000000E0
1.173537654E2,5.241665388E1,4.946512830E0,3.180400224E0,1.844000053E1,1.050000000E1,3.790092468E0,2.500000000E0
1.183536352E2,5.241681660E1,4.946561890E0,2.821407757E0,1.859000015E1,1.089999962E1,3.790092468E0,2.500000000E0
1.193535555E2,5.241698252E1,4.946615310E0,2.825642630E0,1.879999924E1,1.130000019E1,3.790092468E0,2.500000000E0
1.203534559E2,5.241714900E1,4.946675200E0,2.998400182E0,1.878000069E1,1.180000019E1,3.790092468E0,2.500000000E0
