"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.124353559E1,5.233387973E1,4.863944970E0,9.760423406E0,1.009999990E0,6.109999847E1,3.790092468E0,3.688440561E0
8.224310226E1,5.233388622E1,4.863953950E0,1.005694646E1,9.900000095E-1,4.040000153E1,3.790092468E0,3.425874710E0
8.324354804E1,5.233389356E1,4.863959860E0,9.852187213E0,8.799999952E-1,3.270000076E1,3.790092468E0,3.311809778E0
8.424273580E1,5.233390105E1,4.863965760E0,9.937345164E0,9.499999881E-1,3.189999962E1,3.790092468E0,3.326824188E0
8.524284851E1,5.233390917E1,4.863974180E0,1.030052058E1,1.029999971E0,3.679999924E1,3.790092468E0,3.420590878E0
8.624345966E1,5.233391650E1,4.863984890E0,1.066467276E1,9.700000286E-1,4.409999847E1,3.790092468E0,3.525153160E0
8.724265007E1,5.233392505E1,4.863993830E0,1.058564937E1,1.139999986E0,2.160000038E1,3.790092468E0,3.502381563E0
8.824283976E1,5.233393471E1,4.864000640E0,1.068814488E1,1.029999971E0,2.089999962E1,3.790092468E0,3.520529985E0
8.924329226E1,5.233394374E1,4.864010510E0,1.094335121E1,1.039999962E0,3.940000153E1,3.790092468E0,3.715961695E0
9.024314658E1,5.233395150E1,4.864022330E0,1.170331762E1,1.039999962E0,5.040000153E1,3.790092468E0,3.766850710E0
9.124360767E1,5.233396039E1,4.864033230E0,1.208205950E1,1.110000014E0,3.409999847E1,3.790092468E0,3.883387327E0
9.224317226E1,5.233396834E1,4.864043940E0,1.304026772E1,1.029999971E0,4.629999924E1,3.790092468E0,4.121257305E0
9.324343335E1,5.233397625E1,4.864056630E0,1.301562790E1,1.049999952E0,4.770000076E1,3.790092468E0,4.130883694E0
9.424276606E1,5.233398478E1,4.864067980E0,1.354988712E1,1.039999962E0,4.240000153E1,3.790092468E0,4.127657890E0
9.524278194E1,5.233399454E1,4.864077070E0,1.386478641E1,1.029999971E0,3.179999924E1,3.790092468E0,4.105130196E0
9.624289262E1,5.233400553E1,4.864082420E0,1.360247583E1,1.070000052E0,1.689999962E1,3.790092468E0,4.015924931E0
9.724267725E1,5.233401718E1,4.864087260E0,1.315913560E1,1.149999976E0,1.720000076E1,3.790092468E0,3.687969208E0
9.824302434E1,5.233402938E1,4.864089270E0,1.267532823E1,1.210000038E0,3.578999939E2,3.790092468E0,3.446508408E0
9.924290090E1,5.233404084E1,4.864089410E0,1.231255145E1,1.049999952E0,8.000000119E-1,3.790092468E0,3.255302668E0
1.002433433E2,5.233405143E1,4.864090110E0,1.199902915E1,1.039999962E0,3.582000122E2,3.790092468E0,3.129831791E0
1.012435238E2,5.233406137E1,4.864089130E0,1.207454306E1,1.039999962E0,3.572999878E2,3.790092468E0,3.102317333E0
1.022434364E2,5.233407175E1,4.864087430E0,1.211044535E1,1.120000005E0,3.550000000E2,3.790092468E0,3.099377871E0
1.032431619E2,5.233408231E1,4.864084620E0,1.229057334E1,1.059999943E0,3.550000000E2,3.790092468E0,3.362819433E0
1.042431225E2,5.233409334E1,4.864083830E0,1.244976809E1,1.090000033E0,4.000000060E-1,3.790092468E0,3.287062407E0
1.052431125E2,5.233410397E1,4.864083670E0,1.235017357E1,9.800000191E-1,1.100000024E0,3.790092468E0,3.202629566E0
1.062427122E2,5.233411503E1,4.864082460E0,1.269345015E1,1.070000052E0,3.553999939E2,3.790092468E0,3.163752556E0
1.072429802E2,5.233412634E1,4.864082030E0,1.268516503E1,1.070000052E0,2.099999905E0,3.790092468E0,3.138095379E0
1.082434781E2,5.233413822E1,4.864081660E0,1.334784021E1,1.190000057E0,3.537999878E2,3.790092468E0,3.067614079E0
1.092431493E2,5.233414993E1,4.864080400E0,1.385334912E1,1.039999962E0,3.527000122E2,3.790092468E0,2.960779428E0
1.102431554E2,5.233416012E1,4.864078900E0,1.382968095E1,1.080000043E0,3.457999878E2,3.790092468E0,3.028874874E0
1.112435695E2,5.233416999E1,4.864077190E0,1.397764307E1,1.070000052E0,3.517000122E2,3.790092468E0,3.110415936E0
1.122435458E2,5.233417939E1,4.864077830E0,1.351439982E1,1.029999971E0,3.537999878E2,3.790092468E0,3.016518354E0
1.132429423E2,5.233418841E1,4.864078140E0,1.230072860E1,1.149999976E0,3.480000000E2,3.790092468E0,2.851032495E0
1.142431446E2,5.233419834E1,4.864090890E0,1.110024938E1,1.720000029E0,4.550000000E1,3.790092468E0,2.777031898E0
1.152435938E2,5.233420558E1,4.864106840E0,1.008269056E1,1.049999952E0,5.390000153E1,3.790092468E0,2.904814959E0
