"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.332934392E2,-4.218750000E0,4.173750305E1,9.731250763E0
4.337934392E2,-5.475000381E0,4.335000229E1,8.868750572E0
4.342934392E2,-7.968750477E0,4.395000076E1,7.575000286E0
4.347934392E2,-1.048125076E1,4.550625229E1,5.887500286E0
4.352934392E2,-1.376250076E1,4.552500153E1,4.687500000E0
4.357934392E2,-1.593750095E1,4.539375305E1,4.106250286E0
4.362934392E2,-1.732500076E1,4.365000153E1,3.768750191E0
4.367934392E2,-1.803750038E1,4.183125305E1,4.537500381E0
4.372934392E2,-1.801875114E1,3.975000000E1,5.662500381E0
4.377934392E2,-1.725000000E1,3.860625076E1,5.681250095E0
4.382934392E2,-1.651875114E1,3.840000153E1,5.718750000E0
4.387934392E2,-1.526250076E1,3.735000229E1,6.412500381E0
4.392934392E2,-1.320000076E1,3.774375153E1,7.350000381E0
4.397934392E2,-1.031250000E1,3.920625305E1,7.350000381E0
4.402934392E2,-1.083750057E1,4.147500229E1,6.862500191E0
4.407934392E2,-1.108125019E1,4.425000000E1,4.481250286E0
4.412934392E2,-1.280625057E1,4.620000076E1,2.962500095E0
4.417934392E2,-1.421250057E1,4.773750305E1,1.331250072E0
4.422934392E2,-1.440000057E1,4.755000305E1,1.443750024E0
4.427934392E2,-1.438125038E1,4.794375229E1,1.593750119E0
4.432934392E2,-1.567500019E1,4.921875381E1,5.250000358E-1
4.437934392E2,-1.728750038E1,5.055000305E1,-1.050000072E0
4.442934392E2,-1.880625153E1,5.126250076E1,-1.462500095E0
4.447934392E2,-2.163750076E1,5.145000076E1,-1.781250119E0
4.452934392E2,-2.321250153E1,5.062500381E1,-1.556250095E0
4.457934392E2,-2.640000153E1,4.925625229E1,-1.893750072E0
4.462934392E2,-2.773125076E1,4.576875305E1,-1.706250072E0
4.467934392E2,-3.001875114E1,4.093125153E1,-5.250000358E-1
4.472934392E2,-2.795625114E1,3.658125305E1,2.212500095E0
4.477934392E2,-2.883750153E1,3.300000000E1,5.793750286E0
4.482934392E2,-2.591250038E1,2.872500038E1,1.023750019E1
4.487934392E2,-2.373750114E1,2.435625076E1,1.655625153E1
4.492934392E2,-1.888125038E1,2.270625114E1,2.326875114E1
4.497934392E2,-1.668750000E1,2.150625038E1,3.016875076E1
4.502934392E2,-1.276875019E1,2.401875114E1,3.532500076E1
4.507934392E2,-1.231875038E1,2.668125153E1,3.960000229E1
4.512934392E2,-1.276875019E1,2.750625038E1,4.276875305E1
4.517934392E2,-1.408125019E1,2.501250076E1,4.503750229E1
4.522934392E2,-1.275000095E1,2.375625038E1,4.588125229E1
4.527934392E2,-1.156875038E1,2.332500076E1,4.543125153E1
4.532934392E2,-1.021875000E1,2.330625153E1,4.438125229E1
4.537934392E2,-9.468750000E0,2.233125114E1,4.428750229E1
4.542934392E2,-9.881250381E0,2.143125153E1,4.357500076E1
4.547934392E2,-1.025625038E1,1.978125000E1,4.166250229E1
4.552934392E2,-1.126875019E1,1.833750153E1,3.960000229E1
4.557934392E2,-1.050000000E1,1.678125000E1,3.772500229E1
4.562934392E2,-1.155000019E1,1.717500114E1,3.450000000E1
4.567934392E2,-1.361250019E1,1.543125057E1,3.198750114E1
4.572934392E2,-1.460625076E1,1.415625095E1,2.872500038E1
4.577934392E2,-1.342500019E1,1.327500057E1,2.574375153E1
4.582934392E2,-1.378125095E1,1.321875095E1,2.373750114E1
4.587934392E2,-1.293750095E1,1.342500019E1,2.328750038E1
4.592934392E2,-1.333125019E1,1.344375038E1,2.268750000E1
4.597934392E2,-1.273125076E1,1.393125057E1,2.388750076E1
4.602934392E2,-1.321875095E1,1.295625019E1,2.730000114E1
4.607934392E2,-1.291875076E1,1.224375057E1,3.106875038E1
4.612934392E2,-1.389375019E1,1.051875019E1,3.333750153E1
4.617934392E2,-1.295625019E1,8.868750572E0,3.356250000E1
4.622934392E2,-1.121250057E1,7.275000095E0,3.298125076E1
