"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.205886946E1,-2.435708618E1,-5.358496094E1,-1.927253723E1
2.255994079E1,-2.669354248E1,-4.768624878E1,-1.394129944E1
2.306101079E1,-2.876261902E1,-3.762274170E1,-1.980407715E0
2.356208092E1,-3.554618835E1,2.552490234E-1,-3.531280518E0
2.406315192E1,-3.314953613E1,4.548339844E-1,6.703277588E0
2.456422217E1,-4.190145874E1,-4.425048828E-1,-1.746871948E0
2.506529317E1,-4.295542908E1,1.167373657E1,-3.092041016E-1
2.556636292E1,-4.205441284E1,1.536871338E1,1.519470215E-1
2.606743292E1,-4.642298889E1,5.680786133E0,4.538909912E0
2.656850279E1,-4.612037659E1,7.228424072E0,-1.437301636E0
2.706957179E1,-4.101463318E1,-2.655242920E0,-3.047241211E0
2.757064229E1,-3.818235779E1,-7.374084473E0,-3.435409546E0
2.807171129E1,-2.135455322E1,-1.807189941E0,3.395095825E0
2.857278067E1,-2.666604614E1,-2.814987183E1,-1.677697754E1
2.907384967E1,-3.424623108E1,-2.472979736E1,-4.527198792E1
2.957491883E1,-8.882339478E0,-3.246765137E-1,-3.803250122E1
3.007598783E1,-1.717695618E1,-2.119705200E1,-2.559625244E1
3.057705792E1,-2.882446289E1,-4.176269531E0,-3.323727417E1
3.107812592E1,-3.159722900E1,-1.215270996E0,-4.460041809E1
3.157919354E1,-2.636970520E1,1.073101807E1,-6.082307434E1
3.208026154E1,-3.785809326E1,3.193035889E1,-7.722998047E1
3.258132933E1,-4.499783325E1,3.069982910E1,-7.646939087E1
3.308239833E1,-4.520921326E1,2.856549072E1,-7.680178833E1
3.358346671E1,-4.212060547E1,1.754385376E1,-8.164880371E1
3.408453471E1,-3.577391052E1,2.296093750E1,-1.156982422E2
3.458560304E1,-2.752661133E1,1.003662109E0,-1.169744110E2
3.508667104E1,-1.978817749E1,1.835977173E1,-1.027608566E2
3.558773879E1,7.911224365E-1,-3.586215210E1,-1.118715439E2
3.608880679E1,-2.793890381E1,-6.628427124E1,-1.481893463E2
3.658987379E1,-3.111766052E1,-6.093704224E1,-1.493659515E2
3.709094179E1,-2.731898499E1,-5.640994263E1,-1.488990173E2
