"Time (s)","X (hPa)"
7.573877279E1,1.013973923E3
7.707124379E1,1.013961716E3
7.840370279E1,1.013948288E3
7.973617879E1,1.013936081E3
8.106862179E1,1.013920517E3
8.240105579E1,1.013905945E3
8.373358479E1,1.013894196E3
8.506611779E1,1.013880539E3
8.639865379E1,1.013859482E3
8.773121079E1,1.013836060E3
8.906371579E1,1.013817368E3
9.039620879E1,1.013798828E3
9.172880779E1,1.013781967E3
9.306139879E1,1.013765335E3
9.439404979E1,1.013745804E3
9.572669479E1,1.013722153E3
9.705398179E1,1.013701782E3
9.812595979E1,1.013677750E3
9.919789879E1,1.013658371E3
1.002697728E2,1.013645554E3
1.013417108E2,1.013643646E3
1.024136448E2,1.013643646E3
1.034855818E2,1.013648911E3
1.045575508E2,1.013659439E3
1.056294558E2,1.013672867E3
1.067013628E2,1.013691025E3
1.077733188E2,1.013715057E3
1.088452238E2,1.013738174E3
1.099171208E2,1.013764954E3
1.109889978E2,1.013799667E3
1.120608378E2,1.013834534E3
1.131327178E2,1.013876648E3
1.142046538E2,1.013928757E3
1.152765708E2,1.013984528E3
1.163485028E2,1.014039993E3
1.174204518E2,1.014105377E3
1.184923678E2,1.014163589E3
1.195642778E2,1.014223862E3
1.206362378E2,1.014272232E3
1.217082288E2,1.014321060E3
1.229767858E2,1.014376526E3
1.243093248E2,1.014441681E3
1.256418548E2,1.014515839E3
1.269744338E2,1.014595871E3
1.283069748E2,1.014687805E3
1.296395848E2,1.014771652E3
1.309721478E2,1.014847565E3
1.323048388E2,1.014906311E3
1.336374328E2,1.014970932E3
1.349700708E2,1.015032196E3
1.363026528E2,1.015095444E3
1.376352358E2,1.015163193E3
1.389678108E2,1.015241013E3
1.403004448E2,1.015322342E3
1.416330718E2,1.015412598E3
1.429657048E2,1.015618286E3
1.442983208E2,1.015930862E3
1.456307418E2,1.016062241E3
1.469632398E2,1.016062241E3
1.482957978E2,1.015787735E3
1.496283418E2,1.015586777E3
1.509609048E2,1.015558929E3
1.522935038E2,1.015586777E3
1.536261858E2,1.015512009E3
1.549588178E2,1.015484772E3
1.562914888E2,1.015398941E3
1.576241258E2,1.014861908E3
1.589567518E2,1.014415588E3
1.602894118E2,1.014370346E3
1.616220618E2,1.014370346E3
1.629546808E2,1.014792404E3
1.642872528E2,1.015300369E3
1.656198158E2,1.015732040E3
1.669524018E2,1.016128006E3
1.682850738E2,1.016128006E3
1.696176748E2,1.015993500E3
1.709502348E2,1.015668793E3
1.722827948E2,1.015461502E3
1.736152928E2,1.015345917E3
1.749479218E2,1.015345917E3
1.762805058E2,1.015364456E3
1.776130308E2,1.015406265E3
1.789456188E2,1.015476227E3
1.802781418E2,1.015489044E3
1.816107458E2,1.015570297E3
1.829433518E2,1.015582886E3
1.842759798E2,1.015644684E3
1.856085248E2,1.015684357E3
1.869411568E2,1.015740204E3
1.882738208E2,1.015792389E3
1.896064468E2,1.015897064E3
1.909391028E2,1.016018753E3
1.922717378E2,1.016129837E3
1.936043458E2,1.016229248E3
1.949369338E2,1.016319733E3
1.962694648E2,1.016345062E3
1.976021188E2,1.016347351E3
1.989347908E2,1.016345062E3
2.002675038E2,1.016302490E3
2.016001018E2,1.016218719E3
2.029327188E2,1.016140823E3
2.042651978E2,1.016059494E3
2.055977338E2,1.015975723E3
2.069302988E2,1.015938034E3
2.082628578E2,1.015925827E3
2.095954728E2,1.015919647E3
2.109280148E2,1.015919342E3
2.122606118E2,1.015907516E3
2.135932338E2,1.015890121E3
2.149258038E2,1.015886230E3
2.162583638E2,1.015862656E3
2.175908398E2,1.015834656E3
2.189234068E2,1.015814743E3
2.202560368E2,1.015793915E3
2.215886098E2,1.015793915E3
2.229212718E2,1.015799713E3
2.242539378E2,1.015824356E3
2.255866468E2,1.015856400E3
2.269193858E2,1.015895615E3
2.282520388E2,1.015923080E3
2.295847798E2,1.015945435E3
