"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.852046650E1,-3.867599487E0,-4.206411743E1,3.964483643E1
9.901802850E1,-6.717903137E0,-4.210012817E1,4.335980225E1
9.951558954E1,-1.374536896E1,-4.222735596E1,5.024261475E1
1.000131505E2,-1.851999664E1,-4.546499634E1,5.424493408E1
1.005107117E2,-1.822205353E1,-4.589122009E1,5.764471436E1
1.010082737E2,-2.071549988E1,-5.349659729E1,6.392535400E1
1.015058346E2,-2.298149109E1,-4.058149719E1,5.600634766E1
1.020033956E2,-2.295780182E1,-4.034242249E1,5.938787842E1
1.025009576E2,-2.644373322E1,-4.702688599E1,7.681512451E1
1.029985186E2,-2.822317505E1,-4.247544861E1,7.388928223E1
1.034960803E2,-2.577213287E1,-4.298400879E1,7.434234619E1
1.039936422E2,-3.053939056E1,-4.141990662E1,7.825384521E1
1.044912028E2,-2.890534210E1,-4.038493347E1,8.508563232E1
1.049887638E2,-3.655996704E1,-4.071339417E1,8.244055176E1
1.054863248E2,-2.907798004E1,-4.085140991E1,8.658996582E1
1.059838857E2,-3.478956604E1,-3.708763123E1,8.163806152E1
1.064814460E2,-3.285505676E1,-3.706658936E1,8.333203125E1
1.069790080E2,-2.805139923E1,-3.838679504E1,8.787561035E1
1.074765692E2,-5.412902832E-1,-7.371005249E1,6.203845215E1
1.079741302E2,-2.340910339E1,-7.552661133E1,7.096740723E1
1.084716916E2,-2.497078705E1,-7.548051453E1,6.781524658E1
1.089692526E2,-2.699761658E2,-8.344166565E1,7.392639160E1
1.094668130E2,-2.433139954E2,-9.974981689E1,7.416497803E1
1.099643740E2,-2.390050201E2,-8.377397156E1,8.425537109E1
1.104619353E2,-2.681174622E2,-8.612792969E1,7.623760986E1
1.109594963E2,-2.709087219E2,-7.090490723E1,8.046069336E1
1.114570574E2,-2.861726074E2,-9.095979309E1,7.625946045E1
1.119546184E2,-2.494540405E2,-8.626631165E1,9.256335449E1
1.124521796E2,-2.327287140E2,-8.629841614E1,9.667517090E1
1.129497406E2,-2.320889587E2,-8.343351746E1,9.552868652E1
1.134473019E2,-2.210313110E2,-8.121705627E1,9.598541260E1
1.139448629E2,-1.751797485E2,-8.376371765E1,9.104510498E1
1.144424234E2,-1.851041870E2,-9.270869446E1,1.081322632E2
1.149399844E2,-7.584329224E1,-2.342089844E1,1.510103760E2
1.154375456E2,-3.071459961E2,-4.284400635E2,8.224761963E1
1.159351066E2,-4.026416016E2,-3.882314453E2,1.919445801E1
1.164326679E2,-3.422742920E2,-1.560647125E2,-2.778363037E1
1.169302289E2,-3.293744202E2,-1.491979370E2,-1.459667969E1
1.174277900E2,-3.226367798E2,-1.421385193E2,-9.052673340E0
1.179253510E2,-3.429919434E2,-1.354617310E2,-1.713287354E1
1.184229124E2,-3.298175354E2,-1.288995667E2,-1.092883301E1
1.189204734E2,-2.971206055E2,-1.106205292E2,-5.679748535E0
1.194180344E2,-2.708141479E2,-8.667948914E1,-9.252929688E-2
1.199155954E2,-2.690573730E2,-7.909120178E1,4.777832031E-1
1.204131562E2,-2.325422821E2,-5.972598267E1,5.659667969E0
1.209107172E2,-2.256708679E2,-6.617294312E1,9.821594238E0
1.214082779E2,-1.778278198E2,-8.148147583E0,-1.678967285E1
1.219058389E2,-2.316759644E2,9.630462646E0,-1.381176758E1
1.224034000E2,-2.076141815E2,1.528991699E1,-1.990057373E1
1.229009610E2,-2.037208862E2,8.993377686E0,-8.874328613E0
1.233985210E2,-2.007463379E2,5.789596558E0,-3.043188477E1
1.238960821E2,-1.976476440E2,1.760722351E1,-4.003350830E1
1.243936421E2,-1.902681122E2,9.894973755E0,-3.608972168E1
1.248912020E2,-1.848190002E2,2.406590271E1,-3.511499023E1
1.253887620E2,-1.842089844E2,-5.810989380E0,-4.004730225E1
1.258863226E2,-1.769944916E2,-1.094581604E1,-3.992834473E1
1.263838826E2,-1.681083984E2,-3.422842407E1,-2.958770752E1
1.268814423E2,-1.623895416E2,-4.107623291E1,-2.912408447E1
1.273790023E2,-1.545395966E2,-4.773693848E1,-3.440386963E1
1.278765619E2,-1.544279785E2,-5.373367310E1,-3.417834473E1
1.283741219E2,-1.504422913E2,-4.790322876E1,-2.625958252E1
1.288716828E2,-1.583841248E2,-8.602406311E1,-1.812011719E1
1.293692427E2,-1.581827393E2,-9.179655457E1,-2.227929688E1
1.298668020E2,-1.237845154E2,-2.281297302E1,-1.730358887E1
1.303643620E2,-6.012707520E1,-3.033898926E1,2.696813965E1
1.308619218E2,-5.927885818E1,-2.028359985E1,4.187005615E1
1.313594818E2,-1.075379868E2,-1.211558533E1,3.970318604E1
1.318570430E2,-1.012557983E2,6.238906860E0,4.077990723E1
1.323546030E2,-1.010657654E2,1.536105347E1,2.615411377E1
1.328521638E2,-9.821901703E1,1.646124268E1,1.830462646E1
1.333497248E2,-9.762293243E1,-7.353820801E-1,2.193627930E1
1.338472849E2,-9.715019226E1,-1.040997314E1,2.415264893E1
1.343448459E2,-9.422906494E1,-1.893278503E1,2.696087646E1
1.348424078E2,-9.301028442E1,-4.182937622E0,1.982196045E1
1.353399698E2,-9.258001709E1,-1.946080017E1,2.561199951E1
1.358375316E2,-9.055284119E1,-2.198608398E0,3.430432129E1
1.363350926E2,-9.066516113E1,5.127529907E1,2.561560059E1
1.368326548E2,-2.904015350E1,-6.728981018E1,1.055440063E2
1.373302178E2,-1.140604706E2,-9.741943359E1,7.757073975E1
1.378277795E2,-1.143515625E2,-8.858964539E1,7.527624512E1
1.383253415E2,-1.146261444E2,-9.384820557E1,7.086779785E1
1.388229048E2,-1.213145142E2,-1.002244720E2,6.624444580E1
1.393204668E2,-1.269729538E2,-9.384419250E1,6.989227295E1
1.398180289E2,-4.240928268E1,-2.987762451E0,5.009783936E1
1.403155919E2,-3.315518951E1,-1.606414795E0,5.513153076E1
1.408131551E2,-3.339450073E1,1.961730957E0,4.841265869E1
1.413107181E2,-3.914180756E1,4.707061768E0,3.087091064E1
1.418082811E2,-2.925164413E1,2.714904785E0,2.557904053E1
1.423058451E2,-3.190468216E1,6.769714355E0,2.479962158E1
1.428034087E2,-3.125623703E1,1.114636230E1,2.431732178E1
1.433009727E2,-3.845740128E1,4.269775391E0,2.870184326E1
1.437985364E2,-1.902309418E1,-5.926208496E-1,4.369219971E1
1.442960994E2,-1.214680862E1,5.126647949E-1,4.799841309E1
1.447936632E2,-8.245285034E0,-7.119750977E-2,5.462261963E1
1.452912273E2,-9.665359497E0,-1.377929688E0,5.093676758E1
1.457887914E2,-1.038534927E1,1.442138672E0,4.745709229E1
1.462863554E2,-1.573947144E1,-1.075439453E-1,4.149084473E1
1.467839181E2,-1.806378174E1,3.841552734E-1,4.322717285E1
1.472814821E2,-1.620231247E1,-4.132965088E0,4.124841309E1
1.477790455E2,-1.483319855E1,-2.988464355E0,4.148120117E1
1.482766085E2,-1.109029388E1,-2.901458740E0,4.640789795E1
1.487741718E2,-1.246775055E1,-2.253784180E0,4.011791992E1
1.492717348E2,-1.567215729E1,-4.211914062E0,3.894970703E1
1.497692977E2,-1.485719299E1,-3.528442383E0,3.899053955E1
1.502668608E2,-1.332418442E1,-4.401550293E0,4.078637695E1
1.507644230E2,-1.079338074E1,-9.296478271E0,3.982196045E1
1.512619860E2,-6.810543060E0,-1.516738892E1,3.897033691E1
1.517595469E2,1.698665619E0,-6.926452637E0,4.691723633E1
1.522571099E2,-1.553955078E0,-1.257510376E1,3.750708008E1
1.527546723E2,-6.666137695E0,-9.411437988E0,3.497985840E1
1.532522343E2,-5.297210693E0,-1.542846680E0,4.090753174E1
1.537497956E2,-4.626205444E0,-3.782012939E0,3.950256348E1
1.542473576E2,-2.668586731E0,-6.145019531E0,3.966546631E1
1.547449179E2,-1.389366150E0,-3.522888184E0,4.541253662E1
1.552424799E2,9.198379517E-1,-6.095764160E0,4.224761963E1
1.557400416E2,4.948135376E0,-8.127624512E0,3.378479004E1
1.562376026E2,5.651100159E0,-6.783905029E0,2.767187500E1
1.567351631E2,1.193692780E1,-2.766967773E0,3.548901367E1
1.572327241E2,2.724571228E0,-1.715530396E1,3.480712891E1
1.577302841E2,-1.465755081E1,-2.414828491E1,2.861999512E1
1.582278451E2,-2.486280441E1,-2.014498901E1,3.916998291E1
1.587254060E2,1.062661362E1,-5.565988159E1,8.955322266E0
1.592229660E2,3.719413757E0,-5.732028198E1,-3.710327148E-1
1.597205260E2,1.087342834E1,-6.848144531E1,-5.851379395E0
1.602180870E2,2.698917580E1,-5.905346680E1,-3.739746094E0
1.607156479E2,3.000834274E1,-6.028952026E1,-1.077575684E0
1.612132079E2,2.849691963E1,-6.000701904E1,-5.825805664E-1
1.617107674E2,2.856638718E1,-5.676351929E1,2.340454102E0
1.622083284E2,2.943490601E1,-6.008679199E1,-1.267883301E0
1.627058882E2,3.193518066E1,-6.301571655E1,-1.656372070E0
1.632034482E2,3.081164169E1,-6.429193115E1,-4.264343262E0
1.637010086E2,3.345394897E1,-6.401385498E1,-4.759582520E0
