"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.510286741E2,-1.015753269E0,-5.371887088E-1,8.779864311E0
8.515286741E2,-1.926222295E-1,-4.528416991E-1,1.026999474E1
8.520286741E2,-2.440679073E-1,-7.447660565E-1,8.952746391E0
8.525286741E2,2.650051117E-1,-6.047859192E-1,9.613164902E0
8.530286741E2,-1.830509305E-1,-3.810569942E-1,8.397012711E0
8.535286741E2,7.668996453E-1,-2.117647976E-1,1.038784122E1
8.540286741E2,8.291130662E-1,-8.913264275E-1,1.016291618E1
8.545286741E2,1.084546804E0,-5.742774606E-1,1.104168034E1
8.550286741E2,-3.284149170E-1,-7.549355626E-1,7.733603001E0
8.555286741E2,-3.708875179E-2,-7.848458290E-1,1.004686451E1
8.560286741E2,3.014956415E-1,-1.482353687E0,9.546165466E0
8.565286741E2,-9.176474810E-1,-1.485344648E0,8.477172852E0
8.570286741E2,-1.782652885E-1,-1.569691658E0,1.008514881E1
8.575286741E2,1.623530149E0,-1.374676585E0,1.222852039E1
8.580286741E2,5.084748268E-1,-1.412961721E0,1.027836990E1
8.585286741E2,5.216353536E-1,-1.161117196E0,1.005763149E1
8.590286741E2,6.580262631E-2,-1.204786181E0,1.014556789E1
8.595286741E2,-1.507478237E0,-2.035095692E0,8.650651932E0
8.600286741E2,-7.657032609E-1,-2.528615236E0,1.062054348E1
8.605286741E2,-2.500499785E-1,-1.949552298E0,1.053499985E1
8.610286741E2,-1.359123230E0,-2.446661234E0,1.030708313E1
8.615286741E2,-1.167697430E0,-1.932204247E0,9.287740707E0
8.620286741E2,-6.203392744E-1,-2.304886341E0,8.435297966E0
8.625286741E2,-8.123632669E-1,-2.190629244E0,9.891928673E0
8.630286741E2,-5.473581553E-1,-2.525026083E0,9.754940033E0
8.635286741E2,-1.322034478E0,-3.056232691E0,8.448458672E0
8.640286741E2,-7.609176040E-1,-2.935395241E0,1.003071213E1
8.645286741E2,-1.154536963E0,-2.806182861E0,8.510671616E0
8.650286741E2,-4.181457460E-1,-1.936391711E0,9.805787086E0
8.655286741E2,-5.778666735E-1,-3.101098061E0,8.984451294E0
8.660286741E2,-4.133601189E-1,-3.011965513E0,1.009771156E1
8.665286741E2,-4.259224236E-1,-2.553740025E0,1.019043350E1
8.670286741E2,-7.190431952E-1,-2.167897224E0,9.360722542E0
8.675286741E2,-2.787638307E-1,-2.021337032E0,1.022393322E1
8.680286741E2,-4.899304509E-1,-1.676172256E0,9.607781410E0
8.685286741E2,-3.176472187E-1,-1.640279889E0,9.716055870E0
8.690286741E2,-4.546363056E-1,-1.887338877E0,9.271589279E0
8.695286741E2,-1.292124242E-1,-1.910668850E0,9.744770050E0
8.700286741E2,-3.409772217E-1,-2.089532375E0,9.826126099E0
8.705286741E2,-4.911268353E-1,-2.059622049E0,9.381061554E0
8.710286741E2,-4.833501875E-1,-1.560120344E0,9.467801094E0
8.715286741E2,-4.689932466E-1,-6.951149702E-1,9.912267685E0
8.720286741E2,-4.295116663E-1,-1.008574724E0,9.888937950E0
8.725286741E2,-4.498506486E-1,-1.156929731E0,1.028435135E1
8.730286741E2,-2.452643216E-1,-1.232901812E0,1.005583763E1
8.735286741E2,-3.529413342E-1,-1.253839016E0,9.972088814E0
8.740286741E2,-3.110669553E-1,-1.231705427E0,1.000319481E1
8.745286741E2,-5.180460811E-1,-1.143769264E0,1.017308521E1
8.750286741E2,-4.223332107E-1,-1.074975610E0,1.003729248E1
8.755286741E2,-3.906283081E-1,-1.322034478E0,1.002772141E1
8.760286741E2,-4.372883439E-1,-7.639086246E-1,1.009771156E1
8.765286741E2,-4.085744619E-1,5.252245665E-1,9.501300812E0
8.770286741E2,-8.548358679E-1,2.392822653E-1,9.559925079E0
8.775286741E2,-2.955136001E-1,8.973085135E-2,1.022094154E1
8.780286741E2,-2.602194548E-1,-8.434699476E-2,1.001815033E1
8.785286741E2,-7.334001660E-1,9.391828626E-2,9.718449593E0
8.790286741E2,-3.559323549E-1,1.657029688E-1,9.771091461E0
8.795286741E2,-4.462614357E-1,4.307080805E-2,9.119645119E0
8.800286741E2,-7.477571070E-2,1.136590727E-2,1.134855938E1
8.805286741E2,2.021935135E-1,6.735795736E-1,1.074197865E1
8.810286741E2,-6.592226624E-1,-3.385843933E-1,1.008933640E1
8.815286741E2,-6.711867452E-1,1.447657645E-1,9.591629982E0
8.820286741E2,-4.336991012E-1,-1.435693540E-2,1.075693417E1
8.825286741E2,-8.338986635E-1,-9.092725813E-2,1.025563812E1
8.830286741E2,1.022931710E-1,-9.690931439E-2,1.027777100E1
8.835286741E2,-5.922235921E-2,4.965107143E-2,1.040698433E1
8.840286741E2,-5.144568533E-2,-2.691925503E-2,1.005823040E1
8.845286741E2,-1.683350682E0,-2.620140910E-1,6.007181168E0
8.850286741E2,-1.674975902E-1,-9.152546525E-1,8.969495773E0
8.855286741E2,-1.548754454E0,-7.776673883E-2,8.729017258E0
8.860286741E2,-9.074779749E-1,-9.092725813E-2,7.462017536E0
8.865286741E2,-4.175475538E-1,-3.218346536E-1,8.534002304E0
8.870286741E2,-9.122636318E-1,-5.694918036E-1,1.161476135E1
8.875286741E2,-5.946164131E-1,-6.011967063E-1,1.023470020E1
8.880286741E2,-1.134197950E0,-5.054838061E-1,8.755936623E0
8.885286741E2,-5.443671346E-1,-6.795616150E-1,1.064207840E1
8.890286741E2,-5.419743061E-1,-6.089733839E-1,1.058704376E1
8.895286741E2,1.304088384E-1,-4.725824594E-1,1.072283649E1
