"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.827755355E2,-2.495625114E1,2.463750076E1,-1.666875076E1
1.832755355E2,-2.071875000E1,2.510625076E1,-1.642500114E1
1.837755355E2,-1.880625153E1,2.514375114E1,-1.650000000E1
1.842755355E2,-1.586250019E1,2.758125114E1,-1.753125000E1
1.847755355E2,-1.520625019E1,3.024375153E1,-1.933125114E1
1.852755355E2,-1.396875095E1,3.444375229E1,-2.135625076E1
1.857755355E2,-1.453125095E1,3.759375000E1,-2.364375114E1
1.862755355E2,-1.456875038E1,4.100625229E1,-2.506875038E1
1.867755355E2,-1.606875038E1,4.316250229E1,-2.653125191E1
1.872755355E2,-1.749375153E1,4.509375000E1,-2.690625191E1
1.877755355E2,-1.876875114E1,4.642500305E1,-2.724375153E1
1.882755355E2,-2.058750153E1,4.719375229E1,-2.632500076E1
1.887755355E2,-2.092500114E1,4.734375000E1,-2.529375076E1
1.892755355E2,-2.323125076E1,4.659375000E1,-2.383125114E1
1.897755355E2,-2.325000000E1,4.657500076E1,-2.210625076E1
1.902755355E2,-2.611875153E1,4.516875076E1,-2.081250000E1
1.907755355E2,-2.581875038E1,4.558125305E1,-1.965000153E1
1.912755355E2,-2.805000114E1,4.406250000E1,-1.950000000E1
1.917755355E2,-2.829375076E1,4.333125305E1,-1.876875114E1
1.922755355E2,-2.878125191E1,4.128750229E1,-1.861875153E1
1.927755355E2,-2.836875153E1,3.997500229E1,-1.803750038E1
1.932755355E2,-2.733750153E1,3.888750076E1,-1.816875076E1
1.937755355E2,-2.664375114E1,3.755625153E1,-1.805625153E1
1.942755355E2,-2.360625076E1,3.735000229E1,-1.786875153E1
1.947755355E2,-2.278125000E1,3.616875076E1,-1.747500038E1
1.952755355E2,-1.985625076E1,3.671250153E1,-1.670625114E1
1.957755355E2,-1.936875153E1,3.553125000E1,-1.655625153E1
1.962755355E2,-1.816875076E1,3.547500229E1,-1.620000076E1
1.967755355E2,-1.798125076E1,3.506250000E1,-1.571250057E1
1.972755355E2,-1.801875114E1,3.391875076E1,-1.466250038E1
1.977755355E2,-1.865625000E1,3.189375114E1,-1.357500076E1
1.982755355E2,-1.860000038E1,3.039375114E1,-1.276875019E1
1.987755355E2,-1.828125000E1,2.945625114E1,-1.128750038E1
1.992755355E2,-1.798125076E1,2.898750114E1,-1.029375076E1
1.997755355E2,-1.683750153E1,3.020625114E1,-1.035000038E1
2.002755355E2,-1.668750000E1,3.196875191E1,-1.141875076E1
2.007755355E2,-1.620000076E1,3.367500305E1,-1.359375095E1
2.012755355E2,-1.680000114E1,3.592500305E1,-1.651875114E1
2.017755355E2,-1.610625076E1,3.915000153E1,-1.951875114E1
2.022755355E2,-1.820625114E1,4.100625229E1,-2.280000114E1
2.027755355E2,-1.867500114E1,4.312500000E1,-2.664375114E1
2.032755355E2,-2.064375114E1,4.410000229E1,-2.986875153E1
2.037755355E2,-2.146875000E1,4.552500153E1,-3.157500076E1
2.042755355E2,-2.308125114E1,4.719375229E1,-3.243750000E1
2.047755355E2,-2.602500153E1,4.813125229E1,-3.262500000E1
2.052755355E2,-2.763750076E1,4.798125076E1,-3.343125153E1
2.057755355E2,-3.048750114E1,4.629375076E1,-3.399375153E1
2.062755355E2,-2.964375114E1,4.563750076E1,-3.406875229E1
2.067755355E2,-3.123750114E1,4.355625153E1,-3.354375076E1
2.072755355E2,-3.082500076E1,4.203750229E1,-3.324375153E1
2.077755355E2,-3.155625153E1,3.999375153E1,-3.523125076E1
2.082755355E2,-3.073125076E1,3.817500305E1,-3.350625229E1
2.087755355E2,-3.024375153E1,3.616875076E1,-3.320625305E1
2.092755355E2,-2.769375038E1,3.669375229E1,-3.168750191E1
2.097755355E2,-2.651250076E1,3.834375000E1,-3.022500038E1
