"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.178936768E1,-1.591875076E1,3.277500153E1,3.656250238E0
7.228936768E1,-1.676250076E1,3.138750076E1,4.256250381E0
7.278936768E1,-1.670625114E1,3.135000038E1,4.575000286E0
7.328936768E1,-1.620000076E1,3.106875038E1,3.862500191E0
7.378936768E1,-1.554375076E1,3.058125114E1,2.681250095E0
7.428936768E1,-1.494375038E1,3.037500191E1,1.031250000E0
7.478936768E1,-1.430625057E1,2.996250153E1,-1.237500072E0
7.528936768E1,-1.329375076E1,2.938125038E1,-4.218750000E0
7.578936768E1,-1.245000076E1,2.915625191E1,-6.168750286E0
7.628936768E1,-1.132500076E1,2.878125191E1,-7.368750095E0
7.678936768E1,-9.281250000E0,2.971875191E1,-8.906250000E0
7.728936768E1,-7.706250191E0,3.073125076E1,-1.153125000E1
7.778936768E1,-6.825000286E0,3.082500076E1,-1.310625076E1
7.828936768E1,-6.243750095E0,3.065625191E1,-1.419375038E1
7.878936768E1,-7.293750286E0,3.210000229E1,-1.385625076E1
7.928936768E1,-8.943750381E0,3.414375305E1,-1.323750019E1
7.978936768E1,-1.113750076E1,3.603750229E1,-1.366875076E1
8.028936768E1,-1.366875076E1,3.793125153E1,-1.509375095E1
8.078936768E1,-1.706250000E1,3.866250229E1,-1.533750057E1
8.128936768E1,-2.025000000E1,3.961875153E1,-1.361250019E1
8.178936768E1,-2.291250038E1,4.130625153E1,-1.333125019E1
8.228936768E1,-2.540625191E1,4.297500229E1,-1.273125076E1
8.278936768E1,-2.698125076E1,4.338750076E1,-1.410000038E1
8.328936768E1,-2.891250038E1,4.393125153E1,-1.464375019E1
8.378936768E1,-3.065625191E1,4.483125305E1,-1.419375038E1
8.428936768E1,-3.241875076E1,4.597500229E1,-1.290000057E1
8.478936768E1,-3.399375153E1,4.685625076E1,-1.243125057E1
8.528936768E1,-3.697500229E1,4.798125076E1,-1.216875076E1
8.578936768E1,-4.055625153E1,4.950000381E1,-1.252500057E1
8.628936768E1,-4.507500076E1,5.148750305E1,-1.211250019E1
8.678936768E1,-5.008125305E1,5.441250229E1,-1.113750076E1
8.728936768E1,-5.403750229E1,5.750625229E1,-1.156875038E1
8.756936768E1,-5.645625305E1,5.791875076E1,-1.453125095E1
8.762936768E1,-5.803125381E1,5.876250076E1,-1.680000114E1
8.812936768E1,-5.300625229E1,4.466250229E1,-2.062500000E1
8.862936768E1,-4.989375305E1,3.260625076E1,-2.364375114E1
8.912936768E1,-4.329375076E1,2.600625038E1,-2.799375153E1
8.962936768E1,-5.503125381E1,4.719375229E1,-5.006250381E0
9.012936768E1,-7.756875610E1,7.850625610E1,-9.000000000E0
9.062936768E1,-9.123750305E1,7.321875000E1,2.456250191E0
9.112936768E1,-8.521875000E1,7.271250153E1,3.750000238E0
9.162936768E1,-1.471875095E1,9.136875153E1,9.731250763E0
9.212936768E1,1.207500076E1,9.268125153E1,1.106250048E0
9.262936768E1,1.653750038E1,9.071250153E1,1.125000000E0
9.312936768E1,1.852500153E1,1.047375031E2,5.081250191E0
9.362936768E1,1.239375019E1,1.081125031E2,7.500000477E0
9.412936768E1,1.260000038E1,1.149187546E2,9.112500191E0
9.462936768E1,1.179375076E1,1.062750015E2,4.181250095E0
9.512936768E1,1.725000000E1,1.055625076E2,-1.968750119E0
9.562936768E1,1.001250076E1,1.103062515E2,9.225000381E0
9.612936768E1,1.203750038E1,1.046437531E2,2.306250095E0
9.662936768E1,8.606250763E0,9.112500000E1,-3.356250048E0
9.712936768E1,6.112500191E0,8.259375000E1,1.792500114E1
9.762936768E1,9.618750572E0,7.074375153E1,9.806250572E0
9.812936768E1,2.728125191E1,5.878125381E1,-5.981250286E0
9.862936768E1,3.723750305E1,5.578125381E1,-1.591875076E1
9.912936768E1,2.962500095E0,6.061875153E1,-1.331250072E0
9.962936768E1,-6.930000305E1,1.018500061E2,-1.125000045E-1
1.001293677E2,-1.139250031E2,1.003687515E2,5.156250000E0
1.006293677E2,-1.182937546E2,9.225000000E1,-1.612500072E0
1.011293677E2,-1.200562515E2,8.791875458E1,5.437500000E0
1.016293677E2,-1.122750015E2,7.728750610E1,-1.912500024E0
1.021293677E2,-8.347500610E1,4.500000000E1,-2.062500000E0
1.026293677E2,-6.673125458E1,3.234375000E1,2.756250143E0
1.031293677E2,-5.628750229E1,3.358125305E1,9.937500358E-1
1.036293677E2,-4.908750153E1,3.071250153E1,-1.293750048E0
1.041293677E2,-4.228125000E1,3.078750038E1,-2.418750048E0
1.046293677E2,-3.776250076E1,2.962500191E1,2.362500191E0
1.051293677E2,-3.483750153E1,3.301875305E1,5.868750095E0
1.056293677E2,-3.146250153E1,3.637500000E1,6.131250381E0
1.061293677E2,-2.270625114E1,4.297500229E1,1.211250019E1
1.066293677E2,-1.546875095E1,4.828125381E1,1.070625019E1
1.071293677E2,-4.481250286E0,5.086875153E1,3.075000048E0
1.076293677E2,2.943750143E0,4.753125000E1,-5.775000095E0
1.081293677E2,5.925000191E0,4.563750076E1,-3.356250048E0
1.086293677E2,6.600000381E0,4.492500305E1,1.162500024E0
1.091293677E2,1.102500057E1,4.749375153E1,5.512500286E0
1.096293677E2,1.230000019E1,4.605000305E1,1.387500095E1
1.101293677E2,1.946250153E1,5.570625305E1,1.464375019E1
1.106293677E2,2.531250191E1,6.133125305E1,8.043750763E0
1.111293677E2,2.866875076E1,6.226875305E1,6.150000095E0
1.116293677E2,2.923125076E1,6.112500381E1,9.731250763E0
1.121293677E2,2.518125153E1,5.491875076E1,1.083750057E1
1.126293677E2,1.792500114E1,5.071875381E1,1.201875019E1
1.131293677E2,1.389375019E1,4.861875153E1,1.207500076E1
1.136293677E2,1.237500095E1,4.710000229E1,1.271250057E1
1.141293677E2,1.295625019E1,4.471875000E1,1.048125076E1
1.146293677E2,1.638750076E1,4.616250229E1,1.599375057E1
1.151293677E2,2.006250000E1,4.914375305E1,2.075625038E1
1.156293677E2,2.675625038E1,5.236875153E1,2.002500153E1
1.161293677E2,3.210000229E1,5.413125229E1,2.145000076E1
1.166293677E2,3.918750000E1,5.439375305E1,2.416875076E1
1.171293677E2,4.488750076E1,5.456250381E1,2.596875191E1
1.176293677E2,4.753125000E1,5.580000305E1,2.465625191E1
1.181293677E2,4.295625305E1,6.101250076E1,1.816875076E1
1.186293677E2,4.284375000E1,6.178125381E1,1.445625019E1
1.191293677E2,4.586250305E1,6.090000153E1,1.606875038E1
1.196293677E2,4.987500381E1,6.337500381E1,1.331250095E1
1.201293677E2,4.882500076E1,6.118125153E1,1.554375076E1
1.206293677E2,4.779375076E1,6.309375381E1,1.708125114E1
1.211293677E2,4.755000305E1,6.384375381E1,1.946250153E1
1.216293677E2,5.131875229E1,6.421875000E1,1.929375076E1
1.221293677E2,5.394375229E1,6.474375153E1,1.940625000E1
1.226293677E2,5.293125153E1,6.350625229E1,2.158125114E1
1.231293677E2,5.118750381E1,6.271875381E1,2.199375153E1
1.236293677E2,4.743750000E1,6.260625076E1,2.238750076E1
1.241293677E2,4.683750153E1,6.161250305E1,1.882500076E1
1.246293677E2,4.511250305E1,6.157500076E1,1.950000000E1
1.251293677E2,3.744375229E1,5.859375381E1,2.034375000E1
1.256293677E2,2.865000153E1,5.735625076E1,2.008125114E1
1.261293677E2,2.538750076E1,5.640000153E1,1.582500076E1
1.266293677E2,2.120625114E1,5.619375229E1,1.717500114E1
