"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.951980293E1,5.232439496E1,4.868983018E0,7.039514678E-1,1.247105877E1,1.782221818E2,4.744148667E0,3.364162669E0
9.051980186E1,5.232427533E1,4.868989880E0,6.965519218E-1,1.311715411E1,1.782085330E2,4.744502132E0,3.363664156E0
9.151980186E1,5.232414859E1,4.868996396E0,4.938520649E-1,1.386169353E1,1.782950449E2,4.744704007E0,3.363379390E0
9.251980162E1,5.232401989E1,4.869004151E0,3.051764881E-1,1.414006534E1,1.783422613E2,4.745071405E0,3.362861043E0
9.351980031E1,5.232389211E1,4.869011493E0,2.322124448E-1,1.414948579E1,1.783225631E2,4.744852667E0,3.363169666E0
9.451980007E1,5.232376748E1,4.869018962E0,3.834820930E-1,1.393759945E1,1.781033272E2,4.745358807E0,3.362455476E0
9.551979828E1,5.232364036E1,4.869023749E0,3.686465146E-1,1.399264921E1,1.784596244E2,4.745367075E0,3.362443807E0
9.651970530E1,5.232351339E1,4.869033183E0,3.326049894E-1,1.403604279E1,1.779253386E2,4.745164995E0,3.362728981E0
9.751970494E1,5.232339286E1,4.869040461E0,4.824199136E-1,1.360049341E1,1.780176701E2,4.745664924E0,3.362023418E0
9.851970685E1,5.232326927E1,4.869043364E0,4.681768883E-1,1.352560433E1,1.788350527E2,4.746009033E0,3.361537638E0
9.951970601E1,5.232314973E1,4.869050907E0,8.947847541E-1,1.332790720E1,1.784239993E2,4.747116373E0,3.359973686E0
1.005197071E2,5.232302528E1,4.869058359E0,9.019785179E-1,1.344486445E1,1.780267996E2,4.748136607E0,3.358531791E0
1.015197091E2,5.232291297E1,4.869053305E0,1.280815345E0,1.289440765E1,1.800275584E2,4.747210606E0,3.359840546E0
1.025197107E2,5.232281044E1,4.869050269E0,1.061292564E0,1.190462058E1,1.808458610E2,4.744131783E0,3.364186477E0
1.035197150E2,5.232270778E1,4.869046557E0,1.058325768E0,1.137274106E1,1.813712524E2,4.742223657E0,3.366875676E0
1.045197214E2,5.232260234E1,4.869045990E0,1.065759567E0,1.138186539E1,1.805578252E2,4.742826112E0,3.366026962E0
1.055197234E2,5.232250586E1,4.869044559E0,1.112862517E0,1.080537848E1,1.800921255E2,4.742690233E0,3.366218410E0
1.065197281E2,5.232241414E1,4.869047121E0,1.705588730E0,1.021540709E1,1.797315565E2,4.742182399E0,3.366933787E0
1.075197351E2,5.232233202E1,4.869050539E0,1.664348512E0,9.311468451E0,1.787355736E2,4.741961316E0,3.367245151E0
1.085197347E2,5.232225596E1,4.869054245E0,1.869781888E0,8.450000372E0,1.782868222E2,4.741733178E0,3.367566406E0
1.095197393E2,5.232218925E1,4.869056573E0,2.124623524E0,7.505444878E0,1.786946532E2,4.741627883E0,3.367714663E0
1.105197414E2,5.232213202E1,4.869061454E0,2.228582500E0,6.498522191E0,1.780119292E2,4.741547029E0,3.367828499E0
1.115197490E2,5.232208521E1,4.869063802E0,2.380716885E0,5.397397130E0,1.782153148E2,4.741451750E0,3.367962638E0
1.125197531E2,5.232205033E1,4.869065343E0,2.322950167E0,4.176232883E0,1.782568581E2,4.741530060E0,3.367852390E0
1.135197597E2,5.232202648E1,4.869066562E0,2.617363324E0,2.921680767E0,1.782720988E2,4.741509596E0,3.367881201E0
1.145197647E2,5.232201536E1,4.869067526E0,2.531073597E0,1.675409187E0,1.781888419E2,4.741893689E0,3.367340386E0
1.155197694E2,5.232201932E1,4.869067926E0,2.697758454E0,2.094747460E-1,1.772867628E2,4.741585289E0,3.367774633E0
1.165197748E2,5.232201956E1,4.869068644E0,2.569561915E0,1.278161616E-1,1.772867634E2,4.741989770E0,3.367205081E0
1.175197790E2,5.232202066E1,4.869067873E0,2.444523798E0,2.977012858E-2,1.772867627E2,4.742211447E0,3.366892873E0
1.185197822E2,5.232202027E1,4.869068295E0,2.505449473E0,1.438109432E-2,1.772867631E2,4.742355677E0,3.366689720E0
1.195197860E2,5.232201961E1,4.869067941E0,2.261795647E0,3.759953167E-2,1.772867628E2,4.742747652E0,3.366137511E0
1.205197901E2,5.232201930E1,4.869068396E0,2.128179274E0,3.180918100E-2,1.772867632E2,4.743117411E0,3.365616476E0
1.215197932E2,5.232201986E1,4.869068496E0,2.000201841E0,1.132440096E-2,1.772867633E2,4.743394229E0,3.365226325E0
1.225197994E2,5.232201963E1,4.869068718E0,1.883172564E0,1.673180667E-2,1.772867635E2,4.743599945E0,3.364936344E0
1.235197996E2,5.232201983E1,4.869068758E0,1.827635196E0,6.789481721E-3,1.772867635E2,4.743778496E0,3.364684623E0
1.245198029E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.743960623E0,3.364427832E0
1.255198047E2,5.232201992E1,4.869068770E0,1.850563571E0,0.000000000E0,1.772867636E2,4.744121877E0,3.364200447E0
