"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.031038504E1,-4.444322968E1,2.448968506E1,-1.295721436E1
4.080793904E1,-4.955775452E1,2.666436768E1,-1.288360596E1
4.130549204E1,-4.773059845E1,2.554495239E1,-1.474853516E1
4.180304529E1,-4.836130142E1,2.717083740E1,-1.002203369E1
4.230059829E1,-4.021262360E1,2.294421387E1,-1.594488525E1
4.279815054E1,-4.203081894E1,1.671841431E1,-1.368359375E1
4.329570354E1,-2.588805199E1,2.576910400E1,-1.469067383E1
4.379325567E1,-1.909046364E1,2.694168091E1,-1.544970703E1
4.429080867E1,-1.957832909E1,2.712646484E1,-1.509320068E1
4.478836017E1,-1.953145599E1,2.732522583E1,-1.535839844E1
4.528591217E1,-1.932300758E1,2.766024780E1,-1.509179688E1
4.578346429E1,-1.913396835E1,2.752389526E1,-1.504260254E1
4.628101629E1,-1.986438370E1,2.740975952E1,-1.479095459E1
4.677856896E1,-1.986203957E1,2.713610840E1,-1.493182373E1
4.727612096E1,-2.002649498E1,2.747540283E1,-1.520208740E1
4.777367242E1,-2.093083954E1,2.807888794E1,-1.501776123E1
4.827122442E1,-2.247973824E1,2.842456055E1,-1.450085449E1
4.876877617E1,-2.387316322E1,2.830368042E1,-1.376531982E1
4.926632817E1,-2.437005806E1,2.832443237E1,-1.359710693E1
4.976387933E1,-2.608339691E1,2.871719360E1,-1.352996826E1
5.026143133E1,-2.642334366E1,2.873727417E1,-1.304663086E1
5.075898271E1,-2.566675568E1,2.841571045E1,-1.343774414E1
5.125653471E1,-2.453052330E1,2.820312500E1,-1.369573975E1
5.175408542E1,-2.531155777E1,2.783407593E1,-1.272760010E1
5.225163642E1,-2.547635651E1,2.737222290E1,-1.298138428E1
5.274918717E1,-2.481023216E1,2.705371094E1,-1.302947998E1
5.324673817E1,-2.513793373E1,2.732186890E1,-1.302178955E1
5.374428904E1,-2.512534332E1,2.703109741E1,-1.321582031E1
5.424184004E1,-2.503697968E1,2.707644653E1,-1.326361084E1
5.473938983E1,-2.488719940E1,2.697412109E1,-1.315673828E1
5.523693983E1,-2.429947853E1,2.701208496E1,-1.340728760E1
5.573448979E1,-2.062167168E1,2.677752686E1,-1.528295898E1
5.623203979E1,-1.616627502E1,2.575802612E1,-1.537463379E1
5.672959029E1,-1.187310410E1,2.506442261E1,-1.589538574E1
5.722713929E1,-1.004564953E1,2.453201294E1,-1.550799561E1
5.772468958E1,-1.061140251E1,2.449319458E1,-1.529931641E1
5.822223858E1,-1.112840271E1,2.452267456E1,-1.467089844E1
5.871978721E1,-1.032811451E1,2.423028564E1,-1.520874023E1
5.921733621E1,-4.725334167E0,2.335128784E1,-1.669744873E1
5.971488517E1,-4.118211746E0,2.346832275E1,-1.718090820E1
6.021243417E1,-5.256689072E0,2.375177002E1,-1.753808594E1
6.070998321E1,-5.570003510E0,2.387005615E1,-1.718664551E1
6.120753221E1,-6.727422714E0,2.386889648E1,-1.701116943E1
6.170508146E1,-8.062505722E0,2.392111206E1,-1.675927734E1
6.220262946E1,-1.402958012E1,2.482858276E1,-1.519110107E1
6.270017817E1,-1.916055298E1,2.515380859E1,-1.390222168E1
6.319772717E1,-1.884622955E1,2.526242065E1,-1.421185303E1
6.369527529E1,-1.891986465E1,2.503524780E1,-1.423822021E1
6.419282329E1,-1.877023315E1,2.502569580E1,-1.453747559E1
6.469037129E1,-1.907729149E1,2.510284424E1,-1.474078369E1
6.518791929E1,-1.973103523E1,2.527505493E1,-1.422625732E1
6.568546717E1,-1.951532364E1,2.493029785E1,-1.423474121E1
6.618301517E1,-1.968856239E1,2.506707764E1,-1.393426514E1
6.668056308E1,-2.074662781E1,2.555276489E1,-1.402697754E1
6.717811108E1,-2.408776855E1,2.670358276E1,-1.274237061E1
6.767565754E1,-2.905173874E1,2.619177246E1,-8.581909180E0
6.817320454E1,-3.160035324E1,2.624023438E1,-8.189636230E0
6.867075142E1,-3.154952240E1,2.630603027E1,-8.020690918E0
6.916829942E1,-3.032290077E1,2.586270142E1,-8.417114258E0
6.966584658E1,-2.952266693E1,2.541247559E1,-7.708801270E0
7.016339358E1,-2.816533279E1,2.522967529E1,-8.418945312E0
7.066093992E1,-2.650050354E1,2.477392578E1,-9.205505371E0
7.115848692E1,-2.373712540E1,2.454864502E1,-7.940673828E0
7.165603433E1,-2.031985664E1,2.418414307E1,-9.394287109E0
7.215358033E1,-2.064414406E1,2.374288940E1,-8.599121094E0
7.265112771E1,-2.202452850E1,2.406195068E1,-9.046142578E0
7.314867371E1,-2.247639656E1,2.390750122E1,-8.479858398E0
7.364621967E1,-2.186509895E1,2.403347778E1,-8.863891602E0
7.414376567E1,-2.262013626E1,2.381967163E1,-7.699157715E0
7.464131121E1,-2.188760567E1,2.346542358E1,-8.645080566E0
7.513885621E1,-2.365792656E1,2.376684570E1,-7.061218262E0
7.563640208E1,-2.305981827E1,2.334164429E1,-8.048461914E0
7.613394708E1,-2.443390274E1,2.321096802E1,-7.289062500E0
7.663149271E1,-2.556215477E1,2.295462036E1,-6.887695312E0
7.712903771E1,-2.497583771E1,2.171746826E1,-6.985168457E0
7.762658271E1,-1.563116550E1,2.328778076E1,-2.194152832E0
7.812412671E1,-1.038751984E1,2.294570923E1,-8.459289551E0
7.862167042E1,-6.044795990E0,2.362777710E1,-1.127386475E1
7.911921442E1,-2.475967407E0,2.316799927E1,-1.302526855E1
7.961675792E1,1.993997574E0,2.455087280E1,-1.451422119E1
8.011430192E1,3.438184738E0,2.602539062E1,-1.638250732E1
8.061184667E1,6.000759125E0,2.561230469E1,-1.996887207E1
8.110938967E1,1.021393394E1,2.494924927E1,-2.107330322E1
8.160693271E1,1.480300522E1,2.638357544E1,-2.324774170E1
8.210447571E1,1.834662819E1,2.476364136E1,-2.693505859E1
8.260201792E1,2.138268661E1,2.357644653E1,-2.892108154E1
8.309956092E1,2.622324371E1,2.593847656E1,-2.893231201E1
8.359710408E1,2.925967026E1,2.522369385E1,-3.255352783E1
8.409464608E1,2.983695412E1,3.114465332E1,-2.978784180E1
8.459218908E1,-2.019826889E0,3.609594727E1,-2.966571045E1
8.508973108E1,-1.428308105E1,4.655938721E1,-3.402270508E1
8.558727317E1,-1.575013733E1,4.472680664E1,-4.356414795E1
8.608481517E1,-1.145646954E1,4.463354492E1,-4.202246094E1
8.658235679E1,-2.458245850E1,4.703231812E1,-4.429321289E1
8.707989879E1,-2.280224228E1,4.125616455E1,-5.482135010E1
8.757743954E1,-2.483204842E1,4.521697998E1,-4.925714111E1
8.807498154E1,-1.730908203E1,4.662710571E1,-5.067877197E1
8.857252192E1,-2.014087486E1,4.504571533E1,-4.377178955E1
8.907006292E1,-1.170877552E1,4.388623047E1,-4.380786133E1
8.956760454E1,-1.031994057E1,3.999948120E1,-4.072003174E1
9.006514654E1,-2.842359543E0,4.260467529E1,-4.111389160E1
9.056268683E1,-3.598302841E0,3.784750366E1,-4.795111084E1
9.106022683E1,-3.892864227E0,3.713021851E1,-4.541088867E1
9.155776842E1,-4.047705078E1,4.500537109E1,-4.680438232E1
9.205530942E1,-4.816178131E1,4.297875977E1,-4.002258301E1
9.255285054E1,-4.663475800E1,4.750808716E1,-3.603662109E1
9.305039154E1,-4.417072296E1,4.746508789E1,-4.115423584E1
9.354793079E1,-4.846081924E1,4.621212769E1,-3.680926514E1
9.404547179E1,-4.624793243E1,5.255841064E1,-3.691741943E1
9.454301329E1,-4.548479462E1,5.217498779E1,-3.885388184E1
9.504055329E1,-5.200486755E1,4.644308472E1,-4.284765625E1
9.553809417E1,-5.343578339E1,4.862374878E1,-3.538854980E1
9.603563417E1,-5.508966446E1,4.843322754E1,-3.135821533E1
9.653317533E1,-5.748441315E1,5.535543823E1,-3.448199463E1
9.703071533E1,-5.526872253E1,5.667279053E1,-4.429199219E1
9.752825658E1,-5.249829102E1,5.544924927E1,-4.548937988E1
9.802579758E1,-5.692943573E1,5.107678223E1,-4.089648438E1
9.852333942E1,-4.976929474E1,4.969152832E1,-2.969622803E1
9.902088142E1,-5.137466431E1,3.181643677E1,-3.592449951E1
9.951842354E1,-4.792621613E1,2.270471191E1,-2.870135498E1
1.000159655E2,-4.342869568E1,1.982492065E1,-1.964599609E1
1.005135071E2,-4.225145340E1,1.611517334E1,-2.061334229E1
1.010110501E2,-4.168251801E1,1.860757446E1,-2.188958740E1
1.015085929E2,-3.932247543E1,1.604165649E1,-2.176953125E1
1.020061359E2,-3.258975220E1,1.264312744E1,-2.623590088E1
1.025036804E2,-2.890303230E1,1.431390381E1,-1.309265137E1
1.030012244E2,-3.018707466E1,5.418853760E0,-1.437554932E1
1.034987670E2,-2.875703430E1,2.887084961E0,1.036499023E0
1.039963110E2,-3.465476990E1,1.355154419E1,4.042846680E0
1.044938565E2,-3.507607651E1,1.218420410E1,1.104553223E0
1.049914005E2,-3.722223663E1,1.196255493E1,3.378662109E0
1.054889441E2,-2.859280396E1,1.182214355E1,1.307678223E0
1.059864881E2,-2.643293953E1,1.425491333E1,-3.515747070E0
1.064840334E2,-2.805924988E1,1.481222534E1,-4.392150879E0
1.069815774E2,-2.977218628E1,1.317391968E1,-1.863891602E0
1.074791227E2,-3.307332611E1,7.586059570E0,-4.268737793E0
1.079766677E2,-1.923709679E1,1.779162598E1,9.954345703E0
1.084742112E2,-1.933930779E1,2.199444580E1,6.350585938E0
1.089717562E2,-2.323960114E1,1.929330444E1,2.049133301E0
1.094693007E2,-1.970943642E1,2.145986938E1,1.490661621E0
1.099668457E2,-2.460697174E1,2.271112061E1,-4.961425781E0
1.104643908E2,-2.737740326E1,2.057940674E1,-8.081970215E0
1.109619348E2,-1.838255310E1,2.335098267E1,-1.070239258E1
1.114594794E2,-1.644846535E1,2.541970825E1,-7.233032227E0
1.119570234E2,-1.476317215E1,2.409310913E1,-1.236364746E1
1.124545678E2,-1.459997368E1,2.368380737E1,-1.196838379E1
1.129521118E2,-1.396340942E1,2.203585815E1,-1.491375732E1
1.134496567E2,-1.407361603E1,2.290216064E1,-1.165759277E1
1.139472007E2,-1.616852951E1,2.020614624E1,-1.487786865E1
1.144447447E2,-2.486562538E1,2.592245483E1,-1.539575195E1
1.149422887E2,-2.810258865E1,2.298751831E1,-2.564483643E1
1.154398324E2,-3.453166962E1,1.937030029E1,-2.531823730E1
1.159373764E2,-3.513371277E1,1.910626221E1,-2.611926270E1
1.164349204E2,-3.496339035E1,1.898052979E1,-2.577465820E1
1.169324634E2,-3.783200073E1,1.926113892E1,-2.492517090E1
1.174300063E2,-3.945672607E1,1.890734863E1,-2.565966797E1
1.179275503E2,-3.927220535E1,1.897274780E1,-2.592663574E1
1.184250929E2,-3.902850723E1,1.907376099E1,-2.605499268E1
1.189226359E2,-3.994155502E1,1.914196777E1,-2.570153809E1
1.194201784E2,-3.966797256E1,1.932830811E1,-2.646289062E1
1.199177214E2,-3.877565002E1,1.914697266E1,-2.621038818E1
1.204152642E2,-3.719261932E1,1.892303467E1,-2.679754639E1
1.209128062E2,-3.644042206E1,1.900689697E1,-2.670190430E1
1.214103485E2,-3.658271408E1,1.899539185E1,-2.667871094E1
1.219078905E2,-3.689499664E1,1.916671753E1,-2.658929443E1
1.224054328E2,-3.649520493E1,1.912112427E1,-2.670208740E1
1.229029758E2,-3.714103317E1,1.900457764E1,-2.669323730E1
1.234005169E2,-4.008460617E1,1.914501953E1,-2.679400635E1
1.238980579E2,-4.109717560E1,1.932409668E1,-2.634613037E1
1.243955999E2,-4.213871384E1,1.947271729E1,-2.628021240E1
1.248931422E2,-4.273730087E1,1.947280884E1,-2.598303223E1
1.253906842E2,-4.332596970E1,1.971691895E1,-2.590594482E1
1.258882255E2,-4.312649155E1,1.961489868E1,-2.601147461E1
1.263857675E2,-4.218061066E1,1.957843018E1,-2.619805908E1
1.268833084E2,-4.140581131E1,1.955490112E1,-2.627960205E1
1.273808494E2,-4.029184341E1,1.929937744E1,-2.662091064E1
1.278783913E2,-3.880470276E1,1.905694580E1,-2.691998291E1
1.283759323E2,-3.853786469E1,1.910302734E1,-2.680615234E1
1.288734737E2,-4.025062561E1,1.901940918E1,-2.659722900E1
1.293710147E2,-4.301724243E1,1.949716187E1,-2.571447754E1
1.298685546E2,-6.196909332E1,2.127865601E1,-2.326623535E1
1.303660956E2,-6.655685425E1,2.072116089E1,-2.368969727E1
1.308636361E2,-6.702331543E1,2.087377930E1,-2.392785645E1
1.313611761E2,-6.717669678E1,2.087796021E1,-2.386773682E1
1.318587165E2,-6.743112183E1,2.101864624E1,-2.360864258E1
1.323562575E2,-6.710039520E1,2.081808472E1,-2.339019775E1
1.328537969E2,-6.732070160E1,2.085061646E1,-2.343743896E1
1.333513369E2,-6.753401947E1,2.097003174E1,-2.332067871E1
1.338488770E2,-6.697589111E1,2.091857910E1,-2.341424561E1
1.343464170E2,-6.688821411E1,2.087182617E1,-2.346862793E1
1.348439570E2,-6.394261932E1,2.053479004E1,-2.424621582E1
1.353414970E2,-6.594306946E1,2.081765747E1,-2.342242432E1
1.358390377E2,-6.557986450E1,2.071258545E1,-2.376885986E1
1.363365767E2,-5.659095764E1,1.912017822E1,-2.531634521E1
1.368341163E2,-5.585651398E1,1.850143433E1,-2.511114502E1
1.373316563E2,-5.219205475E1,1.839791870E1,-2.606445312E1
1.378291958E2,-5.019926453E1,1.839047241E1,-2.603881836E1
1.383267348E2,-5.298507309E1,1.883776855E1,-2.579254150E1
1.388242745E2,-4.934902191E1,1.818692017E1,-2.635687256E1
1.393218135E2,-4.566782761E1,1.726870728E1,-2.542016602E1
1.398193526E2,-4.576710510E1,1.737112427E1,-2.549145508E1
1.403168916E2,-4.661365509E1,1.741781616E1,-2.556402588E1
1.408144299E2,-5.165269852E1,1.831045532E1,-2.415679932E1
1.413119689E2,-6.116582489E1,1.888589478E1,-2.286004639E1
1.418095085E2,-6.350104523E1,1.878701782E1,-2.197576904E1
1.423070475E2,-6.361515808E1,1.886077881E1,-2.189465332E1
1.428045854E2,-6.187229156E1,1.816030884E1,-2.349707031E1
1.433021244E2,-6.299275589E1,1.994882202E1,-2.315216064E1
1.437996620E2,-6.809102631E1,1.625875854E1,-2.845574951E1
1.442972010E2,-6.850877380E1,1.594845581E1,-3.154876709E1
1.447947390E2,-6.587935638E1,1.664532471E1,-3.212762451E1
1.452922770E2,-6.032377625E1,1.679595947E1,-3.431359863E1
1.457898166E2,-5.216690445E1,1.628540039E1,-3.469323730E1
1.462873546E2,-4.064937592E1,1.404202271E1,-4.075347900E1
1.467848914E2,-3.397497559E1,1.527798462E1,-3.820227051E1
1.472824294E2,-3.132635880E1,1.709082031E1,-3.987670898E1
1.477799673E2,-2.401029015E1,1.687759399E1,-4.509631348E1
1.482775053E2,-2.214812851E1,1.282391357E1,-4.974035645E1
1.487750431E2,-1.889419746E1,1.236196899E1,-4.825262451E1
1.492725801E2,-1.641751862E1,1.002749634E1,-5.057031250E1
1.497701187E2,-1.153142548E1,8.109497070E0,-5.083166504E1
1.502676567E2,-8.525440216E0,1.254675293E1,-4.822204590E1
1.507651940E2,-2.669597626E0,1.168505859E1,-5.207739258E1
1.512627320E2,-1.544447708E1,2.374853516E1,-4.660949707E1
1.517602701E2,-4.257747650E1,2.627560425E1,-2.160467529E1
1.522578091E2,-3.966278076E1,2.224423218E1,-2.970086670E1
1.527553486E2,-3.410628128E1,1.801510620E1,-3.867956543E1
1.532528876E2,-2.797414780E1,1.179440308E1,-4.122882080E1
1.537504267E2,-2.629623413E1,1.442044067E1,-2.129180908E1
1.542479657E2,-1.861522293E1,1.071347046E1,-9.546203613E0
1.547455048E2,-1.230080414E1,1.199038696E1,-1.231762695E1
1.552430448E2,-1.220658112E1,8.060028076E0,-1.301556396E1
1.557405849E2,-1.511530304E1,8.177032471E0,-1.334552002E1
1.562381249E2,-1.223764801E1,1.153402710E1,-1.482305908E1
1.567356652E2,-1.565782547E1,1.206097412E1,-1.850689697E1
1.572332052E2,-1.159481812E1,1.282989502E1,-1.344195557E1
1.577307457E2,-4.679895020E1,-4.028167725E0,-2.817089844E1
1.582282867E2,-4.433398438E1,-4.777618408E0,-1.877569580E1
1.587258268E2,-5.208370590E1,5.451660156E-1,-1.813653564E1
