"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.501017742E1,5.234074717E1,4.871815840E0,1.965374514E1,1.080000019E1,8.859999847E1,1.001128864E1,3.269424677E0
6.600954503E1,5.234074879E1,4.871970290E0,2.039059137E1,1.047999954E1,8.650000000E1,9.988042831E0,3.199131250E0
6.700950878E1,5.234075358E1,4.872124850E0,2.023156810E1,1.023999977E1,8.550000000E1,9.967107773E0,3.171789408E0
6.801021357E1,5.234075808E1,4.872268270E0,2.029885640E1,9.949999809E0,8.569999695E1,9.993597984E0,3.189586639E0
6.900951263E1,5.234076056E1,4.872407080E0,2.034068755E1,9.670000076E0,8.500000000E1,9.991867065E0,3.155863047E0
7.000949195E1,5.234076338E1,4.872546780E0,2.017628189E1,9.319999695E0,8.730000305E1,9.994831085E0,3.152844429E0
7.101018888E1,5.234076694E1,4.872677880E0,2.013528543E1,8.909999847E0,8.669999695E1,9.989094734E0,3.104164124E0
7.200952825E1,5.234077206E1,4.872807990E0,2.022313582E1,8.539999962E0,8.519999695E1,9.942670822E0,2.942744970E0
7.300984096E1,5.234077769E1,4.872933910E0,1.995582094E1,8.109999657E0,8.509999847E1,9.935046196E0,2.812487125E0
7.401021388E1,5.234079210E1,4.873045490E0,1.962539986E1,7.690000057E0,8.609999847E1,9.935046196E0,2.653288126E0
7.500962341E1,5.234080148E1,4.873147780E0,1.887583794E1,7.289999962E0,8.569999695E1,9.935046196E0,2.548361301E0
7.601027737E1,5.234080559E1,4.873252290E0,1.863310582E1,6.860000134E0,8.659999847E1,9.935046196E0,2.548883915E0
7.700954445E1,5.234080876E1,4.873343210E0,1.828037922E1,6.429999828E0,8.840000153E1,9.935046196E0,2.500000000E0
7.800941086E1,5.234081380E1,4.873418950E0,1.823343269E1,5.800000191E0,9.000000000E1,9.935046196E0,2.500000000E0
7.901023945E1,5.234081829E1,4.873492360E0,1.821883267E1,5.179999828E0,8.769999695E1,9.935046196E0,2.567992210E0
8.000948080E1,5.234081948E1,4.873552800E0,1.851080017E1,4.599999905E0,8.730000305E1,9.935046196E0,2.589140177E0
8.100969638E1,5.234082011E1,4.873611190E0,1.830502400E1,4.150000095E0,8.719999695E1,9.935046196E0,2.910434961E0
8.201001278E1,5.234081848E1,4.873668110E0,1.841912905E1,3.789999962E0,8.640000153E1,9.951076508E0,3.245193243E0
8.300963065E1,5.234081459E1,4.873712480E0,1.921858750E1,3.400000095E0,8.780000305E1,1.003123283E1,3.378437996E0
8.400975820E1,5.234080840E1,4.873754560E0,1.987222840E1,3.000000000E0,8.650000000E1,1.010574245E1,3.532984495E0
8.501001716E1,5.234080590E1,4.873794530E0,2.026586353E1,2.740000010E0,8.559999847E1,1.017342949E1,3.613638639E0
8.601035189E1,5.234080275E1,4.873822590E0,2.136383661E1,1.860000014E0,8.490000153E1,1.016023159E1,3.526419401E0
8.700985330E1,5.234079782E1,4.873851690E0,2.128889519E1,1.950000048E0,8.659999847E1,1.014818287E1,3.461839437E0
8.801036715E1,5.234079250E1,4.873872970E0,2.152797461E1,1.419999957E0,8.619999695E1,1.010645008E1,3.387278080E0
8.900987502E1,5.234078769E1,4.873881840E0,2.189076589E1,6.200000048E-1,8.469999695E1,1.007103062E1,3.303208590E0
9.001000481E1,5.234078023E1,4.873877380E0,2.188031581E1,0.000000000E0,NaN,1.018182850E1,3.625224352E0
9.101013543E1,5.234077840E1,4.873874400E0,2.177398828E1,0.000000000E0,NaN,4.474057674E0,3.890166283E0
9.200962596E1,5.234077559E1,4.873866940E0,2.168731013E1,0.000000000E0,NaN,4.185280800E0,3.524393082E0
9.300980085E1,5.234077528E1,4.873863450E0,2.180583796E1,0.000000000E0,NaN,4.282864094E0,3.622041464E0
9.400999778E1,5.234077468E1,4.873860830E0,2.167570866E1,0.000000000E0,NaN,4.306540012E0,3.671683073E0
9.500956851E1,5.234077458E1,4.873860460E0,2.170622589E1,0.000000000E0,NaN,4.391044140E0,3.820030928E0
9.601019845E1,5.234077442E1,4.873860350E0,2.170885011E1,0.000000000E0,NaN,4.501245975E0,3.973209381E0
9.700975720E1,5.234077424E1,4.873860400E0,2.172374246E1,0.000000000E0,NaN,4.411445618E0,3.867538691E0
9.800955048E1,5.234077034E1,4.873863910E0,2.026811154E1,2.599999905E-1,3.173999939E2,4.071681499E0,3.397291422E0
9.900974121E1,5.234076181E1,4.873875450E0,1.935910957E1,0.000000000E0,NaN,3.972521305E0,3.280709982E0
1.000095263E2,5.234075461E1,4.873877660E0,1.888693273E1,0.000000000E0,NaN,3.898744822E0,3.165256023E0
1.010097319E2,5.234074989E1,4.873877460E0,1.897615936E1,0.000000000E0,NaN,3.790092468E0,2.993149281E0
1.020098785E2,5.234074833E1,4.873876850E0,1.893617879E1,0.000000000E0,NaN,3.790092468E0,3.008664846E0
1.030099565E2,5.234074730E1,4.873876660E0,1.904066942E1,0.000000000E0,NaN,3.790092468E0,3.012326002E0
1.040101082E2,5.234074579E1,4.873876120E0,1.906398241E1,0.000000000E0,NaN,3.831175089E0,3.110507965E0
