"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.928233581E1,-3.802500153E1,2.411250114E1,2.068125153E1
5.978233581E1,-3.892500305E1,2.373750114E1,2.133750153E1
6.028233581E1,-3.995625305E1,2.311875153E1,2.184375000E1
6.078233581E1,-4.038750076E1,2.235000038E1,2.276250076E1
6.128233581E1,-4.125000000E1,2.250000000E1,2.460000038E1
6.178233581E1,-4.306875229E1,2.525625038E1,2.583750153E1
6.228233581E1,-4.509375000E1,2.576250076E1,2.454375076E1
6.278233581E1,-4.704375076E1,2.670000076E1,2.435625076E1
6.328233581E1,-4.826250076E1,2.666250038E1,2.336250114E1
6.378233581E1,-4.867500305E1,2.623125076E1,2.191875076E1
6.428233581E1,-4.706250000E1,2.608125114E1,1.957500076E1
6.478233581E1,-4.560000229E1,2.632500076E1,1.747500038E1
6.528233581E1,-4.374375153E1,2.548125076E1,1.460625076E1
6.578233581E1,-4.164375305E1,2.173125076E1,1.282500076E1
6.628233581E1,-3.982500076E1,2.103750038E1,1.366875076E1
6.678233581E1,-3.748125076E1,2.023125076E1,1.333125019E1
6.728233581E1,-3.534375000E1,2.060625076E1,1.391250038E1
6.778233581E1,-3.448125076E1,2.126250076E1,1.488750076E1
6.828233581E1,-3.478125000E1,2.205000114E1,1.640625000E1
6.878233581E1,-3.540000153E1,2.276250076E1,1.725000000E1
6.928233581E1,-3.579375076E1,2.349375153E1,1.747500038E1
6.978233581E1,-3.538125229E1,2.523750114E1,1.730625153E1
7.028233581E1,-3.472500229E1,2.641875076E1,1.704375076E1
7.078233581E1,-3.421875000E1,2.730000114E1,1.691250038E1
7.128233581E1,-3.348750305E1,2.795625114E1,1.661250114E1
7.178233581E1,-3.238125229E1,2.921250153E1,1.620000076E1
7.228233581E1,-3.178125191E1,2.971875191E1,1.606875038E1
7.278233581E1,-3.195000076E1,2.908125114E1,1.646250153E1
7.328233581E1,-3.225000000E1,2.911875153E1,1.710000038E1
7.378233581E1,-3.232500076E1,2.893125153E1,1.680000114E1
7.428233581E1,-3.243750000E1,2.842500114E1,1.666875076E1
7.478233581E1,-3.262500000E1,2.913750076E1,1.732500076E1
7.528233581E1,-3.279375076E1,3.095625114E1,1.758750153E1
7.578233581E1,-3.320625305E1,3.266250229E1,1.734375000E1
7.628233581E1,-3.292500305E1,3.420000076E1,1.646250153E1
7.678233581E1,-3.180000114E1,3.789375305E1,1.524375057E1
7.728233581E1,-3.080625153E1,4.027500153E1,1.239375019E1
