"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.600214067E2,4.488935471E0,-8.655437469E0,-6.652047038E-1
2.605214067E2,4.828716278E0,-8.365307808E0,-6.891329288E-1
2.610214067E2,4.710869789E0,-8.615956306E0,-7.621139884E-1
2.615214067E2,4.747360229E0,-8.409575462E0,-1.062413216E0
2.620214067E2,4.417150497E0,-8.593822479E0,-7.070791125E-1
2.625214067E2,4.715056896E0,-8.591429710E0,-6.909275651E-1
2.630214067E2,4.573282242E0,-8.644669533E0,-5.952146053E-1
2.635214067E2,4.667200565E0,-8.538787842E0,-7.142575383E-1
2.640214067E2,4.737788677E0,-8.510671616E0,-6.987041831E-1
2.645214067E2,4.691727161E0,-8.591429710E0,-7.579265833E-1
2.650214067E2,4.594219685E0,-8.644669533E0,-8.697910309E-1
2.655214067E2,4.728217602E0,-8.565108299E0,-7.052844763E-1
2.660214067E2,4.640281200E0,-8.679964066E0,-8.889335990E-1
2.665214067E2,4.621737003E0,-8.517251968E0,-9.062815905E-1
2.670214067E2,4.595416069E0,-8.639286041E0,-8.775677085E-1
2.675214067E2,4.552943230E0,-8.498109818E0,-1.129412293E0
2.680214067E2,4.293920040E0,-8.550751686E0,-1.119840980E0
2.685214067E2,4.470989227E0,-8.701499939E0,-1.286142230E0
2.690214067E2,4.432703972E0,-8.608179092E0,-1.526620865E0
2.695214067E2,4.480560303E0,-8.639286041E0,-1.695314884E0
2.700214067E2,4.900500774E0,-8.057231903E0,-2.147558212E0
2.705214067E2,4.706083775E0,-8.486743927E0,-1.840678811E0
2.710214067E2,4.563711166E0,-8.541180611E0,-1.601994753E0
2.715214067E2,4.731806755E0,-8.577073097E0,-1.138983607E0
2.720214067E2,4.788636208E0,-8.596813202E0,-8.434699476E-2
2.725214067E2,4.830510616E0,-8.682356834E0,-3.194418252E-1
2.730214067E2,4.656432629E0,-8.577073097E0,-7.782655358E-1
2.735214067E2,4.609772682E0,-8.635098457E0,-4.899304509E-1
2.740214067E2,4.642076015E0,-8.608179092E0,-6.287141442E-1
2.745214067E2,4.571487427E0,-8.647661209E0,-6.448656917E-1
2.750214067E2,4.731806755E0,-8.620143890E0,-6.951149702E-1
2.755214067E2,4.638486862E0,-8.639286041E0,-6.412764788E-1
2.760214067E2,4.712664127E0,-8.518448830E0,-4.259224236E-1
2.765214067E2,4.841278553E0,-8.443673134E0,-4.803591371E-1
2.770214067E2,4.750949383E0,-8.610571861E0,-5.587241054E-1
2.775214067E2,4.744369030E0,-8.611170769E0,-5.970092416E-1
2.780214067E2,4.675575256E0,-8.535796165E0,-6.478567123E-1
2.785214067E2,4.788636208E0,-8.471788406E0,-6.664010882E-1
2.790214067E2,4.785645485E0,-8.486145973E0,-5.802595019E-1
2.795214067E2,4.807778835E0,-8.545368195E0,-6.239284873E-1
2.800214067E2,4.774877548E0,-8.434102058E0,-6.412764788E-1
2.805214067E2,4.722235680E0,-8.534002304E0,-7.369893789E-1
2.810214067E2,4.804787636E0,-8.564510345E0,-6.209374666E-1
2.815214067E2,4.820341110E0,-8.426324844E0,-8.584251404E-1
2.820214067E2,4.898705959E0,-8.449654579E0,-6.472585201E-1
2.825214067E2,4.809573650E0,-8.517251968E0,-6.317051649E-1
2.830214067E2,4.774877548E0,-8.455039024E0,-7.932206988E-1
2.835214067E2,4.052245140E0,-8.756534576E0,8.015955985E-2
2.840214067E2,4.383651257E0,-8.114660263E0,-2.151745796E0
2.845214067E2,3.906282902E0,-7.916653633E0,-8.584251404E-1
2.850214067E2,4.032504559E0,-8.543573380E0,-1.536192179E0
2.855214067E2,4.557130814E0,-8.694320679E0,-1.192822099E0
2.860214067E2,4.023531437E0,-7.942974567E0,-1.831107497E0
2.865214067E2,5.501697540E0,-8.660223007E0,-1.724626899E0
2.870214067E2,6.120840549E0,-8.452646255E0,3.577269912E-1
2.875214067E2,4.926223755E0,-8.883952141E0,-1.145563841E0
2.880214067E2,4.798207760E0,-8.535796165E0,-1.376471281E0
2.885214067E2,4.990231514E0,-7.963313580E0,-1.503889084E0
2.890214067E2,4.874777794E0,-8.205587387E0,-8.662018180E-1
2.895214067E2,5.363512039E0,-8.141578674E0,-1.191625714E0
2.900214067E2,4.930410862E0,-7.881958008E0,-1.434497118E0
2.905214067E2,4.669593334E0,-8.376075745E0,-1.824527264E0
2.910214067E2,5.291129112E0,-8.572885513E0,-1.581057549E0
2.915214067E2,4.702494621E0,-8.510073662E0,-1.968096614E0
2.920214067E2,5.333003521E0,-8.181658745E0,-1.067198873E0
2.925214067E2,4.156930923E0,-9.410373688E0,-1.460818172E0
2.930214067E2,5.192425251E0,-8.094321251E0,-1.974676847E0
2.935214067E2,5.172086239E0,-8.221738815E0,-2.008774519E0
2.940214067E2,4.967499733E0,-8.392227173E0,-1.531406522E0
2.945214067E2,5.114658356E0,-8.136793137E0,-8.775677085E-1
2.950214067E2,4.763511658E0,-8.602795601E0,-1.130608678E0
2.955214067E2,5.200799942E0,-8.452646255E0,-1.325623751E0
2.960214067E2,4.666004181E0,-8.291728973E0,-1.370489120E0
2.965214067E2,5.532206059E0,-7.960322857E0,-1.061216831E0
2.970214067E2,4.542773724E0,-8.495717049E0,-1.111466169E0
2.975214067E2,5.335994720E0,-8.145168304E0,-1.398604870E0
2.980214067E2,4.971088886E0,-8.338388443E0,-1.406979680E0
2.985214067E2,4.820939541E0,-8.440681458E0,-1.176072359E0
2.990214067E2,4.966303349E0,-8.421539307E0,-1.076770186E0
2.995214067E2,4.997410297E0,-8.295317650E0,-1.308275819E0
3.000214067E2,4.841876507E0,-8.400003433E0,-1.161715388E0
3.005214067E2,4.954339504E0,-8.350951195E0,-1.142572761E0
3.010214067E2,4.814359188E0,-8.392227173E0,-1.155135155E0
3.015214067E2,4.913063049E0,-8.350951195E0,-1.198205948E0
3.020214067E2,4.825725079E0,-8.392227173E0,-1.226321578E0
3.025214067E2,4.739583492E0,-8.469395638E0,-1.188036442E0
3.030214067E2,4.889732838E0,-8.528019905E0,-9.858429432E-1
3.035214067E2,4.557130814E0,-8.581858635E0,-1.399801224E-1
3.040214067E2,4.710271358E0,-8.871390343E0,-3.810569942E-1
3.045214067E2,5.034498692E0,-8.519644737E0,-5.838487148E-1
3.050214067E2,5.002195835E0,-8.556734085E0,-5.060819983E-1
3.055214067E2,5.253442287E0,-8.394021988E0,-5.790630579E-1
3.060214067E2,5.039284706E0,-8.405387878E0,-7.645068169E-1
3.065214067E2,4.786841869E0,-8.545368195E0,-8.099704385E-1
3.070214067E2,5.124229908E0,-8.343173981E0,-5.090730190E-1
3.075214067E2,5.769693375E0,-8.596813202E0,-9.684949517E-1
3.080214067E2,4.115654945E0,-8.210970879E0,-2.337189436E0
3.085214067E2,4.677370071E0,-8.350951195E0,-1.204187989E0
3.090214067E2,5.337789059E0,-8.280961037E0,-1.177268744E0
3.095214067E2,4.643272400E0,-8.285148621E0,-1.436890006E0
3.100214067E2,5.431707382E0,-8.338388443E0,-7.734799385E-1
3.105214067E2,4.613361835E0,-8.596813202E0,-7.944171429E-1
3.110214067E2,5.444269657E0,-8.169096947E0,-9.128618240E-1
3.115214067E2,4.966303349E0,-8.458029747E0,-8.518448472E-1
3.120214067E2,5.248656273E0,-8.344370842E0,-8.362914920E-1
3.125214067E2,4.737788677E0,-8.483752251E0,-9.427721500E-1
3.130214067E2,5.056632519E0,-8.135597229E0,-6.759724021E-1
3.135214067E2,4.627718925E0,-8.201399803E0,-4.037888348E-1
3.140214067E2,5.201996326E0,-7.892725468E0,-1.141974568E0
3.145214067E2,5.540580750E0,-7.918448448E0,-1.178465128E0
3.150214067E2,5.171487808E0,-8.545368195E0,-1.223928809E0
3.155214067E2,4.485345840E0,-8.239086151E0,-1.593619823E0
3.160214067E2,5.258227825E0,-8.170890808E0,-1.054038405E0
3.165214067E2,4.961517811E0,-8.030312538E0,-1.108475089E0
3.170214067E2,4.971088886E0,-8.188239098E0,-9.349954724E-1
3.175214067E2,5.385645390E0,-8.374878883E0,-9.876375198E-1
3.180214067E2,5.277370453E0,-8.255238533E0,-8.871390224E-1
3.185214067E2,5.432903767E0,-8.344968796E0,-1.214357466E-1
3.190214067E2,5.045266628E0,-8.334799767E0,-7.453642488E-1
3.195214067E2,4.977071285E0,-8.397012711E0,-3.505485058E-1
3.200214067E2,5.253442287E0,-8.330612183E0,-3.409772217E-1
3.205214067E2,4.753342152E0,-8.449654579E0,-1.185045362E0
3.210214067E2,4.798805714E0,-8.321041107E0,-9.822536707E-1
3.215214067E2,4.716851711E0,-8.620143890E0,-1.597209126E-1
3.220214067E2,5.705685616E0,-8.267800331E0,-3.888336718E-1
3.225214067E2,4.721637249E0,-8.537590981E0,-7.597211599E-1
3.230214067E2,5.375475883E0,-8.273183823E0,-4.271188378E-1
3.235214067E2,5.316852093E0,-8.426324844E0,-8.530412912E-1
3.240214067E2,4.808377266E0,-8.452646255E0,-9.984052777E-1
3.245214067E2,5.231906891E0,-8.263014793E0,-6.424728632E-1
3.250214067E2,5.196014404E0,-8.367102623E0,-7.238288522E-1
3.255214067E2,5.133800983E0,-8.347960472E0,-8.165507317E-1
3.260214067E2,5.149354458E0,-8.282156944E0,-7.292127013E-1
3.265214067E2,5.257629395E0,-8.304290771E0,-8.614161611E-1
3.270214067E2,5.083551884E0,-8.335397720E0,-6.831508875E-1
3.275214067E2,5.016552448E0,-8.321041107E0,-7.178468108E-1
3.280214067E2,5.196014404E0,-8.512466431E0,-7.770691514E-1
3.285214067E2,5.160720348E0,-8.204390526E0,-8.392825127E-1
3.290214067E2,5.193621635E0,-8.272585869E0,-6.664010882E-1
3.295214067E2,5.023731232E0,-8.464012146E0,-7.399803996E-1
3.300214067E2,5.119443893E0,-8.242077827E0,-5.228317380E-1
3.305214067E2,4.812564373E0,-8.571090698E0,-3.128615618E-1
3.310214067E2,5.454439163E0,-8.124829292E0,-5.485545993E-1
3.315214067E2,5.118845940E0,-8.244470596E0,-4.582255483E-1
3.320214067E2,5.203192711E0,-8.342576027E0,-5.234299302E-1
3.325214067E2,5.099703312E0,-8.432307243E0,-6.777670383E-1
3.330214067E2,5.162514687E0,-8.270791054E0,-5.868397355E-1
3.335214067E2,5.146363258E0,-8.277970314E0,-5.084748268E-1
3.340214067E2,5.331208706E0,-8.057231903E0,-7.148557901E-1
3.345214067E2,4.963910580E0,-8.666803360E0,-9.200403094E-1
3.350214067E2,5.511268616E0,-8.222934723E0,-3.523431420E-1
3.355214067E2,5.251647472E0,-8.257032394E0,-8.817551732E-1
3.360214067E2,4.886143684E0,-8.252246857E0,-1.121635556E0
3.365214067E2,5.289334297E0,-8.066802979E0,-7.417750359E-1
3.370214067E2,4.695914268E0,-8.443074226E0,-6.825526357E-1
3.375214067E2,5.645864964E0,-8.113463402E0,-5.581258535E-1
3.380214067E2,5.224728107E0,-8.362317085E0,-8.452646136E-1
3.385214067E2,5.075775146E0,-8.254041672E0,-1.140778184E0
3.390214067E2,5.189434052E0,-8.293522835E0,-8.889335990E-1
3.395214067E2,5.411368370E0,-8.175078392E0,-9.074779749E-1
3.400214067E2,5.399404526E0,-8.124829292E0,-8.165507317E-1
3.405214067E2,5.436492920E0,-8.028517723E0,-1.121635556E0
3.410214067E2,5.219942570E0,-8.154739380E0,-1.066002488E0
3.415214067E2,5.339583874E0,-8.391031265E0,-8.009973764E-1
3.420214067E2,5.581857204E0,-8.228319168E0,-1.159322619E0
3.425214067E2,5.291727066E0,-7.998009682E0,-1.257428288E0
3.430214067E2,5.400002480E0,-8.151748657E0,-9.302098155E-1
3.435214067E2,5.516652584E0,-8.196614265E0,-1.061216831E0
3.440214067E2,5.248058319E0,-8.089534760E0,-1.151545882E0
3.445214067E2,5.422136307E0,-8.099106789E0,-1.042074203E0
3.450214067E2,5.481358528E0,-7.926823139E0,-1.280758262E0
3.455214067E2,5.425725460E0,-7.883154392E0,-1.510469317E0
3.460214067E2,5.219942570E0,-8.119445801E0,-1.277767301E0
3.465214067E2,5.324628353E0,-8.220541954E0,-1.108475089E0
3.470214067E2,5.372485161E0,-7.941180229E0,-1.264606714E0
3.475214067E2,5.249852657E0,-8.116454124E0,-1.332203984E0
3.480214067E2,5.361717224E0,-8.142177582E0,-1.279561877E0
3.485214067E2,5.321637630E0,-8.237292290E0,-1.328614831E0
3.490214067E2,5.195415974E0,-8.163114548E0,-1.310070395E0
3.495214067E2,5.303691387E0,-8.167302132E0,-1.229910851E0
3.500214067E2,5.328217983E0,-8.082955360E0,-1.383051515E0
3.505214067E2,5.342574596E0,-8.173882484E0,-1.116251707E0
3.510214067E2,5.486144066E0,-8.133802414E0,-1.198205948E0
3.515214067E2,5.466403484E0,-8.003393173E0,-1.459621787E0
3.520214067E2,5.455635548E0,-7.955537319E0,-1.290927768E0
3.525214067E2,5.459224701E0,-8.114660263E0,-8.584251404E-1
3.530214067E2,5.058426857E0,-8.240880966E0,-6.921239495E-1
3.535214067E2,5.395216942E0,-8.081160545E0,-8.997012973E-1
3.540214067E2,5.186442852E0,-8.138587952E0,-9.678967595E-1
3.545214067E2,5.137988567E0,-8.210372925E0,-9.846464992E-1
3.550214067E2,5.397011280E0,-8.137392044E0,-1.011565804E0
3.555214067E2,5.508277893E0,-8.123034477E0,-7.292127013E-1
3.560214067E2,5.219942570E0,-8.296514511E0,-7.256234884E-1
3.565214067E2,5.147559643E0,-8.295317650E0,-8.793623447E-1
3.570214067E2,5.280361176E0,-8.081160545E0,-1.017547846E0
3.575214067E2,5.308476925E0,-8.096115112E0,-8.213363886E-1
3.580214067E2,5.298905849E0,-8.164310455E0,-7.579265833E-1
3.585214067E2,5.063212872E0,-8.352746010E0,-5.730810165E-1
3.590214067E2,5.286343575E0,-8.252246857E0,-7.142575383E-1
3.595214067E2,5.042275429E0,-8.333602905E0,-8.422735929E-1
3.600214067E2,5.073980331E0,-8.317451477E0,-8.518448472E-1
3.605214067E2,5.150550842E0,-8.321041107E0,-7.722834945E-1
3.610214067E2,4.937589645E0,-8.122436523E0,-6.346961856E-1
3.615214067E2,5.167300701E0,-8.113463402E0,-8.913264275E-1
3.620214067E2,4.901697159E0,-8.458029747E0,-6.526423693E-1
3.625214067E2,4.823930264E0,-8.397012711E0,-3.888336718E-1
3.630214067E2,5.012365341E0,-8.250452042E0,-1.188634634E0
3.635214067E2,5.231906891E0,-7.482954502E0,-1.039681435E0
3.640214067E2,5.496912003E0,-8.178668022E0,-1.648056626E0
3.645214067E2,4.972285271E0,-8.437092781E0,-9.080761671E-1
3.650214067E2,5.607579708E0,-8.467600822E0,-1.463211060E0
3.655214067E2,5.923432350E0,-7.880761147E0,-1.204187989E0
3.660214067E2,5.097908497E0,-8.181658745E0,-1.000199914E0
3.665214067E2,4.936991215E0,-8.371290207E0,-7.722834945E-1
3.670214067E2,5.063212872E0,-8.206185341E0,-7.944171429E-1
3.675214067E2,4.817948341E0,-8.395217896E0,-2.070389748E0
3.680214067E2,4.944767952E0,-8.447860718E0,-8.949156404E-1
3.685214067E2,4.896911621E0,-8.474181175E0,-6.089733839E-1
3.690214067E2,5.126622677E0,-8.267800331E0,-6.729813814E-1
3.695214067E2,4.490131855E0,-8.440681458E0,-7.543373108E-1
3.700214067E2,4.981856823E0,-8.459226608E0,-7.381857634E-1
3.705214067E2,5.057230473E0,-8.219944000E0,-8.392825127E-1
3.710214067E2,5.026124001E0,-8.358727455E0,-7.674978375E-1
3.715214067E2,5.076373100E0,-8.237890244E0,-9.302098155E-1
3.720214067E2,5.519045353E0,-8.119445801E0,-7.495517135E-1
3.725214067E2,5.111069202E0,-8.383254051E0,-6.921239495E-1
3.730214067E2,5.899504185E0,-7.789834023E0,-5.108676553E-1
3.735214067E2,5.605186939E0,-7.984251022E0,-4.534398913E-1
3.740214067E2,5.492125988E0,-8.143373489E0,-5.443671346E-1
3.745214067E2,4.948357105E0,-8.313861847E0,-8.009973764E-1
3.750214067E2,4.920839787E0,-8.330014229E0,-7.914260626E-1
3.755214067E2,4.597808838E0,-8.526225090E0,6.101697683E-2
3.760214067E2,5.886343479E0,-7.792226791E0,-6.412764788E-1
3.765214067E2,5.258227825E0,-8.184649467E0,-9.702895880E-1
3.770214067E2,4.944767952E0,-8.695517540E0,-1.121037364E0
3.775214067E2,5.214558601E0,-8.059026718E0,-1.671386600E0
3.780214067E2,4.689932346E0,-8.471788406E0,-1.453639746E0
3.785214067E2,4.506881237E0,-8.397012711E0,-9.367900491E-1
3.790214067E2,4.999803066E0,-8.349156380E0,-9.744769931E-1
3.795214067E2,5.176871777E0,-8.182256699E0,-9.128618240E-1
3.800214067E2,5.179862976E0,-8.286943436E0,-7.579265833E-1
3.805214067E2,4.983053207E0,-8.209176064E0,-5.467599630E-1
3.810214067E2,4.903491974E0,-8.414958954E0,-8.500502706E-1
3.815214067E2,4.942375183E0,-8.486145973E0,-5.102694035E-1
3.820214067E2,5.075775146E0,-8.344370842E0,-5.102694035E-1
3.825214067E2,4.957928658E0,-8.346165657E0,-4.576273263E-1
3.830214067E2,5.048855782E0,-8.335397720E0,-6.891329288E-1
3.835214067E2,4.871787071E0,-8.346165657E0,-8.153542876E-1
3.840214067E2,4.864010334E0,-8.156534195E0,-8.614161611E-1
3.845214067E2,5.283352375E0,-8.210372925E0,-9.559326172E-1
3.850214067E2,5.098506927E0,-8.360522270E0,-9.158528447E-1
3.855214067E2,4.430311203E0,-8.500502586E0,-5.084748194E-2
3.860214067E2,6.615556240E0,-7.831110477E0,-4.354937077E-1
3.865214067E2,5.286941528E0,-8.349156380E0,-7.884350419E-1
3.870214067E2,5.070989609E0,-8.561519623E0,-2.189432681E-1
3.875214067E2,5.195415974E0,-8.338388443E0,-4.181457460E-1
3.880214067E2,4.832305431E0,-8.487939835E0,-4.319044948E-1
3.885214067E2,4.889732838E0,-8.644071579E0,-5.742774159E-2
3.890214067E2,5.476572990E0,-8.304888725E0,-1.896311939E-1
3.895214067E2,5.664409637E0,-8.157731056E0,-1.405185103E0
3.900214067E2,5.334797859E0,-8.213961601E0,-1.213759303E0
3.905214067E2,4.756931305E0,-8.159524918E0,-2.703889608E0
3.910214067E2,4.980660439E0,-8.240880966E0,-1.946561217E0
3.915214067E2,4.704289436E0,-8.352147102E0,-1.432702541E0
3.920214067E2,5.151148796E0,-8.093722343E0,-1.381256819E0
3.925214067E2,5.286941528E0,-8.236095428E0,-1.531406522E0
3.930214067E2,5.358128071E0,-8.223533630E0,-8.458628058E-1
3.935214067E2,5.036293507E0,-8.286943436E0,-8.027920127E-1
3.940214067E2,5.211567879E0,-8.226524353E0,-9.014959335E-1
3.945214067E2,5.144568920E0,-8.289934158E0,-1.020538807E0
3.950214067E2,5.727221012E0,-7.936394691E0,-1.112064362E0
3.955214067E2,4.776073933E0,-8.403593063E0,-1.198205948E0
3.960214067E2,5.442475319E0,-8.219944000E0,-4.366901219E-1
3.965214067E2,4.170091629E0,-8.560322762E0,-6.107679605E-1
3.970214067E2,5.416153908E0,-8.283951759E0,-2.620140910E-1
3.975214067E2,5.535795212E0,-8.111668587E0,-4.881358147E-1
3.980214067E2,5.328217983E0,-8.650651932E0,-3.284149170E-1
3.985214067E2,5.653043270E0,-7.637889862E0,-6.873382926E-1
3.990214067E2,4.917848587E0,-8.146963120E0,-5.946164131E-1
3.995214067E2,5.679364681E0,-7.808976650E0,-8.727820516E-1
4.000214067E2,5.460421085E0,-8.054241180E0,-4.103690982E-1
4.005214067E2,5.878567219E0,-7.957331657E0,-1.998006850E-1
4.010214067E2,5.768496990E0,-8.363512993E0,-3.032902777E-1
4.015214067E2,6.420541286E0,-7.672585964E0,-5.294120312E-1
4.020214067E2,5.178068161E0,-8.038687706E0,-1.336989641E0
4.025214067E2,5.559723377E0,-7.980661869E0,-1.497906923E0
4.030214067E2,6.082555294E0,-7.443472862E0,-1.241276741E0
4.035214067E2,5.799005508E0,-7.671389580E0,-1.308275819E0
4.040214067E2,5.714060307E0,-8.008178711E0,-4.785645306E-1
4.045214067E2,6.157928944E0,-7.749155998E0,-5.503492355E-1
4.050214067E2,5.702694416E0,-7.878368378E0,-4.037888348E-1
4.055214067E2,5.571687698E0,-7.964509964E0,-6.616154313E-1
4.060214067E2,5.044070244E0,-8.544171333E0,-4.372883439E-1
4.065214067E2,5.313262463E0,-8.377870560E0,-2.219343036E-1
4.070214067E2,5.682355404E0,-8.099106789E0,-1.178465188E-1
4.075214067E2,5.830710411E0,-7.442874908E0,-1.223928809E0
4.080214067E2,6.063412666E0,-7.679764271E0,-6.813562512E-1
4.085214067E2,5.873183250E0,-8.057829857E0,-7.453642488E-1
4.090214067E2,5.459224701E0,-8.193024635E0,-6.239284873E-1
4.095214067E2,6.557530403E0,-7.782655716E0,4.671986103E-1
4.100214067E2,5.913262844E0,-7.754539967E0,-8.871390224E-1
4.105214067E2,5.416153908E0,-8.088936806E0,-3.332005441E-1
4.110214067E2,5.892923832E0,-7.714460373E0,-1.782652885E-1
4.115214067E2,6.093322754E0,-7.780262947E0,-4.049852192E-1
4.120214067E2,5.921638012E0,-7.805387497E0,-4.259224236E-1
4.125214067E2,5.779264927E0,-7.887939930E0,-4.486542344E-1
4.130214067E2,5.894120216E0,-7.848458290E0,-4.630111754E-1
4.135214067E2,6.400202274E0,-7.247261524E0,-3.098705411E-1
4.140214067E2,6.337988853E0,-7.727022648E0,-4.707878530E-1
4.145214067E2,5.629713535E0,-8.018946648E0,-2.793620527E-1
4.150214067E2,6.138188362E0,-7.263412952E0,-1.161117196E0
4.155214067E2,5.265406132E0,-8.186444283E0,-7.914260626E-1
4.160214067E2,5.980860233E0,-7.788039684E0,-6.143572330E-1
4.165214067E2,5.726622581E0,-7.629515171E0,-4.450650215E-1
