"Time (s)","Pressure (hPa)"
3.938146912E2,1.012778809E3
3.943146912E2,1.012778809E3
3.948146912E2,1.012778809E3
3.953146912E2,1.012778809E3
3.958146912E2,1.012778809E3
3.963146912E2,1.012778809E3
3.968146912E2,1.012778809E3
3.973146912E2,1.012778809E3
3.978146912E2,1.012778809E3
3.983146912E2,1.012778809E3
3.988146912E2,1.012778809E3
3.993146912E2,1.012778809E3
3.998146912E2,1.012778809E3
4.003146912E2,1.014447632E3
4.008146912E2,1.014440918E3
4.013146912E2,1.014450439E3
4.018146912E2,1.014440674E3
4.023146912E2,1.014440674E3
4.028146912E2,1.014440674E3
4.033146912E2,1.014440674E3
4.038146912E2,1.014440674E3
4.043146912E2,1.014440674E3
4.048146912E2,1.014440674E3
4.053146912E2,1.014440674E3
4.058146912E2,1.014440674E3
4.063146912E2,1.014440674E3
4.068146912E2,1.014440674E3
4.073146912E2,1.014440674E3
4.078146912E2,1.014440674E3
4.083146912E2,1.014440674E3
4.088146912E2,1.014440674E3
4.093146912E2,1.014440674E3
4.098146912E2,1.014440674E3
4.103146912E2,1.014440674E3
4.108146912E2,1.014440674E3
4.113146912E2,1.014440674E3
4.118146912E2,1.014440674E3
4.123146912E2,1.014440674E3
4.128146912E2,1.014440674E3
4.133146912E2,1.014440674E3
4.138146912E2,1.014440674E3
4.143146912E2,1.014440674E3
4.148146912E2,1.014440674E3
4.153146912E2,1.014440674E3
4.158146912E2,1.014440674E3
4.163146912E2,1.014440674E3
4.168146912E2,1.014440674E3
4.173146912E2,1.014440674E3
4.178146912E2,1.014440674E3
4.183146912E2,1.014440674E3
4.188146912E2,1.014440674E3
4.193146912E2,1.014440674E3
4.198146912E2,1.014440674E3
4.203146912E2,1.014356934E3
4.208146912E2,1.014276123E3
4.213146912E2,1.014363770E3
4.218146912E2,1.014229248E3
4.223146912E2,1.014229248E3
4.228146912E2,1.014229248E3
4.233146912E2,1.014229248E3
4.238146912E2,1.014229248E3
4.243146912E2,1.014229248E3
4.248146912E2,1.014229248E3
4.253146912E2,1.014229248E3
4.258146912E2,1.014229248E3
4.263146912E2,1.014229248E3
4.268146912E2,1.014229248E3
4.273146912E2,1.014229248E3
4.278146912E2,1.014229248E3
4.283146912E2,1.014229248E3
4.288146912E2,1.014229248E3
4.293146912E2,1.014229248E3
4.298146912E2,1.014229248E3
4.303146912E2,1.014229248E3
4.308146912E2,1.014229248E3
4.313146912E2,1.014229248E3
4.318146912E2,1.014229248E3
4.323146912E2,1.014229248E3
4.328146912E2,1.014229248E3
4.333146912E2,1.014229248E3
4.338146912E2,1.014229248E3
4.343146912E2,1.014229248E3
4.348146912E2,1.014229248E3
4.353146912E2,1.014229248E3
4.358146912E2,1.014229248E3
4.363146912E2,1.014229248E3
4.368146912E2,1.014229248E3
