"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.980311405E2,8.526823044E0,-2.826521635E0,-4.027718544E0
4.985311405E2,8.400003433E0,-2.890529871E0,-4.187439442E0
4.990311405E2,8.502895355E0,-2.673381090E0,-4.028316975E0
4.995311405E2,8.539385796E0,-2.766103029E0,-3.951148272E0
5.000311405E2,8.567501068E0,-2.604587555E0,-4.069592953E0
5.005311405E2,8.500502586E0,-2.686541557E0,-4.066003799E0
5.010311405E2,8.522037506E0,-2.700300455E0,-4.207778454E0
5.015311405E2,8.566305161E0,-2.718246460E0,-4.179064751E0
5.020311405E2,8.607581139E0,-2.377269268E0,-3.942175388E0
5.025311405E2,8.286943436E0,-2.620738983E0,-3.969094515E0
5.030311405E2,8.464012146E0,-2.488535643E0,-4.171886444E0
5.035311405E2,8.566305161E0,-2.520838737E0,-4.206582069E0
5.040311405E2,8.652446747E0,-2.434098721E0,-4.164707661E0
5.045311405E2,8.577073097E0,-2.330609322E0,-4.217947960E0
5.050311405E2,8.563314438E0,-2.469393015E0,-4.182653904E0
5.055311405E2,8.591429710E0,-2.149951220E0,-4.270590305E0
5.060311405E2,8.450253487E0,-2.233101845E0,-4.236492634E0
5.065311405E2,8.593822479E0,-2.096112728E0,-4.250849247E0
5.070311405E2,8.517251968E0,-2.145165443E0,-4.463810444E0
5.075311405E2,8.551948547E0,-2.247458696E0,-4.290929317E0
5.080311405E2,8.518448830E0,-2.086541414E0,-4.424927235E0
5.085311405E2,8.450253487E0,-2.155334949E0,-4.697709084E0
5.090311405E2,8.215158463E0,-2.313261271E0,-4.528416634E0
5.095311405E2,8.301300049E0,-2.309672117E0,-4.782654285E0
5.100311405E2,8.320442200E0,-2.394019127E0,-4.807778835E0
5.105311405E2,8.196015358E0,-2.242672920E0,-4.541577339E0
5.110311405E2,8.322237015E0,-2.322832584E0,-4.787439823E0
5.115311405E2,8.292326927E0,-2.386840582E0,-4.886143684E0
5.120311405E2,8.215756416E0,-2.508874655E0,-4.834698200E0
5.125311405E2,8.109873772E0,-2.486740828E0,-4.773082733E0
5.130311405E2,7.969295979E0,-2.461018085E0,-4.786841869E0
5.135311405E2,8.036892891E0,-2.491526604E0,-4.887938499E0
5.140311405E2,7.980661869E0,-2.487339020E0,-4.879563808E0
5.145311405E2,7.896314621E0,-2.580659151E0,-4.942375183E0
5.150311405E2,7.878368378E0,-2.598605394E0,-4.953142643E0
5.155311405E2,7.919046402E0,-2.647658348E0,-5.055436134E0
5.160311405E2,7.935796261E0,-2.555534601E0,-5.012365341E0
5.165311405E2,7.845467091E0,-2.711666346E0,-5.123631477E0
5.170311405E2,7.788039684E0,-2.577668190E0,-5.131408215E0
5.175311405E2,7.708477974E0,-2.614158630E0,-5.167300701E0
5.180311405E2,7.773682594E0,-2.624328136E0,-5.246861935E0
5.185311405E2,7.783253670E0,-2.566302299E0,-5.256433010E0
5.190311405E2,7.810173035E0,-2.563311338E0,-5.353342533E0
5.195311405E2,7.749754429E0,-2.630908489E0,-5.436492920E0
5.200311405E2,7.669594765E0,-2.534597397E0,-5.377270699E0
5.205311405E2,7.752745152E0,-2.671586514E0,-5.288137913E0
5.210311405E2,7.775477409E0,-2.525624275E0,-5.431707382E0
5.215311405E2,7.646264553E0,-2.595614433E0,-5.320441246E0
5.220311405E2,7.712665558E0,-2.576471806E0,-5.371288776E0
5.225311405E2,7.782655716E0,-2.621337175E0,-5.358726501E0
5.230311405E2,7.806583881E0,-2.587837696E0,-5.349154949E0
5.235311405E2,7.724031448E0,-2.602194548E0,-5.340780258E0
5.240311405E2,7.823333740E0,-2.568096876E0,-5.343770981E0
