"Time (s)","Pressure (hPa)"
1.633054321E2,1.018089600E3
1.638054321E2,1.018242920E3
1.643054321E2,1.018193237E3
1.648054321E2,1.018049072E3
1.653054321E2,1.017807007E3
1.658054321E2,1.017765869E3
1.663054321E2,1.017868164E3
1.668054321E2,1.017959229E3
1.673054321E2,1.017922485E3
1.678054321E2,1.017479248E3
1.683054321E2,1.017212769E3
1.688054321E2,1.017059326E3
1.693054321E2,1.017088135E3
1.698054321E2,1.017371582E3
1.703054321E2,1.017877441E3
1.708054321E2,1.017957031E3
1.713054321E2,1.018051270E3
1.718054321E2,1.018081177E3
1.723054321E2,1.018115845E3
1.728054321E2,1.018114380E3
1.733054321E2,1.018222046E3
1.738054321E2,1.018374878E3
1.743054321E2,1.018392944E3
1.748054321E2,1.018263062E3
1.753054321E2,1.018024292E3
1.758054321E2,1.017838013E3
1.763054321E2,1.017769531E3
1.768054321E2,1.017621094E3
1.773054321E2,1.017344482E3
1.778054321E2,1.017222046E3
1.783054321E2,1.017248413E3
1.788054321E2,1.017285278E3
1.793054321E2,1.017383667E3
1.798054321E2,1.017423584E3
1.803054321E2,1.017471436E3
1.808054321E2,1.017429688E3
1.813054321E2,1.017364502E3
1.818054321E2,1.017314453E3
1.823054321E2,1.017328857E3
1.828054321E2,1.017262695E3
1.833054321E2,1.017168579E3
1.838054321E2,1.017136719E3
1.843054321E2,1.017085449E3
1.848054321E2,1.017008789E3
1.853054321E2,1.016961060E3
1.858054321E2,1.016878662E3
1.863054321E2,1.016861938E3
1.868054321E2,1.016846924E3
1.873054321E2,1.016838989E3
1.878054321E2,1.016892090E3
1.883054321E2,1.016914917E3
1.888054321E2,1.017101807E3
1.893054321E2,1.017557861E3
1.898054321E2,1.017696289E3
1.903054321E2,1.017688232E3
1.908054321E2,1.017830566E3
1.913054321E2,1.018006592E3
1.918054321E2,1.018023438E3
1.923054321E2,1.017992432E3
1.928054321E2,1.018062012E3
1.933054321E2,1.018091553E3
1.938054321E2,1.017790405E3
1.943054321E2,1.017538940E3
1.948054321E2,1.017155884E3
1.953054321E2,1.016607666E3
1.958054321E2,1.016489868E3
1.963054321E2,1.016562866E3
1.968054321E2,1.016602173E3
1.973054321E2,1.016696899E3
1.978054321E2,1.016756714E3
1.983054321E2,1.016975098E3
1.988054321E2,1.016912964E3
1.993054321E2,1.016829224E3
1.998054321E2,1.017065430E3
2.003054321E2,1.017501953E3
2.008054321E2,1.017672119E3
2.013054321E2,1.017644043E3
2.018054321E2,1.017580566E3
2.023054321E2,1.017736328E3
2.028054321E2,1.017816528E3
2.033054321E2,1.017767456E3
2.038054321E2,1.017745117E3
2.043054321E2,1.017826416E3
2.048054321E2,1.017929810E3
2.053054321E2,1.018005005E3
2.058054321E2,1.018033447E3
2.063054321E2,1.018362549E3
2.068054321E2,1.018625732E3
2.073054321E2,1.018648193E3
2.078054321E2,1.018611084E3
2.083054321E2,1.018612305E3
2.088054321E2,1.018684082E3
2.093054321E2,1.018866577E3
2.098054321E2,1.018860107E3
2.103054321E2,1.018861816E3
2.108054321E2,1.018894775E3
2.113054321E2,1.018961548E3
2.118054321E2,1.019220337E3
2.123054321E2,1.019414917E3
2.128054321E2,1.019645264E3
2.133054321E2,1.019734741E3
2.138054321E2,1.019845337E3
2.143054321E2,1.019921753E3
2.148054321E2,1.019989624E3
2.153054321E2,1.020023438E3
2.158054321E2,1.020139282E3
2.163054321E2,1.020199829E3
2.168054321E2,1.020216919E3
2.173054321E2,1.020273438E3
2.178054321E2,1.020302612E3
2.183054321E2,1.020329102E3
2.188054321E2,1.020339233E3
2.193054321E2,1.020303467E3
2.198054321E2,1.020303467E3
2.203054321E2,1.020286865E3
2.208054321E2,1.020323486E3
2.213054321E2,1.020381836E3
2.218054321E2,1.020348877E3
2.223054321E2,1.020348389E3
2.228054321E2,1.020336670E3
2.233054321E2,1.020328369E3
2.238054321E2,1.020331421E3
2.243054321E2,1.020337280E3
2.248054321E2,1.020334229E3
2.253054321E2,1.020345337E3
2.258054321E2,1.020338379E3
2.263054321E2,1.020323364E3
2.268054321E2,1.020322144E3
2.273054321E2,1.020310669E3
2.278054321E2,1.020307373E3
2.283054321E2,1.020324829E3
2.288054321E2,1.020319336E3
2.293054321E2,1.020334229E3
2.298054321E2,1.020309692E3
2.303054321E2,1.020334595E3
2.308054321E2,1.020329224E3
2.313054321E2,1.020334717E3
2.318054321E2,1.020345459E3
2.323054321E2,1.020344116E3
2.328054321E2,1.020350586E3
2.333054321E2,1.020251221E3
2.338054321E2,1.020179199E3
2.343054321E2,1.020167603E3
2.348054321E2,1.020105957E3
2.353054321E2,1.019960938E3
