"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.780238798E2,-2.375474691E0,6.556333899E-1,9.523433685E0
5.785238798E2,-2.362314224E0,6.987041831E-1,9.494720459E0
5.790238798E2,-2.343769789E0,7.465606928E-1,9.433703423E0
5.795238798E2,-2.371885538E0,6.999006271E-1,9.627521515E0
5.800238798E2,-2.442473650E0,6.329016089E-1,9.400801659E0
5.805238798E2,-2.441875458E0,6.442674994E-1,9.502496719E0
5.810238798E2,-2.538186550E0,5.485545993E-1,9.466006279E0
5.815238798E2,-2.389233351E0,5.072783828E-1,9.439086914E0
5.820238798E2,-2.408375978E0,8.027920127E-1,9.174081802E0
5.825238798E2,-2.356332064E0,5.694918036E-1,9.564710617E0
5.830238798E2,-2.246262312E0,7.812566161E-1,9.548559189E0
5.835238798E2,-2.423331022E0,5.060819983E-1,9.445667267E0
5.840238798E2,-2.325823545E0,6.616154313E-1,9.242876053E0
5.845238798E2,-2.538186550E0,8.087740541E-1,9.493523598E0
5.850238798E2,-2.642872572E0,6.574280262E-1,9.412167549E0
5.855238798E2,-2.453839540E0,7.980063558E-1,9.330811501E0
5.860238798E2,-2.590230465E0,7.387840152E-1,9.491130829E0
5.865238798E2,-2.455035925E0,8.021938205E-1,9.467203140E0
5.870238798E2,-2.510669231E0,7.764709592E-1,9.478569031E0
5.875238798E2,-2.555534601E0,8.374879360E-1,9.418149948E0
5.880238798E2,-2.652443886E0,7.734799385E-1,9.364311218E0
5.885238798E2,-2.617748022E0,7.070791125E-1,9.446864128E0
5.890238798E2,-1.786242127E0,5.754738450E-1,9.644869804E0
5.895238798E2,-1.444068432E0,3.696911037E-1,9.811769485E0
5.900238798E2,-1.329213023E0,5.389832854E-1,9.807581902E0
5.905238798E2,-1.218544960E0,4.336991012E-1,9.820143700E0
5.910238798E2,-1.397408366E0,4.564309120E-1,9.842875481E0
5.915238798E2,-1.296909928E0,4.402793646E-1,9.795019150E0
5.920238798E2,-1.381256819E0,4.259224236E-1,9.742377281E0
5.925238798E2,-1.255035520E0,4.719842672E-1,9.739984512E0
5.930238798E2,-1.271785259E0,4.737788737E-1,9.716055870E0
5.935238798E2,-1.259821177E0,4.701896608E-1,9.743574142E0
5.940238798E2,-1.226321578E0,4.785645306E-1,9.716055870E0
5.945238798E2,-1.249053478E0,4.899304509E-1,9.781859398E0
5.950238798E2,-1.164108157E0,4.582255483E-1,9.784850121E0
5.955238798E2,-1.296909928E0,4.079762697E-1,9.818349838E0
5.960238798E2,-1.159322619E0,2.823530734E-1,9.818349838E0
